#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:2021-03-21_OMPuniprot_muscle" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:2021-03-21_OMPuniprot_muscle" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:2021-03-21_OMPuniprot_muscle" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.2021-03-21_OMPuniprot_muscle" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:2021-03-21_OMPuniprot_muscle" name="distribution" x="@birthRate.t:2021-03-21_OMPuniprot_muscle">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:2021-03-21_OMPuniprot_muscle" name="distribution">
#            <parameter id="gammaShape.s:2021-03-21_OMPuniprot_muscle" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@2021-03-21_OMPuniprot_muscle" id="treeLikelihood.2021-03-21_OMPuniprot_muscle" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:2021-03-21_OMPuniprot_muscle">
#            <siteModel gammaCategoryCount="6" id="SiteModel.s:2021-03-21_OMPuniprot_muscle" shape="@gammaShape.s:2021-03-21_OMPuniprot_muscle" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:2021-03-21_OMPuniprot_muscle" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:2021-03-21_OMPuniprot_muscle" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JTT.s:2021-03-21_OMPuniprot_muscle" spec="beast.evolution.substitutionmodel.JTT"/>
#            </siteModel>
#            <branchRateModel id="ExponentialRelaxedClock.c:2021-03-21_OMPuniprot_muscle" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:2021-03-21_OMPuniprot_muscle">
#                <Exponential id="Exponential.c:2021-03-21_OMPuniprot_muscle" name="distr">
#                    <parameter id="UCExpLambda.c:2021-03-21_OMPuniprot_muscle" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </Exponential>
#                <rateCategories dimension="254" id="expRateCategories.c:2021-03-21_OMPuniprot_muscle" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucedMean.c:2021-03-21_OMPuniprot_muscle" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	YuleModel	birthRate	rateStat.mean	rateStat.variance	rateStat.coefficientOfVariation
0	-179658.91725227732	-179650.7021987103	-8.215053567018378	-179650.7021987103	0.7733291329804448	1.0	-7.215053567018378	1.0	0.9816137606292891	0.792510704188073	1.0457318527031572
500	-116547.74847902847	-115995.86028293235	-551.8881960961165	-115995.86028293235	41.78399096570973	0.6080668216736062	-551.280129274443	0.9686812764463759	0.8545530303722153	0.8898051778853163	1.0746122097233575
1000	-110224.11189849049	-109868.04903178284	-356.0628667076564	-109868.04903178284	41.78399096570973	0.6080668216736062	-355.45479988598277	0.41991135292485976	0.7792571400058942	0.9376542237231156	1.079363091718704
1500	-104733.10792833008	-104448.45953983525	-284.6483884948176	-104448.45953983525	27.380799711676666	1.0057029628752399	-283.64268553194233	0.3156844864753989	0.7168211528200829	0.9056147731907859	1.0838020541415472
2000	-100331.34972543146	-100065.00100705044	-266.34871838101924	-100065.00100705044	22.255029841039246	1.0057029628752399	-265.343015418144	0.3425158637928796	0.7025223594908554	0.9387592502261206	1.0977435558194837
2500	-95510.97388841517	-95251.75266409437	-259.22122432080937	-95251.75266409437	20.380148086450603	1.7919846295990605	-257.4292396912103	0.35868877126407794	0.778661845368605	0.99543793839433	1.0967451090634424
3000	-92311.84454693166	-92084.36250794437	-227.48203898728462	-92084.36250794437	10.849930459307798	1.7919846295990605	-225.69005435768557	0.44888939428313585	0.8201617678689204	0.987332250165822	1.0880601695332053
3500	-90329.46764504469	-90117.41924358286	-212.04840146182028	-90117.41924358286	9.265719428964514	1.7919846295990605	-210.25641683222122	0.5235008600348027	0.8636602698052693	1.0237057071785969	1.1050800660557372
4000	-89018.12149710931	-88803.42962963306	-214.6918674762553	-88803.42962963306	9.265719428964514	1.7919846295990605	-212.89988284665625	0.501471862855929	0.8970870403197603	1.0339059009877034	1.0924866279834877
4500	-87032.00077178737	-86819.63538682308	-212.36538496429108	-86819.63538682308	9.303243568343019	1.7919846295990605	-210.57340033469202	0.5282487340475988	0.8903701335668989	1.1347101680985607	1.1084684752672977
5000	-86072.13926066038	-85845.5401117763	-226.59914888407437	-85845.5401117763	9.79221116946668	1.7919846295990605	-224.8071642544753	0.47108333281085163	0.9409344358770013	1.237711228057635	1.1090344073780323
5500	-84145.805641307	-83952.6007351965	-193.20490611051216	-83952.6007351965	7.402365827520153	1.7919846295990605	-191.4129214809131	0.6290472934334407	0.9828778558553964	1.1512403550694061	1.0885519998994038
6000	-82924.7030112172	-82730.43403159278	-194.26897962441805	-82730.43403159278	7.223002211487884	1.7919846295990605	-192.476994994819	0.6573160751269379	1.0079762885090906	1.1644910638585126	1.0918573393234932
6500	-81576.53266682777	-81364.45943883863	-212.07322798914024	-81364.45943883863	8.33140353821809	1.7919846295990605	-210.28124335954118	0.6010043582311608	1.048632842630947	1.1700252915826992	1.0859072004237305
7000	-80286.41103372877	-80074.64852354278	-211.76251018598455	-80074.64852354278	8.221282902568356	1.7919846295990605	-209.9705255563855	0.5315348515300726	1.0530318772994525	1.167092708826505	1.0913653452159207
7500	-79803.42772632874	-79588.55419862551	-214.87352770322278	-79588.55419862551	8.10028548804332	1.7919846295990605	-213.08154307362372	0.39681431024585617	1.0529879521171015	1.1679892591809673	1.0903424482989763
8000	-79104.4449412712	-78894.65371568964	-209.79122558155433	-78894.65371568964	7.852400269448746	1.7919846295990605	-207.99924095195527	0.5603730867617259	1.087472783196009	1.1092917020079378	1.0831824157295398
8500	-78150.8187314857	-77937.31449440127	-213.50423708443392	-77937.31449440127	7.502957844249837	1.7919846295990605	-211.71225245483487	0.5020765309013177	1.108878540518173	1.124886752867048	1.0853882320366661
9000	-77634.30979795678	-77413.70168619821	-220.6081117585669	-77413.70168619821	8.209575081071325	1.7919846295990605	-218.81612712896785	0.5560481220123111	1.1084887322032886	1.1474973497875756	1.1075808763839592
9500	-76984.09029634867	-76760.61168846856	-223.47860788010786	-76760.61168846856	8.167209076117178	1.7919846295990605	-221.6866232505088	0.5133540543876716	1.0844921709412236	1.1131557820045688	1.0943000199039319
10000	-76521.2620377672	-76295.20318219981	-226.05885556738787	-76295.20318219981	8.507985047835282	1.7919846295990605	-224.2668709377888	0.484838866059204	1.094842113714013	1.1085108921113855	1.1038275455417121
10500	-76013.56487437998	-75786.14540646785	-227.4194679121332	-75786.14540646785	8.725196742647839	1.7919846295990605	-225.62748328253414	0.44642469043385535	1.1304710584664068	1.1179579806559854	1.099432263407946
11000	-75456.96045464817	-75228.17402477337	-228.78642987479762	-75228.17402477337	8.725196742647839	1.7919846295990605	-226.99444524519856	0.460310076611339	1.116062972533372	1.1541497907496463	1.1143032084886555
11500	-73835.64937143623	-73631.07487999818	-204.57449143804794	-73631.07487999818	7.197916829662074	1.7919846295990605	-202.7825068084489	0.4743561621120774	1.132906573075497	1.1671037485901272	1.101930391788645
12000	-72974.85648020355	-72786.54218357115	-188.31429663240127	-72786.54218357115	6.265561555264098	2.895269461070536	-185.41902717133073	0.60071595334726	1.0879800668895272	1.1858017433083512	1.1072513777465842
12500	-71948.59038642439	-71773.92817399622	-174.6622124281739	-71773.92817399622	6.277834412897635	2.895269461070536	-171.76694296710335	0.7426190823500587	1.1404560061810807	1.188228821958884	1.0972470366071456
13000	-70229.89155388663	-70052.09934602924	-177.79220785739258	-70052.09934602924	6.172525058577138	2.895269461070536	-174.89693839632204	0.766202149036607	1.1851000817684392	1.1955711653908354	1.0946445916676697
13500	-69364.04052144957	-69197.2412495598	-166.79927188977055	-69197.2412495598	5.467954899123186	2.8981024469843746	-163.90116944278617	0.7472428806478347	1.27487965139387	1.2476784290159482	1.1130136338801853
14000	-68921.20864453622	-68750.81053839925	-170.39810613696721	-68750.81053839925	5.827619780330562	2.8981024469843746	-167.50000368998283	0.7650310944621949	1.2734387343629432	1.2441965861770352	1.1141127398497115
14500	-68504.90857180016	-68336.11559064662	-168.79298115354834	-68336.11559064662	5.827619780330562	2.8981024469843746	-165.89487870656396	0.727992077352041	1.285449201687674	1.2560222929335076	1.1092975930829738
15000	-68213.212480016	-68051.84251479758	-161.36996521842008	-68051.84251479758	5.7935223926070085	2.8981024469843746	-158.4718627714357	0.7964490118025419	1.2740052332734704	1.2932244092878897	1.1297153357855487
15500	-67683.79441243631	-67521.02866412028	-162.76574831602218	-67521.02866412028	6.436852606416892	2.8981024469843746	-159.8676458690378	0.8091600093202398	1.2682129111234257	1.313911279224025	1.1334687610173906
16000	-67293.44637139243	-67123.01336797149	-170.43300342094437	-67123.01336797149	7.084411008587558	2.8981024469843746	-167.53490097396	0.7082115272097088	1.285486881716751	1.355781653852409	1.1529571714671683
16500	-66978.52094457294	-66824.29631426888	-154.22463030405396	-66824.29631426888	6.007417720471829	2.8981024469843746	-151.32652785706958	0.7294075756240391	1.3055544888608535	1.3416920910044599	1.160323805131594
17000	-66183.37216201791	-66029.4625846552	-153.90957736271957	-66029.4625846552	6.007417720471829	3.6956945038872484	-150.21388285883233	0.6843322878272469	1.2939866297723375	1.3872431588492087	1.1513278117286263
17500	-65845.5783912071	-65686.82006115894	-158.75833004815857	-65686.82006115894	5.365646392731645	3.6956945038872484	-155.06263554427133	0.6787335338711358	1.2871497017334639	1.3280197908747133	1.1426329837430858
18000	-65494.21069163246	-65333.05057788747	-161.16011374498828	-65333.05057788747	6.220676403531949	3.6956945038872484	-157.46441924110104	0.7859530942429566	1.3453751040890203	1.3314096359770349	1.1540102006280188
18500	-65363.006207710445	-65199.10068736268	-163.9055203477631	-65199.10068736268	6.309042336374543	3.6956945038872484	-160.20982584387585	0.8833938943474373	1.3500216450703957	1.3541219035272287	1.1542120904702238
19000	-65251.263320753416	-65089.73813565707	-161.5251850963471	-65089.73813565707	6.309042336374543	3.6956945038872484	-157.82949059245985	0.8337469379345173	1.3461947700144306	1.3189419593635983	1.1707274747446401
19500	-65229.60937821243	-65064.693887347865	-164.91549086456413	-65064.693887347865	6.309042336374543	3.6956945038872484	-161.2197963606769	0.9248016273628061	1.3635647147309782	1.3077739950131164	1.179390692798954
20000	-65143.35197036292	-64988.47438571416	-154.87758464875935	-64988.47438571416	6.114578215713517	3.6956945038872484	-151.1818901448721	0.7601958759833168	1.3529758132254217	1.288308823700451	1.176477112011506
20500	-65107.582519391275	-64944.584523166224	-162.9979962250535	-64944.584523166224	6.710590951103742	3.6956945038872484	-159.30230172116626	0.8513654342009334	1.3760315637686344	1.2703135509855772	1.176026157589861
21000	-65055.35676071828	-64889.98284252666	-165.3739181916165	-64889.98284252666	6.144878853670053	3.6956945038872484	-161.67822368772926	0.7484464581657124	1.411220655509009	1.3208219625714208	1.159296570559122
21500	-64834.671543582386	-64669.67933206455	-164.99221151783064	-64669.67933206455	6.257108163874488	3.0021987366968577	-161.99001278113377	0.8261108915227848	1.4187802436716095	1.2889222580077924	1.1438522743611383
22000	-64683.00953494429	-64519.07428455805	-163.93525038623685	-64519.07428455805	6.371270641512213	3.0021987366968577	-160.93305164953998	0.7173959329643597	1.4036474758685618	1.2961678216546706	1.1601457466783291
22500	-64428.314085113205	-64267.520441060224	-160.79364405298244	-64267.520441060224	6.0811862817481765	3.0021987366968577	-157.79144531628558	0.6954322499381693	1.3827494965357283	1.2916686254346974	1.1705716544133806
23000	-64248.803282193614	-64092.70492769198	-156.09835450163757	-64092.70492769198	5.680791585957852	3.0021987366968577	-153.0961557649407	0.8154533487876202	1.3737143351945944	1.3010701037095131	1.1742063460126013
23500	-63469.40170205176	-63314.78693583379	-154.61476621796797	-63314.78693583379	5.495537940114614	3.0021987366968577	-151.6125674812711	0.8087805787549835	1.4204029895973178	1.3493788161451188	1.17740442260389
24000	-63296.36534996578	-63140.4559188758	-155.90943108997925	-63140.4559188758	5.499739787574307	3.0021987366968577	-152.90723235328238	0.8909470187492815	1.38235295076953	1.357348169028007	1.2051933181136716
24500	-62921.86095040603	-62766.721779958956	-155.13917044707622	-62766.721779958956	5.744607144548324	3.0021987366968577	-152.13697171037936	0.7919872853960092	1.3453462373911333	1.3564946869257393	1.201913537877445
25000	-62655.78480520577	-62500.1770740574	-155.6077311483677	-62500.1770740574	5.744607144548324	3.0021987366968577	-152.60553241167082	0.882693598738452	1.3242598733683637	1.2806445156604347	1.1845596277564785
25500	-62356.123562835535	-62195.847845820346	-160.27571701518653	-62195.847845820346	5.718862116970195	3.0021987366968577	-157.27351827848966	0.7790570559091917	1.2801954373331261	1.2651730105428465	1.1694380192440925
26000	-61861.65739627113	-61713.73679627567	-147.92059999546123	-61713.73679627567	5.934965960461854	3.0021987366968577	-144.91840125876436	0.9032932582626004	1.2917952106527715	1.296917838654789	1.1809591855269914
26500	-61361.35013265358	-61211.3844316183	-149.9657010352767	-61211.3844316183	5.934965960461854	3.0021987366968577	-146.96350229857984	0.8482269538034783	1.336038606737328	1.4071657714948012	1.2016464427683726
27000	-61086.46742841167	-60948.43894124835	-138.02848716332105	-60948.43894124835	5.429527098701903	3.0021987366968577	-135.02628842662418	0.9123189663272849	1.3163750831637406	1.3658626819044053	1.1873206368105313
27500	-60854.80904391701	-60715.14749201758	-139.66155189943015	-60715.14749201758	5.391354627212939	3.560505794955025	-136.10104610447513	0.8892020437960927	1.2799547994983203	1.246598163567801	1.1514603391278821
28000	-60666.43754950878	-60524.80622186053	-141.63132764825542	-60524.80622186053	5.35189172813418	3.560505794955025	-138.0708218533004	1.0304066481413747	1.2897394245956102	1.2211477026325643	1.1422788261383003
28500	-60518.029249279934	-60378.8881431061	-139.14110617383218	-60378.8881431061	5.2781344777127766	3.560505794955025	-135.58060037887716	1.0915085132863072	1.2820592307681993	1.222978967961707	1.1375402398632914
29000	-60424.51024620578	-60283.0323831869	-141.47786301887675	-60283.0323831869	5.2781344777127766	3.560505794955025	-137.91735722392173	0.8607388911172548	1.3603254554785273	1.1958467348891058	1.1387203425398102
29500	-60367.49431275785	-60223.51665360711	-143.97765915073654	-60223.51665360711	5.844588059875979	3.560505794955025	-140.41715335578152	0.7759644257170606	1.309315078495882	1.1807134562803283	1.1409937521807922
30000	-60120.44390328013	-59979.83221559966	-140.61168768047597	-59979.83221559966	5.02816944620209	3.560505794955025	-137.05118188552095	0.9811483772948818	1.2562199187680223	1.0856448600342423	1.1084633294706265
30500	-59873.117535364356	-59725.21713436737	-147.9004009969866	-59725.21713436737	5.562938472307326	3.373661417571339	-144.52673957941528	0.8312810449784175	1.2479541407803014	1.0926689862846644	1.099295738373533
31000	-59636.61117650686	-59489.88613005121	-146.7250464556542	-59489.88613005121	5.501631880724024	3.373661417571339	-143.35138503808287	0.9041278023680641	1.257393313944797	1.0904896621960185	1.1010637386526947
31500	-59565.58433353696	-59415.96451725323	-149.61981628372118	-59415.96451725323	5.501631880724024	3.373661417571339	-146.24615486614985	0.9855139292086765	1.243509735137571	1.1108103902020388	1.1159734830928572
32000	-59440.41881667364	-59293.182470165666	-147.23634650797322	-59293.182470165666	5.434333391841011	3.373661417571339	-143.8626850904019	0.8773851513703435	1.2109133270686891	1.1058205106464014	1.1230800133836607
32500	-59210.1050769661	-59060.817622604125	-149.2874543619738	-59060.817622604125	5.450390956934317	3.373661417571339	-145.91379294440247	0.9334275614764455	1.1791929124977585	1.092701745912888	1.1228706374833681
33000	-59151.41602169529	-59001.25555975187	-150.160461943416	-59001.25555975187	5.601303832614143	3.373661417571339	-146.78680052584468	0.7984075508996478	1.194346509743852	1.1353638030491877	1.1497066312246436
33500	-59097.585236632745	-58945.189750519225	-152.3954861135205	-58945.189750519225	5.610724131383557	3.373661417571339	-149.02182469594916	0.954698631126272	1.2077479555332302	1.1049353477874948	1.1443916366283404
34000	-58969.57719385422	-58818.588262426376	-150.98893142783737	-58818.588262426376	5.6177474404705565	3.373661417571339	-147.61527001026604	0.8214678769613531	1.2497768743385531	1.122463394080656	1.138501205630452
34500	-58918.665930942094	-58767.784789128265	-150.88114181382966	-58767.784789128265	5.964537851356266	3.373661417571339	-147.50748039625833	0.814650482128574	1.2449712640417798	1.1065643750153997	1.1527413820551098
35000	-58709.0651119065	-58556.913053044984	-152.1520588615134	-58556.913053044984	6.354323688651738	3.373661417571339	-148.77839744394208	0.9196293835300485	1.2521488851120506	1.0986632666251586	1.1454082515560449
