#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:2021-03-21_OMPuniprot_muscle" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:2021-03-21_OMPuniprot_muscle" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:2021-03-21_OMPuniprot_muscle" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.2021-03-21_OMPuniprot_muscle" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:2021-03-21_OMPuniprot_muscle" name="distribution" x="@birthRate.t:2021-03-21_OMPuniprot_muscle">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:2021-03-21_OMPuniprot_muscle" name="distribution">
#            <parameter id="gammaShape.s:2021-03-21_OMPuniprot_muscle" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@2021-03-21_OMPuniprot_muscle" id="treeLikelihood.2021-03-21_OMPuniprot_muscle" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:2021-03-21_OMPuniprot_muscle">
#            <siteModel gammaCategoryCount="6" id="SiteModel.s:2021-03-21_OMPuniprot_muscle" shape="@gammaShape.s:2021-03-21_OMPuniprot_muscle" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:2021-03-21_OMPuniprot_muscle" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:2021-03-21_OMPuniprot_muscle" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JTT.s:2021-03-21_OMPuniprot_muscle" spec="beast.evolution.substitutionmodel.JTT"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:2021-03-21_OMPuniprot_muscle" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:2021-03-21_OMPuniprot_muscle" name="clock.rate" spec="beast.core.parameter.RealParameter">0.5</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	gammaShape	YuleModel	birthRate
0	-185286.1203824681	-185276.06249794262	-10.057884525474046	-185276.06249794262	1.1408312414831765	1.0	-9.057884525474046	1.0
1000	-108695.5069275062	-108111.02271045871	-584.4842170474868	-108111.02271045871	28.421564697936333	0.9241279119221755	-583.5600891355647	0.9293763334301052
2000	-99725.70380655782	-99410.33812189502	-315.3656846628066	-99410.33812189502	21.57507396997998	1.6837963517159593	-313.68188831109063	0.23554717311536794
3000	-90262.50979081444	-90001.5778838464	-260.93190696803225	-90001.5778838464	11.045769685005201	3.096313656918948	-257.8355933111133	0.3948686111301953
4000	-84268.71475492227	-84034.71200241176	-234.0027525105091	-84034.71200241176	9.366954346304897	3.096313656918948	-230.90643885359017	0.4028059602464118
5000	-78021.81884928257	-77808.04133178429	-213.77751749827638	-77808.04133178429	8.207376636188435	3.096313656918948	-210.68120384135744	0.5575818177596356
6000	-75202.28106682151	-74979.39366783596	-222.88739898555332	-74979.39366783596	7.152590458822711	5.970344918858942	-216.9170540666944	0.5268768793038762
7000	-71375.09947999321	-71171.2988704533	-203.80060953990363	-71171.2988704533	5.54709568104384	5.970344918858942	-197.8302646210447	0.6094783032063315
8000	-68875.26203063341	-68670.66778273338	-204.59424790003857	-68670.66778273338	6.20680395434021	5.970344918858942	-198.6239029811796	0.5283986995415557
9000	-65705.63621561334	-65502.16007907594	-203.47613653740063	-65502.16007907594	7.420919071503077	5.970344918858942	-197.50579161854168	0.5415081135021808
10000	-63847.00245340563	-63643.97838725346	-203.02406615216665	-63643.97838725346	7.499138858027005	5.970344918858942	-197.0537212333077	0.5542003884147323
11000	-61678.39027314493	-61481.943242452384	-196.44703069254166	-61481.943242452384	6.731642440606389	5.970344918858942	-190.47668577368273	0.6190118231929724
12000	-60289.26361943303	-60093.69304112977	-195.57057830326139	-60093.69304112977	7.613792004592803	6.1727950641265235	-189.39778323913487	0.5786126493168835
13000	-59365.64648219647	-59162.236173763165	-203.41030843330645	-59162.236173763165	7.8695912054218145	6.1727950641265235	-197.23751336917994	0.5111158637213165
14000	-58678.01936578628	-58450.77877906589	-227.24058672038245	-58450.77877906589	10.271821763938725	4.671307451400449	-222.569279268982	0.4633237539307266
15000	-57625.501180079315	-57406.251166257854	-219.25001382145743	-57406.251166257854	8.991315231671516	4.671307451400449	-214.57870637005698	0.4303956861067926
16000	-56767.17534305198	-56557.86701716715	-209.30832588483173	-56557.86701716715	8.528068805439178	4.671307451400449	-204.63701843343128	0.6020272315832614
17000	-56600.021929145114	-56391.089479104216	-208.932450040896	-56391.089479104216	8.260101537261729	4.6838490870359655	-204.24860095386003	0.5146470770451717
18000	-56296.19755845623	-56084.908917514535	-211.28864094170052	-56084.908917514535	8.815879556568518	4.6838490870359655	-206.60479185466457	0.5629296795539558
