#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:uniprotOMP_muscle" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:uniprotOMP_muscle" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:uniprotOMP_muscle" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.uniprotOMP_muscle" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:uniprotOMP_muscle" name="distribution" x="@birthRate.t:uniprotOMP_muscle">
#            <Exponential id="Exponential.1" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="GammaShapePrior.s:uniprotOMP_muscle" name="distribution">
#            <parameter id="gammaShape.s:uniprotOMP_muscle" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@uniprotOMP_muscle" id="treeLikelihood.uniprotOMP_muscle" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:uniprotOMP_muscle">
#            <siteModel gammaCategoryCount="6" id="SiteModel.s:uniprotOMP_muscle" shape="@gammaShape.s:uniprotOMP_muscle" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:uniprotOMP_muscle" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:uniprotOMP_muscle" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JTT.s:uniprotOMP_muscle" spec="beast.evolution.substitutionmodel.JTT"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:uniprotOMP_muscle" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:uniprotOMP_muscle" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	gammaShape
0	-282737.9999051303	-282724.4715745712	-13.528330559060425	-282724.4715745712	1.7122658946687364	-11.528330559060425	1.0	1.0
1000	-184077.52862415515	-183803.7418313918	-273.786792763374	-183803.7418313918	28.53218482348631	-272.4043369786099	0.38245578476413244	1.0
2000	-174010.05235097167	-173801.83573119662	-208.21661977504084	-173801.83573119662	12.564484940581616	-206.74792371258857	0.4686960624522569	1.0
3000	-166424.81565988754	-166274.60581055336	-150.2098493341879	-166274.60581055336	4.616686375906717	-148.55063971922866	0.5963837934183188	1.0628258215409532
4000	-158217.51099398365	-158081.49067397116	-136.02032001248926	-158081.49067397116	3.03993189336387	-134.09478910398454	0.8627050869637944	1.0628258215409532
5000	-152084.85760756678	-151938.4554692464	-146.40213832036648	-151938.4554692464	3.593256617713535	-143.87699452496562	0.7823779033986881	1.7427658920021647
6000	-146577.34466152452	-146442.73425964074	-134.61040188377538	-146442.73425964074	3.331088816749068	-131.11712437634395	0.7151573450028914	2.778120162428534
7000	-140544.25984374442	-140408.81191526045	-135.44792848397208	-140408.81191526045	3.255621558487956	-131.54304533171756	0.9228915312196407	2.98199162103487
8000	-136928.7262431609	-136785.1628241019	-143.56341905901652	-136785.1628241019	3.5852003034797777	-139.6236549626985	0.9577724752831409	2.98199162103487
9000	-133783.69633562487	-133632.70980974165	-150.98652588322264	-133632.70980974165	4.300370966848069	-146.69168907211105	0.9641403716371254	3.330696439474486
10000	-130960.48865066709	-130811.57745696048	-148.9111937066037	-130811.57745696048	4.994937470703527	-144.78532765612576	0.9397934637403017	3.186072586737655
11000	-127955.07159446168	-127803.82136964206	-151.25022481962668	-127803.82136964206	5.743410118561223	-147.22902354407344	0.8351286888155879	3.186072586737655
12000	-125452.93281322798	-125306.92965710355	-146.0031561244224	-125306.92965710355	5.2086426054183805	-142.07122834650056	0.7458551911841764	3.186072586737655
13000	-121858.45299052572	-121731.0519473531	-127.40104317261874	-121731.0519473531	4.471320835016235	-123.07334268689618	1.1416278989849071	3.186072586737655
14000	-120121.66658319281	-119992.15300578781	-129.51357740500487	-119992.15300578781	4.70229653461301	-125.36406540326914	0.963439414998058	3.186072586737655
15000	-119461.79949905496	-119336.91393416395	-124.8855648910144	-119336.91393416395	4.39532353335337	-120.71964678585573	0.9798455184210179	3.186072586737655
16000	-119104.71021620062	-118989.08528299956	-115.62493320105774	-118989.08528299956	4.167766475031744	-110.88206816970191	1.2451919320332778	3.497673099322552
17000	-119034.65070463877	-118920.59047461122	-114.0602300275527	-118920.59047461122	4.261480610103845	-109.46425462177946	1.0983023064506903	3.497673099322552
