Label,Cluster,Color
Marseille.FRA/37.18/3/D8,0,#e6194B
Marseille.FRA/34.18/1/D8,0,#e6194B
Marseille.FRA/36.18/1/D8,0,#e6194B
Marseille.FRA/37.18/1/D8,0,#e6194B
Marseille.FRA/37.18/2/D8,0,#e6194B
Marseille.FRA/38.18/1/D8,0,#e6194B
Tours.FRA/49.18.B3...MIBE.,1,#3cb44b
Manchester.GBR/30.13/D8,2,#ffe119
Coventry.GBR/42.12/2/D8,2,#ffe119
Coventry.GBR/40.12/D8,2,#ffe119
London.GBR/21.13/D8,2,#ffe119
London.GBR/20.13/2/D8,2,#ffe119
Crewe.GBR/46.12/D8,2,#ffe119
Exeter.GBR/52.12/D8,2,#ffe119
Swansea.GBR/16.13/5/D8,2,#ffe119
Swansea.GBR/9.13/D8,2,#ffe119
Swansea.GBR/13.13/4/D8,2,#ffe119
Swansea.GBR/10.13/D8,2,#ffe119
Swansea.GBR/16.13/2/D8,2,#ffe119
Swansea.GBR/17.13/9/D8,2,#ffe119
Taunton.GBR/15.13/D8,2,#ffe119
Swansea.GBR/14.13/4/D8,2,#ffe119
Swansea.GBR/15.13/D8,2,#ffe119
New.Jersey.USA/45.05,3,#4363d8
Marseille.FRA/15.19/2/D8,4,#f58231
Marseille.FRA/20.19/4/D8,4,#f58231
Marseille.FRA/19.19/4/D8,4,#f58231
Marseille.FRA/19.19/6/D8,4,#f58231
Marseille.FRA/27.19/5/D8,4,#f58231
Marseille.FRA/29.19/3/D8,4,#f58231
Marseille.FRA/21.19/4/D8,4,#f58231
Marseille.FRA/22.19/1/D8,4,#f58231
Marseille.FRA/20.19/2/D8,4,#f58231
Marseille.FRA/28.19/1/D8,4,#f58231
Marseille.FRA/23.19/5/D8,4,#f58231
Marseille.FRA/27.19/3/D8,4,#f58231
Marseille.FRA/29.19/1/D8,4,#f58231
Marseille.FRA/28.19/2/D8,4,#f58231
Marseille.FRA/27.19/2/D8,4,#f58231
Marseille.FRA/27.19/1/D8,4,#f58231
Marseille.FRA/19.19/16/D8,4,#f58231
Marseille.FRA/21.19/15/D8,4,#f58231
Marseille.FRA/28.19/3/D8,4,#f58231
Marseille.FRA/26.19/2/D8,4,#f58231
Marseille.FRA/12.18/1/D8,5,#ba3fdf
Zhoushan.CHN/09.19/D8,6,#42d4f4
Villupuram.Ind/03.07/D8,7,#bfef45
IMB-1,8,#fabed4
Zhejiang.CHN/12.06/2/H1,8,#fabed4
Zhejiang.CHN/14.07/1/H1,8,#fabed4
Zhuhai.CHN/10.17/2/H1,8,#fabed4
Zhejiang.CHN/10.05/1/H1,8,#fabed4
Daegu.KOR/20.27/3/H1,8,#fabed4
Zhejiang.CHN/12.09/1/H1,8,#fabed4
Pennsylvania.USA/20.09,8,#fabed4
Zhejiang.CHN/16.10/2/H1,8,#fabed4
Zhejiang.CHN/10.11/2/H1,8,#fabed4
Guizhou.CHN/29.13/H1,8,#fabed4
Zhejiang.CHN/12.08/1/H1,8,#fabed4
BritishColumbia.CAN/12.10/1/H1,8,#fabed4
Incheon.KOR/25.10/8/H1,8,#fabed4
Marseille.FRA/27.19/4/D8,9,#469990
Marseille.FRA/29.19/4/D8,9,#469990
Marseille.FRA/29.19/6/D8,9,#469990
Marseille.FRA/29.19/5/D8,9,#469990
Marseille.FRA/29.19/2/D8,9,#469990
Marseille.FRA/30.19/1/D8,9,#469990
Marseille.FRA/31.19/1/D8,9,#469990
Wajir.South.KEN/07.20/2/B3,10,#dcbeff
Galole.KEN/06.20/B3,10,#dcbeff
Wajir.South.KEN/07.20/1/B3,10,#dcbeff
Bura.KEN/06.20/2/B3,10,#dcbeff
Bura.KEN/07.20/B3,10,#dcbeff
Bura.KEN/06.20/1/B3,10,#dcbeff
Jamnagar.IND/4.17/1/D4,11,#9A6324
Pune.IND/16.14/D4,11,#9A6324
Perambalur.Ind/17.07/D4,11,#9A6324
Treviso.ITA/03.10/1/D4,11,#9A6324
Florida.USA/19.09,11,#9A6324
New.York.USA/26.09/3,11,#9A6324
Paris.FRA/18.11/D4,11,#9A6324
Ontario.CAN/4.15/12/D4,11,#9A6324
London.GBR/19.11/5/D4,11,#9A6324
London.GBR/20.11/2/D4,11,#9A6324
California.USA/47.13/D4,11,#9A6324
Brighton.GBR/49.11/D4,11,#9A6324
Brighton.GBR/12.12/7/D4,11,#9A6324
London.GBR/20.12/D4,11,#9A6324
California.USA/16.12/D4,11,#9A6324
California.USA/16.03,12,#b3a400
Haridwar.IND/06.14/3/D8,13,#800000
Haridwar.IND/06.14/2/D8,13,#800000
Anand.IND/33.15/2/D8,13,#800000
Kutch.IND/06.15/D8,13,#800000
London.GBR/28.12/D8,13,#800000
Muenchen.DEU/19.13/D8,13,#800000
DongThap.VNM/08.14/D8,13,#800000
DongThap.VNM/06.14/D8,13,#800000
DongThap.VNM/06.14/2/D8,13,#800000
DongThap.VNM/05.14/D8,13,#800000
DongThap.VNM/07.14/D8,13,#800000
Padova.ITA/14.17/5/B3,14,#82baff
Padova.ITA/13.17/1/B3,14,#82baff
Padova.ITA/14.17/1/B3,14,#82baff
Padova.ITA/14.17/2/B3,14,#82baff
Padova.ITA/12.17/1/B3,14,#82baff
Padova.ITA/16.17/6/B3,14,#82baff
Venice.ITA/06.11/1/G3,15,#808000
Changwon.KOR/39.16/2/D8,16,#ffd8b1
Marseille.FRA/27.17/2/D8,17,#0072B2
Marseille.FRA/20.18/1/D8,18,#999999
Marseille.FRA/30.18/1/D8,18,#999999
Marseille.FRA/29.18/2/D8,18,#999999
Marseille.FRA/37.19/1/D8,18,#999999
Marseille.FRA/23.18/1/D8,18,#999999
Marseille.FRA/35.18/1/D8,18,#999999
Haridwar.IND/06.14/5/D8,19,#E69F00
Teeside.GBR/18.13/2/D8,19,#E69F00
Teeside.GBR/16.13/6/D8,19,#E69F00
Marseille.FRA/13.19/2/D8,6,#42d4f4
Teeside.GBR/9.13/3/D8,19,#E69F00
Marseille.FRA/19.19/3/D8,6,#42d4f4
Lincoln.GBR/15.13/D8,19,#E69F00
Marseille.FRA/17.19/1/D8,6,#42d4f4
NewcastleuponTyne.GBR/16.13/D8,19,#E69F00
Marseille.FRA/21.19/18/D8,6,#42d4f4
Roraima.BRA/31.18/D8,16,#ffd8b1
Teeside.GBR/9.13/4/D8,19,#E69F00
Marseille.FRA/21.19/11/D8,6,#42d4f4
Padova.ITA/14.17/2/D8,16,#ffd8b1
Marseille.FRA/12.18/2/D8,17,#0072B2
Teeside.GBR/9.13/5/D8,19,#E69F00
Marseille.FRA/19.19/1/B3,6,#42d4f4
Padova.ITA/14.17/3/D8,16,#ffd8b1
Marseille.FRA/21.18/2/D8,17,#0072B2
Gloucester.GBR/46.12/2/D8,19,#E69F00
Marseille.FRA/21.19/19/D8,6,#42d4f4
Pune.IND/10.13/1/D8,12,#b3a400
Padova.ITA/13.17/1/D8,16,#ffd8b1
Marseille.FRA/29.17/1/D8,17,#0072B2
Gloucester.GBR/46.12/D8,19,#E69F00
Marseille.FRA/21.19/1/B3,3,#4363d8
Marseille.FRA/23.19/7/D8,6,#42d4f4
Daman.IND/7.15/D8,12,#b3a400
Verona.ITA/19.17/2/D8,16,#ffd8b1
Marseille.FRA/27.17/1/D8,17,#0072B2
Sheffield.GBR/32.12/3/D8,19,#E69F00
Marseille.FRA/19.19/19/B3,3,#4363d8
Marseille.FRA/31.18/2/D8,5,#ba3fdf
Marseille.FRA/13.19/1/D8,6,#42d4f4
Panna.IND/28.15,12,#b3a400
Villupuram.Ind/13.06/D8,15,#808000
Venezia.ITA/22.17/3/D8,16,#ffd8b1
Marseille.FRA/21.18/1/D8,17,#0072B2
Derby.GBR/47.12/D8,19,#E69F00
Marseille.FRA/19.19/5/D8,3,#4363d8
Marseille.FRA/33.18/2/D8,5,#ba3fdf
Marseille.FRA/20.19/3/D8,6,#42d4f4
London.GBR/22.12/3/D8,12,#b3a400
Krishnagiri.Ind/12.06/D8,15,#808000
Ancona.ITA/45.17/1/D8,16,#ffd8b1
Marseille.FRA/31.17/1/D8,17,#0072B2
Sheffield.GBR/32.12/D8,19,#E69F00
Padova.ITA/15.17/1/B3,1,#3cb44b
Marseille.FRA/27.19/6/B3,3,#4363d8
Marseille.FRA/33.18/1/D8,5,#ba3fdf
Marseille.FRA/15.19/1/D8,6,#42d4f4
Faridabad.IND/22.14/D8,12,#b3a400
California.USA/19.10/D9,15,#808000
Queenstown.NZL/41.16/D8,16,#ffd8b1
Marseille.FRA/31.17/2/D8,17,#0072B2
Hull.GBR/47.12/D8,19,#E69F00
Padova.ITA/15.17/2/B3,1,#3cb44b
Manchester.GBR/31.13/B3,3,#4363d8
Marseille.FRA/40.18/1/D8,5,#ba3fdf
Marseille.FRA/20.19/5/D8,6,#42d4f4
California.USA/49.10/D8,12,#b3a400
Gyeongnam.KOR/27.11/1/D9,15,#808000
Palmerston.North.NZL/5.17/2/D8,16,#ffd8b1
Marseille.FRA/25.17/1/D8,17,#0072B2
Padova.ITA/17.17/3/B3,1,#3cb44b
California.USA/05.14/B3,3,#4363d8
Marseille.FRA/28.18/1/D8,5,#ba3fdf
Marseille.FRA/17.19/3/D8,6,#42d4f4
Jamnagar.IND/18.15/D8,7,#bfef45
Gr.Mumbai.IND/01.15/D8,12,#b3a400
California.USA/8.04,15,#808000
Seoul.KOR/37.16/D8,16,#ffd8b1
Marseille.FRA/29.17/2/D8,17,#0072B2
Padova.ITA/14.17/7/B3,1,#3cb44b
London.GBR/4.14/2/B3,3,#4363d8
Marseille.FRA/27.18/1/D8,5,#ba3fdf
Marseille.FRA/16.19/1/D8,6,#42d4f4
Jamnagar.IND/23.15/D8,7,#bfef45
Kanpur.IND/16.14/D8,12,#b3a400
Arizona.USA/11.08/2,15,#808000
Geoje.KOR/41.16/D8,16,#ffd8b1
Padova.ITA/16.17/2/B3,1,#3cb44b
Alabama.USA/13.14/B3,3,#4363d8
Marseille.FRA/26.18/2/D8,5,#ba3fdf
Marseille.FRA/20.19/6/D8,6,#42d4f4
Jamnagar.IND/18.15/2/D8,7,#bfef45
Virginia.USA/15.09,12,#b3a400
Alberta.CAN/22.14.D6..SSPE.,15,#808000
Padova.ITA/19.17/1/B3,1,#3cb44b
Luton.GBR/4.14/B3,3,#4363d8
Marseille.FRA/23.18/2/D8,5,#ba3fdf
Marseille.FRA/30.19/2/D8,6,#42d4f4
Bhavnagar.IND/03.15/D8,7,#bfef45
NewDelhi.IND/26.14/D8,12,#b3a400
Padova.ITA/14.17/3/B3,1,#3cb44b
NewcastleuponTyne.GBR/9.14/B3,3,#4363d8
Marseille.FRA/31.18/1/D8,5,#ba3fdf
Marseille.FRA/39.19/1/D8,6,#42d4f4
Gr.Mumbai.IND/10.15/D8,7,#bfef45
Vicenza.ITA/12.10/2/D8,12,#b3a400
Padova.ITA/16.17/4/B3,1,#3cb44b
London.GBR/3.14/3/B3,3,#4363d8
Marseille.FRA/29.18/1/D8,5,#ba3fdf
Marseille.FRA/41.19/1/D8,6,#42d4f4
Udupi.IND/7.15/7,7,#bfef45
Menglian.CHN/47.09.D11.,12,#b3a400
Padova.ITA/24.17/1/B3,1,#3cb44b
London.GBR/3.14/B3,3,#4363d8
Marseille.FRA/25.18/1/D8,5,#ba3fdf
Marseille.FRA/39.19/2/D8,6,#42d4f4
Bijapur.IND/50.15/2/D8,7,#bfef45
Padova.ITA/13.17/2/B3,1,#3cb44b
California.USA/08.14/3/B3,3,#4363d8
Marseille.FRA/27.18/3/D8,5,#ba3fdf
Marseille.FRA/23.19/6/D8,6,#42d4f4
Anand.IND/50.15/D8,7,#bfef45
Padova.ITA/11.17/1/B3,1,#3cb44b
London.GBR/3.14/2/B3,3,#4363d8
Marseille.FRA/13.18/1/D8,5,#ba3fdf
Marseille.FRA/23.19/1/D8,6,#42d4f4
Sundargarh.IND/10.14/D8,7,#bfef45
Padova.ITA/21.17/1/B3,1,#3cb44b
NewcastleuponTyne.GBR/35.13/B3,3,#4363d8
Marseille.FRA/27.18/4/D8,5,#ba3fdf
Marseille.FRA/21.19/20/D8,6,#42d4f4
BritishColumbia.CAN/13.10/1/D8,7,#bfef45
Padova.ITA/19.17/2/B3,1,#3cb44b
London.GBR/41.13/B3,3,#4363d8
Marseille.FRA/17.18/1/D8,5,#ba3fdf
Marseille.FRA/14.19/1/D8,6,#42d4f4
Llandudno.GBR/7.12/2/D8,7,#bfef45
Padova.ITA/21.17/2/B3,1,#3cb44b
Dartford.GBR/2.14/B3,3,#4363d8
Marseille.FRA/17.18/2/D8,5,#ba3fdf
Jiangxi.CHN/13.19/1,6,#42d4f4
