Label,Cluster,Color,PassOne,PassOneCol
Missouri.USA|19.17|FH140|G,0.0,#2f4f4f,0,#2f4f4f
Georgia.USA|2.17|G,1,#556b2f,1,#556b2f
Massachusetts.USA|5.17|G,1,#556b2f,1,#556b2f
Massachusetts.USA|12.17|G,1,#556b2f,1,#556b2f
Massachusetts.USA|18.17|G,1,#556b2f,1,#556b2f
Massachusetts.USA|23.17|2|G,1,#556b2f,1,#556b2f
Massachusetts.USA|19.17|2|G,1,#556b2f,1,#556b2f
NewJersey.USA|16.14|2|G,2.0,#8b4513,2,#8b4513
Leeds.GBR|9.04|J,3.0,#2e8b57,3,#2e8b57
Shandong.CHN|4.05|F,4,#228b22,4,#228b22
Zhejiang.CHN|16.08|2,4,#228b22,4,#228b22
Zhejiang.CHN|11.06|1,4,#228b22,4,#228b22
BritishColumbia.CAN|34.16|2|F,4,#228b22,4,#228b22
Zhejiang.CHN|26.05,4,#228b22,4,#228b22
Zhejiang.CHN|19.10,4,#228b22,4,#228b22
SP|ZZ,4,#228b22,4,#228b22
special|ZZ,4,#228b22,4,#228b22
BritishColumbia.CAN|36.16|G,5.0,#708090,5,#708090
Chennai.IND|35.12|C,6,#8b0000,6,#8b0000
Davangere-IND|01.14|C,6,#8b0000,6,#8b0000
Osmanabad.IND|10.12|17|C,6,#8b0000,6,#8b0000
Osmanabad.IND|10.12|18|C,6,#8b0000,6,#8b0000
Pune-Ind|50.08|C,6,#8b0000,6,#8b0000
Kushinagar.IND|36.13|C,6,#8b0000,6,#8b0000
Ontario.CAN|09.17|5|C,6,#8b0000,6,#8b0000
31170263,7.0,#808000,7,#808000
Massachusetts.USA|37.15|1|G,8.0,#483d8b,8,#483d8b
Washington.USA|16.17|FH36|G,9.0,#008080,9,#008080
Washington.USA|4.17|FH48|G,9.0,#008080,9,#008080
Washington.USA|30.17|FH32|G,10,#b8860b,10,#b8860b
Washington.USA|23.17|FH150|G,10,#b8860b,10,#b8860b
Washington.USA|20.17|FH73|G,10,#b8860b,10,#b8860b
Washington.USA|23.17|FH149|G,10,#b8860b,10,#b8860b
Washington.USA|15.17|FH20|G,10,#b8860b,10,#b8860b
BritishColumbia.CAN|14.11|2|G,11.0,#4682b4,11,#4682b4
Ontario.CAN|37.09|G,11.0,#4682b4,11,#4682b4
London.GBR|3.02.Uncl,12.0,#d2691e,12,#d2691e
NewJersey.USA|49.14|G,13,#9acd32,13,#9acd32
Massachusetts.USA|26.15|1|G,13,#9acd32,13,#9acd32
NewYork|10.14|2|G,13,#9acd32,13,#9acd32
NewYork.USA|51.14|G,13,#9acd32,13,#9acd32
Pennsylvania.USA|51.14|G,13,#9acd32,13,#9acd32
Virginia.USA|51.14|G,13,#9acd32,13,#9acd32
Arkansas.USA|40.16|G,14.0,#32cd32,14,#32cd32
Massachusetts.USA|16.16|13|G,15.0,#8fbc8f,15,#8fbc8f
MuVi.MNG09.024,16,#800080,16,#800080
Virginia.USA|10.12|H,16,#800080,16,#800080
Wisconsin.USA|15.06|FH87|H,16,#800080,16,#800080
Bedford.GBR|0.89|H,16,#800080,16,#800080
Novosibirsk.RUS|10.03.H,16,#800080,16,#800080
Mass.USA|4.10,16,#800080,16,#800080
NewPlymouth.NZL|30.17|G,17,#b03060,17,#b03060
Dunedin.NZL|32.17|G,17,#b03060,17,#b03060
Washington.USA|14.17|FH98|G,17,#b03060,17,#b03060
Washington.USA|19.17|FH100|G,17,#b03060,17,#b03060
Missouri.USA|28.17|FH101|G,18,#9932cc,18,#9932cc
Ohio.USA|11.17|FH132|G,18,#9932cc,18,#9932cc
Wisconsin.USA|15.17|FH137|G,18,#9932cc,18,#9932cc
Missouri.USA|11.17|FH133|G,18,#9932cc,18,#9932cc
Wisconsin.USA|19.17|FH141|G,18,#9932cc,18,#9932cc
Massachusetts.USA|17.17|G,18,#9932cc,18,#9932cc
Massachusetts.USA|25.17|5|G,18,#9932cc,18,#9932cc
Washington.USA|19.17|FH44|G,18,#9932cc,18,#9932cc
Wisconsin.USA|15.17|FH89|G,18,#9932cc,18,#9932cc
Missouri.USA|15.17|FH138|G,18,#9932cc,18,#9932cc
Missouri.USA|15.17|FH134|G,18,#9932cc,18,#9932cc
Illinois.USA|11.17|G,18,#9932cc,18,#9932cc
Massachusetts.USA|22.16|3|G,19.0,#ff4500,19,#ff4500
No.designation.vaccine.related|A,20,#00ced1,20,#00ced1
London.GBR|27.14|A,20,#00ced1,20,#00ced1
Wisconsin.USA|15.06|FH91|A,20,#00ced1,20,#00ced1
Georgia.USA|13.17|G,21,#ff8c00,21,#ff8c00
Massachusetts.USA|24.17|G,21,#ff8c00,21,#ff8c00
Massachusetts.USA|24.17|4|G,21,#ff8c00,21,#ff8c00
Massachusetts.USA|22.17|4|G,21,#ff8c00,21,#ff8c00
Massachusetts.USA|21.17|G,21,#ff8c00,21,#ff8c00
Massachusetts.USA|25.17|G,21,#ff8c00,21,#ff8c00
Massachusetts.USA|13.17|2|G,21,#ff8c00,21,#ff8c00
Massachusetts.USA|19.17|3|G,21,#ff8c00,21,#ff8c00
Massachusetts.USA|18.16|1|G,22.0,#ffd700,22,#ffd700
Texas.USA|15.17|G,23,#0000cd,23,#0000cd
Texas.USA|18.17|G,23,#0000cd,23,#0000cd
Massachusetts.USA|46.16|4|G,23,#0000cd,23,#0000cd
Massachusetts.USA|45.16|5|G,23,#0000cd,23,#0000cd
Ohio.USA|46.17|FH157|G,23,#0000cd,23,#0000cd
NorthCarolina.USA|11.17|FH136|G,23,#0000cd,23,#0000cd
Alabama.USA|50.17|FH156|G,23,#0000cd,23,#0000cd
BritishColumbia.CAN|8.17|3|G,23,#0000cd,23,#0000cd
Massachusetts.USA|52.16|G,24.0,#deb887,24,#deb887
Wisconsin.USA|7.07|FH107|G,25.0,#00ff00,25,#00ff00
Wisconsin.USA|11.07|FH109|G,25.0,#00ff00,25,#00ff00
Wisconsin.USA|7.07|FH154|G,25.0,#00ff00,25,#00ff00
Wisconsin.USA|11.07|FH108|G,25.0,#00ff00,25,#00ff00
Massachusetts.USA|11.17|G,26,#00fa9a,26,#00fa9a
Massachusetts.USA|7.17|G,26,#00fa9a,26,#00fa9a
Massachusetts.USA|9.17|G,26,#00fa9a,26,#00fa9a
Arkansas.USA|41.16|G,27,#dc143c,27,#dc143c
Ohio.USA|2.17|FH128|G,27,#dc143c,27,#dc143c
Ohio.USA|7.17|FH130|G,27,#dc143c,27,#dc143c
Arkansas.USA|5.17|G,27,#dc143c,27,#dc143c
Ge9.DEU|0.77|D,28,#00bfff,28,#00bfff
California.USA|50.07|1,28,#00bfff,28,#00bfff
RW154.USA|0.70s|K,28,#00bfff,28,#00bfff
Massachusetts.USA|24.17|5|K,28,#00bfff,28,#00bfff
Washington.USA|9.17|FH94|K,28,#00bfff,28,#00bfff
Ontario.CAN|13.17|1|G,29,#f4a460,29,#f4a460
