Label,Cluster,Color
sp|I2BAK7|OMPA.SHIBC,0,#2f4f4f
sp|P09146|OMPA.KLEAE,0,#2f4f4f
sp|P0DJO6|OMPA.SHIBL,0,#2f4f4f
sp|P24017|OMPA.KLEPN,0,#2f4f4f
sp|O84882|PMPI.CHLTR,1,#556b2f
sp|Q9PL41|PMPI.CHLMU,1,#556b2f
sp|A0A2S4N3N0|OMPA.SHIFL,2,#8b4513
sp|B7LNW7|OMPA.ESCF3,2,#8b4513
sp|P02935|OMPA.SHIDY,2,#8b4513
sp|P02936|OMPA.SALTY,2,#8b4513
sp|P0A910|OMPA.ECOLI,2,#8b4513
sp|P0A911|OMPA.ECO57,2,#8b4513
sp|P0C8Z2|OMPA.ESCFE,2,#8b4513
sp|P24016|OMPA.CITFR,2,#8b4513
sp|P24754|OMPA.ATLHE,2,#8b4513
sp|P80444|OMPA.ACTLI,2,#8b4513
sp|Q8Z7S0|OMPA.SALTI,2,#8b4513
sp|O84879|PMPG.CHLTR,3,#2e8b57
sp|Q9PL45|PMPG.CHLMU,3,#2e8b57
sp|Q9Z896|PMP13.CHLPN,3,#2e8b57
sp|O31101|SRPC.PSEPU,4,#228b22
sp|P0C071|MEPC.PSEPU,4,#228b22
sp|Q51397|OPRJ.PSEAE,4,#228b22
sp|Q51487|OPRM.PSEAE,4,#228b22
sp|Q849R1|SEPC.PSEP1,4,#228b22
sp|Q88N32|TTGC.PSEPK,4,#228b22
sp|Q93PU3|TTGI.PSEPT,4,#228b22
sp|Q9KJC1|ARPC.PSEPU,4,#228b22
sp|Q9KWV3|TTGF.PSEPT,4,#228b22
sp|Q9WWZ8|TTGC.PSEPT,4,#228b22
sp|P32714|MDTP.ECOLI,5,#708090
sp|Q83P87|MDTP.SHIFL,5,#708090
sp|Q8CVH8|MDTP.ECOL6,5,#708090
sp|Q8X5R9|MDTP.ECO57,5,#708090
sp|P02930|TOLC.ECOLI,6,#8b0000
sp|P85410|OMP5.HAEPR,6,#8b0000
sp|Q54001|TOLC.SALEN,6,#8b0000
sp|Q8G0Y6|BEPC.BRUSU,6,#8b0000
sp|Q9K2Y1|TOLC.VIBCH,6,#8b0000
sp|P07050|OMP3.NEIGO,7,#808000
sp|P0A0V2|OMP4.NEIMA,7,#808000
sp|P0A0V3|OMP4.NEIMB,7,#808000
sp|Q9S3R8|OMP40.PORGI,23,#00fa9a
sp|Q9S3R9|OMP41.PORGI,23,#00fa9a
sp|P0A261|TSX.SALTY,8,#008080
sp|P0A262|TSX.SALTI,8,#008080
sp|P0A927|TSX.ECOLI,8,#008080
sp|P0A928|TSX.ECO57,8,#008080
sp|P0A929|TSX.SHIFL,8,#008080
sp|P40785|TSX.KLEAK,8,#008080
sp|P40786|TSX.KLEPN,8,#008080
sp|O84417|PMPA.CHLTR,9,#b8860b
sp|Q9PJY3|PMPA.CHLMU,9,#b8860b
sp|Q9Z813|PMP19.CHLPN,9,#b8860b
sp|Q9Z3D6|PMP12.CHLPN,21,#deb887
sp|P0A917|OMPX.ECOLI,10,#d2691e
sp|P0A918|OMPX.ECOL6,10,#d2691e
sp|P0A919|OMPX.ECO57,10,#d2691e
sp|P0A920|OMPX.SHIFL,10,#d2691e
sp|P23988|PAGC.SALTY,10,#d2691e
sp|P25253|OMPX.ENTCL,10,#d2691e
sp|O84877|PMPE.CHLTR,11,#9acd32
sp|P38008|PMPF.CHLTR,11,#9acd32
sp|Q9PL46|PMPF.CHLMU,11,#9acd32
sp|Q9PL47|PMPE.CHLMU,11,#9acd32
sp|Q9Z880|PMP18.CHLPN,11,#9acd32
sp|Q9Z882|PMP16.CHLPN,11,#9acd32
sp|Q9Z883|PMP15.CHLPN,11,#9acd32
sp|A1KH31|ARFA.MYCBP,12,#32cd32
sp|P65594|ARFA.MYCBO,12,#32cd32
sp|P9WIU4|ARFA.MYCTO,12,#32cd32
sp|P9WIU5|ARFA.MYCTU,12,#32cd32
sp|Q05146|OMPA.BORAV,12,#32cd32
sp|O84818|PMPD.CHLTR,13,#8fbc8f
sp|Q9PLB0|PMPD.CHLMU,13,#8fbc8f
sp|Q9Z6U5|PMP21.CHLPN,13,#8fbc8f
sp|P75733|CHIP.ECOLI,14,#800080
sp|Q47706|UIDC.ECOLI,14,#800080
sp|Q7CQY4|CHIP.SALTY,14,#800080
sp|P04845|OMPA.SERMA,15,#b03060
sp|P24755|OMPA.SEROD,15,#b03060
sp|P38399|OMPA.YERPS,15,#b03060
sp|Q8ZG77|OMPA.YERPE,15,#b03060
sp|P33369|MDTQ.ECOLI,16,#9932cc
sp|Q83KF5|MDTQ.SHIFL,16,#9932cc
sp|Q8FFV6|MDTQ.ECOL6,16,#9932cc
sp|Q8X659|MDTQ.ECO57,16,#9932cc
sp|P38368|OMP52.HAEIF,17,#ff4500
sp|P43840|OMP5.HAEIN,17,#ff4500
sp|P45996|OMP53.HAEIF,17,#ff4500
sp|O84880|PMPH.CHLTR,18,#00ced1
sp|Q9PL44|PMPH.CHLMU,18,#00ced1
sp|Q9Z895|PMP14.CHLPN,18,#00ced1
sp|P13794|PORF.PSEAE,19,#ff8c00
