Label,Cluster,Color,PassOne,PassOneCol
hCoV-19/NewZealand/22ZA5739/2022,0.0,#2f4f4f,0,#2f4f4f
hCoV-19/Luxembourg/LNS0339426/2022,1,#556b2f,1,#556b2f
hCoV-19/Canada/ON-PHL-23-13744/2023,1,#556b2f,1,#556b2f
hCoV-19/Latvia/2212044923/2022,1,#556b2f,1,#556b2f
hCoV-19/Israel/CVL-8014145/2023,1,#556b2f,1,#556b2f
hCoV-19/NewZealand/23ZA0759/2023,1,#556b2f,1,#556b2f
hCoV-19/Canada/QC-LSPQ-L00584998001/2023,1,#556b2f,1,#556b2f
hCoV-19/SouthKorea/KDCA181503/2022,1,#556b2f,1,#556b2f
hCoV-19/Argentina/LCMSC-73159-16/2023,1,#556b2f,1,#556b2f
hCoV-19/Malawi/NGRL-61120/2022,1,#556b2f,1,#556b2f
hCoV-19/Uganda/UVRI455047/2022,1,#556b2f,1,#556b2f
hCoV-19/Belgium/rega-46810/2023,1,#556b2f,1,#556b2f
hCoV-19/Paraguay/567596/2023,1,#556b2f,1,#556b2f
hCoV-19/Paraguay/570692/2023,1,#556b2f,1,#556b2f
hCoV-19/Australia/QLD0x012A5E/2022,1,#556b2f,1,#556b2f
hCoV-19/Canada/QC-L00596277001/2023,1,#556b2f,1,#556b2f
hCoV-19/Indonesia/JK-GS-GSILab-1146173/2023,1,#556b2f,1,#556b2f
hCoV-19/Portugal/PT44823/2022,1,#556b2f,1,#556b2f
hCoV-19/Argentina/118442-5/2023,1,#556b2f,1,#556b2f
hCoV-19/Kosovo/16-NIPHK/2023,1,#556b2f,1,#556b2f
hCoV-19/Croatia/HZJZ-2252/2023,1,#556b2f,1,#556b2f
hCoV-19/Brunei/7122200836/2022,1,#556b2f,1,#556b2f
hCoV-19/Guadeloupe/IPP58894/2022,1,#556b2f,1,#556b2f
hCoV-19/Finland/THL-01222/2023,1,#556b2f,1,#556b2f
hCoV-19/NorthMacedonia/IPH-MKD-3972K/2022,1,#556b2f,1,#556b2f
hCoV-19/USA/AZ-CDC-STM-U6QZXBGGQ/2022,1,#556b2f,1,#556b2f
hCoV-19/NorthMacedonia/IPH-MKD-161R/2023,1,#556b2f,1,#556b2f
hCoV-19/Norway/479/2023,1,#556b2f,1,#556b2f
hCoV-19/Greece/50609/2022,1,#556b2f,1,#556b2f
hCoV-19/USA/WA-CDC-LC1028165/2023,1,#556b2f,1,#556b2f
hCoV-19/Sweden/01-SE100-23CS500474/2023,1,#556b2f,1,#556b2f
hCoV-19/Brunei/7123000397/2023,1,#556b2f,1,#556b2f
hCoV-19/France/GES-IPP01324/2023,1,#556b2f,1,#556b2f
hCoV-19/Italy/CAM-TIGEM-IZSM-COLLI-45145/2022,1,#556b2f,1,#556b2f
hCoV-19/Andorra/AND-263-223631269001-GC/2022,1,#556b2f,1,#556b2f
hCoV-19/USA/NM-NMDOH-2022156195/2022,1,#556b2f,1,#556b2f
hCoV-19/Argentina/INEI-124234/2022,1,#556b2f,1,#556b2f
hCoV-19/Coted-Ivoire/IPCI-DVE-E749975/2022,1,#556b2f,1,#556b2f
hCoV-19/NewZealand/22ZA4452/2022,1,#556b2f,1,#556b2f
hCoV-19/France/OCC-GENBIO-C21GN3520023/2022,1,#556b2f,1,#556b2f
hCoV-19/Brazil/TO-FIOCRUZ-1101/2023,1,#556b2f,1,#556b2f
hCoV-19/AntiguaandBarbuda/173411/2022,1,#556b2f,1,#556b2f
hCoV-19/env/Liechtenstein/CeMM34493/2023,1,#556b2f,1,#556b2f
hCoV-19/Canada/AB-ABPHL-92069/2023,1,#556b2f,1,#556b2f
hCoV-19/CaboVerde/SV0021/2023,1,#556b2f,1,#556b2f
hCoV-19/Curacao/CW-RIVM-123647/2022,1,#556b2f,1,#556b2f
hCoV-19/Slovakia/BA-23-00000306/2023,1,#556b2f,1,#556b2f
hCoV-19/Botswana/R200B12-BHP-158104424/2022,1,#556b2f,1,#556b2f
hCoV-19/USA/FL-CDC-QDX44485264/2022,1,#556b2f,1,#556b2f
hCoV-19/Uruguay/DLSP-3934/2022,1,#556b2f,1,#556b2f
hCoV-19/DominicanRepublic/2131802-LNSPDD/2023,1,#556b2f,1,#556b2f
hCoV-19/AmericanSamoa/AS-H2319335/2023,1,#556b2f,1,#556b2f
hCoV-19/Curacao/CW-RIVM-126413/2023,1,#556b2f,1,#556b2f
hCoV-19/Ecuador/USFQ-4597/2022,1,#556b2f,1,#556b2f
hCoV-19/AntiguaandBarbuda/173410/2022,1,#556b2f,1,#556b2f
hCoV-19/Ireland/LK-NVRL-S23IRL00007891/2023,1,#556b2f,1,#556b2f
hCoV-19/Chile/AP-13197/2023,1,#556b2f,1,#556b2f
hCoV-19/Bulgaria/22BG-EU-022806-Pl211/2022,1,#556b2f,1,#556b2f
hCoV-19/Denmark/DCGC-635748/2023,1,#556b2f,1,#556b2f
hCoV-19/Brazil/RS-LACENRS-431827116/2023,1,#556b2f,1,#556b2f
hCoV-19/Austria/LB-R00121-S122/2023,1,#556b2f,1,#556b2f
hCoV-19/Aruba/AW-RIVM-124645/2023,1,#556b2f,1,#556b2f
hCoV-19/Greece/2023-1015/2023,1,#556b2f,1,#556b2f
hCoV-19/Ecuador/GENSBIO-INSPI-102359/2023,1,#556b2f,1,#556b2f
hCoV-19/Canada/QC-L00585973001/2023,1,#556b2f,1,#556b2f
hCoV-19/Uganda/UVRI-457278/2023,1,#556b2f,1,#556b2f
hCoV-19/Oman/723566/2023,1,#556b2f,1,#556b2f
hCoV-19/Italy/UMB-LAOP-103-2-34-2022/2023,1,#556b2f,1,#556b2f
hCoV-19/USA/NM-NMDOH-2023012654/2023,1,#556b2f,1,#556b2f
hCoV-19/NewZealand/23YA1454/2023,1,#556b2f,1,#556b2f
hCoV-19/Austria/AGES-1127927/2023,1,#556b2f,1,#556b2f
hCoV-19/Ireland/D-BH-370028230/2023,2.0,#8b4513,2,#8b4513
hCoV-19/Aruba/AW-RIVM-11740/2021,3.0,#2e8b57,3,#2e8b57
hCoV-19/Serbia/L195047-01/2023,4.0,#228b22,4,#228b22
hCoV-19/Mexico/un-30160/2022,5.0,#708090,5,#708090
hCoV-19/Bahrain/921228969/2021,6.0,#8b0000,6,#8b0000
hCoV-19/SouthKorea/KDCA185678/2022,7.0,#808000,7,#808000
hCoV-19/USA/CA-CDPH-500103805/2023,8.0,#483d8b,8,#483d8b
hCoV-19/Egypt/CPHL-EGY23376/2022,9.0,#008080,9,#008080
