Label,Cluster,Color
sp|A0A2S4N3N0|OMPA.SHIFL,0,#e6194B
sp|B7LNW7|OMPA.ESCF3,0,#e6194B
sp|I2BAK7|OMPA.SHIBC,0,#e6194B
sp|P02935|OMPA.SHIDY,0,#e6194B
sp|P02936|OMPA.SALTY,0,#e6194B
sp|P04845|OMPA.SERMA,0,#e6194B
sp|P07050|OMP3.NEIGO,0,#e6194B
sp|P09146|OMPA.KLEAE,0,#e6194B
sp|P0A0V2|OMP4.NEIMA,0,#e6194B
sp|P0A0V3|OMP4.NEIMB,0,#e6194B
sp|P0A910|OMPA.ECOLI,0,#e6194B
sp|P0A911|OMPA.ECO57,0,#e6194B
sp|P0C8Z2|OMPA.ESCFE,0,#e6194B
sp|P0DJO6|OMPA.SHIBL,0,#e6194B
sp|P24016|OMPA.CITFR,0,#e6194B
sp|P24017|OMPA.KLEPN,0,#e6194B
sp|P24754|OMPA.ATLHE,0,#e6194B
sp|P24755|OMPA.SEROD,0,#e6194B
sp|P38368|OMP52.HAEIF,0,#e6194B
sp|P38399|OMPA.YERPS,0,#e6194B
sp|P43840|OMP5.HAEIN,0,#e6194B
sp|P45996|OMP53.HAEIF,0,#e6194B
sp|P57414|OMPA.BUCAI,0,#e6194B
sp|P80444|OMPA.ACTLI,0,#e6194B
sp|Q8K9L4|OMPA.BUCAP,0,#e6194B
sp|Q8Z7S0|OMPA.SALTI,0,#e6194B
sp|Q8ZG77|OMPA.YERPE,0,#e6194B
sp|O84417|PMPA.CHLTR,1,#3cb44b
sp|Q9PJY3|PMPA.CHLMU,1,#3cb44b
sp|Q9Z813|PMP19.CHLPN,1,#3cb44b
sp|P02930|TOLC.ECOLI,2,#ffe119
sp|P85410|OMP5.HAEPR,2,#ffe119
sp|Q54001|TOLC.SALEN,2,#ffe119
sp|Q8G0Y6|BEPC.BRUSU,2,#ffe119
sp|Q9K2Y1|TOLC.VIBCH,2,#ffe119
sp|P0A261|TSX.SALTY,3,#4363d8
sp|P0A262|TSX.SALTI,3,#4363d8
sp|P0A927|TSX.ECOLI,3,#4363d8
sp|P0A928|TSX.ECO57,3,#4363d8
sp|P0A929|TSX.SHIFL,3,#4363d8
sp|P40785|TSX.KLEAK,3,#4363d8
sp|P40786|TSX.KLEPN,3,#4363d8
sp|A1KH31|ARFA.MYCBP,4,#f58231
sp|P65594|ARFA.MYCBO,4,#f58231
sp|P9WIU4|ARFA.MYCTO,4,#f58231
sp|P9WIU5|ARFA.MYCTU,4,#f58231
sp|Q05146|OMPA.BORAV,4,#f58231
sp|A0A160PAH3|OMP38.ACIS5,5,#ba3fdf
sp|A3M8K2|OMP38.ACIBT,5,#ba3fdf
sp|P13794|PORF.PSEAE,5,#ba3fdf
sp|P22263|PORF.PSESY,5,#ba3fdf
sp|P37726|PORF.PSEFL,5,#ba3fdf
sp|Q6RYW5|OMP38.ACIB2,5,#ba3fdf
sp|O84877|PMPE.CHLTR,6,#42d4f4
sp|P38008|PMPF.CHLTR,6,#42d4f4
sp|Q9PL46|PMPF.CHLMU,6,#42d4f4
sp|Q9PL47|PMPE.CHLMU,6,#42d4f4
sp|Q9Z880|PMP18.CHLPN,6,#42d4f4
sp|Q9Z882|PMP16.CHLPN,6,#42d4f4
sp|Q9Z883|PMP15.CHLPN,6,#42d4f4
sp|P0A917|OMPX.ECOLI,7,#bfef45
sp|P0A918|OMPX.ECOL6,7,#bfef45
sp|P0A919|OMPX.ECO57,7,#bfef45
sp|P0A920|OMPX.SHIFL,7,#bfef45
sp|P23988|PAGC.SALTY,7,#bfef45
sp|P25253|OMPX.ENTCL,7,#bfef45
sp|O31101|SRPC.PSEPU,8,#fabed4
sp|P0C071|MEPC.PSEPU,8,#fabed4
sp|P77211|CUSC.ECOLI,8,#fabed4
sp|Q51397|OPRJ.PSEAE,8,#fabed4
sp|Q51487|OPRM.PSEAE,8,#fabed4
sp|Q849R1|SEPC.PSEP1,8,#fabed4
sp|Q88N32|TTGC.PSEPK,8,#fabed4
sp|Q8CWA4|CUSC.ECOL6,8,#fabed4
sp|Q8XBY3|CUSC.ECO57,8,#fabed4
sp|Q93PU3|TTGI.PSEPT,8,#fabed4
sp|Q9KJC1|ARPC.PSEPU,8,#fabed4
sp|Q9KWV3|TTGF.PSEPT,8,#fabed4
sp|Q9WWZ8|TTGC.PSEPT,8,#fabed4
sp|O84418|PMPB.CHLTR,9,#469990
sp|O84419|PMPC.CHLTR,9,#469990
sp|Q9PJY1|PMPC.CHLMU,9,#469990
sp|Q9PJY2|PMPB.CHLMU,9,#469990
sp|Q9Z812|PMP20.CHLPN,9,#469990
sp|Q2EHL7|TDEA.AGGAC,8,#fabed4
sp|Q9S3R8|OMP40.PORGI,5,#ba3fdf
sp|Q9S3R9|OMP41.PORGI,5,#ba3fdf
sp|Q9Z3D6|PMP12.CHLPN,6,#42d4f4
sp|P75733|CHIP.ECOLI,5,#ba3fdf
sp|Q47706|UIDC.ECOLI,5,#ba3fdf
sp|Q7CQY4|CHIP.SALTY,5,#ba3fdf
sp|O86164|PMP11.CHLPN,6,#42d4f4
sp|Q9RB65|PMP10.CHLPN,6,#42d4f4
sp|Q9Z393|PMP8.CHLPN,6,#42d4f4
