Label,Cluster,Color
sp|P40926|MDHM_HUMAN,0,#2f4f4f
sp|Q9BRQ8|FSP1_HUMAN,0,#2f4f4f
sp|Q9NTG7|SIR3_HUMAN,0,#2f4f4f
sp|Q9NZ01|TECR_HUMAN,0,#2f4f4f
sp|P00338|LDHA_HUMAN,1,#556b2f
sp|P07195|LDHB_HUMAN,1,#556b2f
sp|P07864|LDHC_HUMAN,1,#556b2f
sp|P21695|GPDA_HUMAN,1,#556b2f
sp|Q6ZMR3|LDH6A_HUMAN,1,#556b2f
sp|Q8N335|GPD1L_HUMAN,1,#556b2f
sp|Q9BYZ2|LDH6B_HUMAN,1,#556b2f
sp|A0PJE2|DHR12_HUMAN,2,#8b4513
sp|Q6UX07|DHR13_HUMAN,2,#8b4513
sp|Q8N5I4|DHRSX_HUMAN,2,#8b4513
sp|Q8NBN7|RDH13_HUMAN,2,#8b4513
sp|Q8TC12|RDH11_HUMAN,2,#8b4513
sp|Q96NR8|RDH12_HUMAN,2,#8b4513
sp|Q9HBH5|RDH14_HUMAN,2,#8b4513
sp|O75828|CBR3_HUMAN,3,#2e8b57
sp|P16152|CBR1_HUMAN,3,#2e8b57
sp|O75306|NDUS2_HUMAN,4,#228b22
sp|P04406|G3P_HUMAN,4,#228b22
sp|P22695|QCR2_HUMAN,4,#228b22
sp|Q9H171|ZBP1_HUMAN,4,#228b22
sp|Q9Y234|LIPT_HUMAN,4,#228b22
sp|P51572|BAP31_HUMAN,5,#708090
sp|P56545|CTBP2_HUMAN,5,#708090
sp|Q13363|CTBP1_HUMAN,5,#708090
sp|Q16795|NDUA9_HUMAN,5,#708090
sp|C9JRZ8|AK1BF_HUMAN,6,#8b0000
sp|O60218|AK1BA_HUMAN,6,#8b0000
sp|P14550|AK1A1_HUMAN,6,#8b0000
sp|P15121|ALDR_HUMAN,6,#8b0000
sp|P15559|NQO1_HUMAN,6,#8b0000
sp|P17516|AK1C4_HUMAN,6,#8b0000
sp|P42330|AK1C3_HUMAN,6,#8b0000
sp|P51857|AK1D1_HUMAN,6,#8b0000
sp|P52895|AK1C2_HUMAN,6,#8b0000
sp|Q04828|AK1C1_HUMAN,6,#8b0000
sp|Q6YN16|HSDL2_HUMAN,6,#8b0000
sp|Q96JD6|AKCL2_HUMAN,6,#8b0000
sp|Q9H9P8|L2HDH_HUMAN,6,#8b0000
sp|P15428|PGDH_HUMAN,7,#808000
sp|Q6UWP2|DHR11_HUMAN,7,#808000
sp|Q8N4T8|CBR4_HUMAN,7,#808000
sp|Q92506|DHB8_HUMAN,7,#808000
sp|Q99714|HCD2_HUMAN,7,#808000
sp|O95299|NDUAA_HUMAN,8,#483d8b
sp|P08559|ODPA_HUMAN,8,#483d8b
sp|P14060|3BHS1_HUMAN,8,#483d8b
sp|P16083|NQO2_HUMAN,8,#483d8b
sp|P26439|3BHS2_HUMAN,8,#483d8b
sp|P29803|ODPAT_HUMAN,8,#483d8b
sp|P47985|UCRI_HUMAN,8,#483d8b
sp|Q8NBX0|SCPDL_HUMAN,8,#483d8b
sp|Q8WUS8|D42E1_HUMAN,8,#483d8b
sp|Q9H2F3|3BHS7_HUMAN,8,#483d8b
sp|A6ND91|ASPD_HUMAN,9,#008080
sp|P38117|ETFB_HUMAN,9,#008080
sp|P56705|WNT4_HUMAN,9,#008080
sp|Q9H2D1|MFTC_HUMAN,9,#008080
sp|Q9HBL8|NMRL1_HUMAN,9,#008080
sp|Q9NRG7|D39U1_HUMAN,33,#fa8072
sp|P28845|DHI1_HUMAN,34,#ffff54
sp|Q7Z5J1|DHI1L_HUMAN,34,#ffff54
sp|P00414|COX3_HUMAN,10,#d2691e
sp|P03886|NU1M_HUMAN,10,#d2691e
sp|P03891|NU2M_HUMAN,10,#d2691e
sp|P03905|NU4M_HUMAN,10,#d2691e
sp|Q03181|PPARD_HUMAN,33,#fa8072
sp|Q8IWW8|HOT_HUMAN,33,#fa8072
