Label,Cluster,Color
sp|P06239|LCK.HUMAN,0,#e6194B
sp|P27544|CERS1.HUMAN,0,#e6194B
sp|Q6ZMG9|CERS6.HUMAN,0,#e6194B
sp|Q8IU89|CERS3.HUMAN,0,#e6194B
sp|Q8IVS2|FABD.HUMAN,0,#e6194B
sp|Q8N5B7|CERS5.HUMAN,0,#e6194B
sp|Q96G23|CERS2.HUMAN,0,#e6194B
sp|Q96T53|MBOA4.HUMAN,0,#e6194B
sp|Q9H237|PORCN.HUMAN,0,#e6194B
sp|Q9HA82|CERS4.HUMAN,0,#e6194B
sp|P09110|THIK.HUMAN,1,#3cb44b
sp|P10515|ODP2.HUMAN,1,#3cb44b
sp|P11182|ODB2.HUMAN,1,#3cb44b
sp|P24752|THIL.HUMAN,1,#3cb44b
sp|P36957|ODO2.HUMAN,1,#3cb44b
sp|P42765|THIM.HUMAN,1,#3cb44b
sp|P55084|ECHB.HUMAN,1,#3cb44b
sp|Q56NI9|ESCO2.HUMAN,1,#3cb44b
sp|Q6P531|GGT6.HUMAN,1,#3cb44b
sp|Q9BWD1|THIC.HUMAN,1,#3cb44b
sp|Q9UJ14|GGT7.HUMAN,1,#3cb44b
sp|P0C7U3|ZH11B.HUMAN,2,#ffe119
sp|Q8IZN3|ZDH14.HUMAN,2,#ffe119
sp|Q9H8X9|ZDH11.HUMAN,2,#ffe119
sp|P15104|GLNA.HUMAN,3,#4363d8
sp|P25445|TNR6.HUMAN,3,#4363d8
sp|P56704|WNT3A.HUMAN,3,#4363d8
sp|Q53EU6|GPAT3.HUMAN,3,#4363d8
sp|Q86UL3|GPAT4.HUMAN,3,#4363d8
sp|O95932|TGM3L.HUMAN,4,#f58231
sp|P21980|TGM2.HUMAN,4,#f58231
sp|P49221|TGM4.HUMAN,4,#f58231
sp|Q08188|TGM3.HUMAN,4,#f58231
sp|Q16635|TAZ.HUMAN,4,#f58231
sp|Q6UWP7|LCLT1.HUMAN,4,#f58231
sp|Q8TB40|ABHD4.HUMAN,4,#f58231
sp|Q8WTS1|ABHD5.HUMAN,4,#f58231
sp|Q96PF1|TGM7.HUMAN,4,#f58231
sp|O15269|SPTC1.HUMAN,5,#ba3fdf
sp|O75600|KBL.HUMAN,5,#ba3fdf
sp|O95237|LRAT.HUMAN,5,#ba3fdf
sp|P13196|HEM1.HUMAN,5,#ba3fdf
sp|P22557|HEM0.HUMAN,5,#ba3fdf
sp|P30041|PRDX6.HUMAN,5,#ba3fdf
sp|Q16769|QPCT.HUMAN,5,#ba3fdf
sp|Q92604|LGAT1.HUMAN,5,#ba3fdf
sp|Q93015|NAA80.HUMAN,5,#ba3fdf
sp|Q96DZ5|CLIP3.HUMAN,5,#ba3fdf
sp|Q96MH6|TMM68.HUMAN,5,#ba3fdf
sp|Q9NXS2|QPCTL.HUMAN,5,#ba3fdf
sp|Q9UKG9|OCTC.HUMAN,5,#ba3fdf
sp|P04180|LCAT.HUMAN,6,#42d4f4
sp|P11245|ARY2.HUMAN,6,#42d4f4
sp|P18440|ARY1.HUMAN,6,#42d4f4
sp|P41227|NAA10.HUMAN,6,#42d4f4
sp|P43155|CACP.HUMAN,6,#42d4f4
sp|Q02083|NAAA.HUMAN,6,#42d4f4
sp|Q86VE3|SATL1.HUMAN,6,#42d4f4
sp|Q8IYP9|ZDH23.HUMAN,6,#42d4f4
sp|Q8NCC3|PAG15.HUMAN,6,#42d4f4
sp|Q96I13|ABHD8.HUMAN,6,#42d4f4
sp|Q96KN8|PLAT5.HUMAN,6,#42d4f4
sp|Q9BSU3|NAA11.HUMAN,6,#42d4f4
sp|Q9UMX2|OAZ3.HUMAN,6,#42d4f4
sp|Q9UP65|PA24C.HUMAN,6,#42d4f4
sp|O14929|HAT1.HUMAN,7,#bfef45
sp|P12694|ODBA.HUMAN,7,#bfef45
sp|Q9NST1|PLPL3.HUMAN,7,#bfef45
sp|O15120|PLCB.HUMAN,19,#F0E442
sp|P51674|GPM6A.HUMAN,19,#F0E442
sp|Q99943|PLCA.HUMAN,19,#F0E442
sp|P02647|APOA1.HUMAN,8,#469990
sp|P02649|APOE.HUMAN,8,#469990
sp|P06727|APOA4.HUMAN,8,#469990
sp|P24588|AKAP5.HUMAN,8,#469990
sp|Q07065|CKAP4.HUMAN,8,#469990
sp|Q12983|BNIP3.HUMAN,8,#469990
sp|Q6Q788|APOA5.HUMAN,8,#469990
sp|Q7Z699|SPRE1.HUMAN,8,#469990
sp|Q8NC51|PAIRB.HUMAN,8,#469990
sp|Q96CV9|OPTN.HUMAN,8,#469990
sp|Q9UI08|EVL.HUMAN,8,#469990
sp|Q6P1A2|MBOA5.HUMAN,9,#dcbeff
sp|Q6ZNC8|MBOA1.HUMAN,9,#dcbeff
sp|Q6ZWT7|MBOA2.HUMAN,9,#dcbeff
sp|Q7Z7B1|PIGW.HUMAN,9,#dcbeff
sp|Q8IUH4|ZDH13.HUMAN,9,#dcbeff
sp|Q8IUH5|ZDH17.HUMAN,9,#dcbeff
sp|Q96N66|MBOA7.HUMAN,9,#dcbeff
sp|O60551|NMT2.HUMAN,10,#9A6324
sp|O95260|ATE1.HUMAN,10,#9A6324
sp|P23786|CPT2.HUMAN,10,#9A6324
sp|P30101|PDIA3.HUMAN,10,#9A6324
sp|P30419|NMT1.HUMAN,10,#9A6324
sp|Q147X3|NAA30.HUMAN,10,#9A6324
sp|Q8ND83|SLAI1.HUMAN,10,#9A6324
sp|Q6UX98|ZDH24.HUMAN,11,#b3a400
sp|Q8N966|ZDH22.HUMAN,11,#b3a400
sp|Q969W1|ZDH16.HUMAN,11,#b3a400
sp|Q96GR4|ZDH12.HUMAN,11,#b3a400
sp|Q9NPG8|ZDHC4.HUMAN,11,#b3a400
sp|Q9NUE0|ZDH18.HUMAN,11,#b3a400
sp|Q9NXF8|ZDHC7.HUMAN,11,#b3a400
sp|Q9NYG2|ZDHC3.HUMAN,11,#b3a400
sp|Q9Y397|ZDHC9.HUMAN,11,#b3a400
sp|P22307|SCP2.HUMAN,12,#800000
sp|Q14032|BAAT.HUMAN,12,#800000
sp|Q2MJR0|SPRE3.HUMAN,12,#800000
sp|Q5SQI0|ATAT.HUMAN,12,#800000
sp|Q8WTX9|ZDHC1.HUMAN,12,#800000
sp|P21953|ODBB.HUMAN,13,#82baff
sp|Q9H4B0|OSGP2.HUMAN,13,#82baff
sp|Q9NPF4|OSGEP.HUMAN,13,#82baff
sp|Q9Y371|SHLB1.HUMAN,13,#82baff
sp|Q9Y6F7|CDY2.HUMAN,13,#82baff
sp|Q9Y6F8|CDY1.HUMAN,13,#82baff
sp|A6NGU5|GGT3.HUMAN,14,#ffd8b1
sp|O75907|DGAT1.HUMAN,14,#ffd8b1
sp|O75908|SOAT2.HUMAN,14,#ffd8b1
sp|P19440|GGT1.HUMAN,14,#ffd8b1
sp|P35610|SOAT1.HUMAN,14,#ffd8b1
sp|P36269|GGT5.HUMAN,14,#ffd8b1
sp|Q9H7X0|NAA60.HUMAN,14,#ffd8b1
sp|Q9NUQ2|PLCE.HUMAN,14,#ffd8b1
sp|A0A0U1RQE8|GLYLB.HUMAN,15,#0072B2
sp|O95251|KAT7.HUMAN,15,#0072B2
sp|Q5SZD4|GLYL3.HUMAN,15,#0072B2
sp|Q6IB77|GLYAT.HUMAN,15,#0072B2
sp|Q71RH2|TLC3B.HUMAN,15,#0072B2
sp|Q86UY6|NAA40.HUMAN,15,#0072B2
sp|Q8N8M0|NAT16.HUMAN,15,#0072B2
sp|Q8WU03|GLYL2.HUMAN,15,#0072B2
sp|Q92993|KAT5.HUMAN,15,#0072B2
sp|Q969I3|GLYL1.HUMAN,15,#0072B2
sp|Q9H7Z6|KAT8.HUMAN,15,#0072B2
sp|A6NK58|LIPT2.HUMAN,16,#999999
sp|Q643R3|LPCT4.HUMAN,16,#999999
sp|Q68CP4|HGNAT.HUMAN,16,#999999
sp|Q7L5N7|PCAT2.HUMAN,16,#999999
sp|Q8NF37|PCAT1.HUMAN,16,#999999
sp|Q9UHE5|NAT8.HUMAN,16,#999999
sp|Q9UHF3|NAT8B.HUMAN,16,#999999
sp|O15228|GNPAT.HUMAN,17,#E69F00
sp|O15270|SPTC2.HUMAN,17,#E69F00
sp|P54368|OAZ1.HUMAN,17,#E69F00
sp|Q8N159|NAGS.HUMAN,17,#E69F00
sp|Q9H9T3|ELP3.HUMAN,17,#E69F00
sp|Q9NUV7|SPTC3.HUMAN,17,#E69F00
sp|Q3SYC2|MOGT2.HUMAN,18,#56B4E9
sp|Q58HT5|AWAT1.HUMAN,18,#56B4E9
