Label,Cluster,Color,PassOne,PassOneCol
O54179.STRCO|33.428,0,#2f4f4f,0,#2f4f4f
Q8XGP2.RALSO|41.431,0,#2f4f4f,0,#2f4f4f
Q93LX8.9ACTN|30.425,0,#2f4f4f,0,#2f4f4f
Q9PCL3.XYLFA|32.422,0,#2f4f4f,0,#2f4f4f
Q9RD97.STRCO|46.435,0,#2f4f4f,0,#2f4f4f
MOT14.MOUSE|42.459,1.0,#556b2f,1,#556b2f
O87836.STRCO|61.422,1.0,#556b2f,1,#556b2f
Q8Z4K9.SALTI|13.352,1.0,#556b2f,1,#556b2f
O93992.CANAX|65.459,2,#8b4513,2,#8b4513
O94019.CANAX|86.529,2,#8b4513,2,#8b4513
Q97XW7.SACS2|20.385,2,#8b4513,2,#8b4513
Q9URI1.CANAX|123.512,2,#8b4513,2,#8b4513
Q9VDS0.DROME|61.500,2,#8b4513,2,#8b4513
Q9Y7E0.ASPTE|42.435,2,#8b4513,2,#8b4513
YCUD.SCHPO|89.473,2,#8b4513,2,#8b4513
YLZ2.SCHPO|48.434,2,#8b4513,2,#8b4513
YN42.SCHPO|141.527,2,#8b4513,2,#8b4513
A0A0H3K439.STAAW|12.398,3.0,#2e8b57,3,#2e8b57
Q1K880.NEUCR|87.498,3.0,#2e8b57,3,#2e8b57
Q97TH7.CLOAB|19.357,3.0,#2e8b57,3,#2e8b57
Q9Y7D4.ASPTE|35.449,3.0,#2e8b57,3,#2e8b57
Q9YG70.AERPE|18.417,3.0,#2e8b57,3,#2e8b57
O29880.ARCFU|11.360,4,#228b22,4,#228b22
Q8XR21.RALSO|30.433,4,#228b22,4,#228b22
Q92WR7.RHIME|13.355,4,#228b22,4,#228b22
Q9HLN0.THEAC|12.329,4,#228b22,4,#228b22
Q9K9F3.BACHD|14.368,4,#228b22,4,#228b22
A0A090LWD5.STAAU|18.353,5.0,#708090,5,#708090
Q8R8R3.CALS4|20.398,5.0,#708090,5,#708090
Q8TZJ0.PYRFU|13.389,5.0,#708090,5,#708090
Q8X5A4.ECO57|20.357,5.0,#708090,5,#708090
O58488.PYRHO|9.354,6,#8b0000,6,#8b0000
Q1K517.NEUCR|132.490,6,#8b0000,6,#8b0000
Q8KYU7.9PROT|15.359,6,#8b0000,6,#8b0000
Q9A961.CAUVC|19.356,6,#8b0000,6,#8b0000
O28944.ARCFU|4.328,7,#808000,7,#808000
O58400.PYRHO|34.380,7,#808000,7,#808000
