Label,Cluster,Color
M2UU11.COCH5|80.507,0,#2f4f4f
Q19878.CAEEL|115.549,0,#2f4f4f
4CL1.ORYSJ|43.463,1,#556b2f
4CL2.ORYSJ|47.473,1,#556b2f
4CL2.SOLTU|34.446,1,#556b2f
4CLL6.ARATH|51.465,1,#556b2f
B9IM06.POPTR|37.443,1,#556b2f
Q17577.CAEEL|23.438,1,#556b2f
Q19339.CAEEL|25.447,1,#556b2f
Q9VXZ8.DROME|81.501,1,#556b2f
Q9XV68.CAEEL|21.429,1,#556b2f
E2Q5R1.STRC2|268.683,2,#8b4513
PPSD.BACSU|469.865,2,#8b4513
Q65NK3.BACLD|473.870,2,#8b4513
Q65NK4.BACLD|471.862,2,#8b4513
Q65NK5.BACLD|2549.2934,2,#8b4513
Q65NK5.BACLD|466.868,2,#8b4513
SRFAA.BACSU|1511.1908,2,#8b4513
SRFAA.BACSU|467.867,2,#8b4513
SRFAB.BACSU|1502.1904,2,#8b4513
SRFAC.BACSU|470.867,2,#8b4513
ACSA.COPC7|91.531,3,#2e8b57
ACSA.MOUSE|108.575,3,#2e8b57
ACSA.MYCTU|83.530,3,#2e8b57
F4BX08.METSG|107.551,3,#2e8b57
M1BSV4.SOLTU|217.657,3,#2e8b57
O29286.ARCFU|39.452,3,#2e8b57
O29580.ARCFU|62.517,3,#2e8b57
O29881.ARCFU|89.548,3,#2e8b57
Q18496.CAEEL|100.554,3,#2e8b57
Q5CS85.CRYPI|121.560,3,#2e8b57
Q6NC13.RHOPA|23.429,3,#2e8b57
LCFA.BACSU|30.460,4,#228b22
LCFB.BACSU|7.419,4,#228b22
O28502.ARCFU|44.468,4,#228b22
O29418.ARCFU|46.474,4,#228b22
Q9RTR4.DEIRA|42.478,4,#228b22
MENE.ARATH|13.442,5,#708090
P95227.MYCTU|67.468,5,#708090
YDAB.BACSU|8.408,5,#708090
4CLLA.ARATH|10.417,6,#8b0000
G0FS55.AMYMS|15.411,6,#8b0000
O07169.MYCTU|13.428,6,#8b0000
Q2KBQ4.RHIEC|4.395,6,#8b0000
A0QNF1.MYCS2|2602.3019,7,#808000
A0QNF1.MYCS2|5648.6049,7,#808000
DHBF.BACSU|1520.1935,7,#808000
Q9I182.PSEAE|1569.1976,7,#808000
Q9RK14.STRCO|1626.2040,7,#808000
Q9Z4X6.STRCO|1675.2097,7,#808000
DLTA.BACSU|7.404,8,#483d8b
DLTA.LISMO|9.411,8,#483d8b
DLTA.STRMU|13.412,8,#483d8b
O16775.CAEEL|87.551,24,#f4a460
Q21872.CAEEL|91.555,24,#f4a460
ACSL1.HUMAN|100.563,9,#b8860b
ACSL5.HUMAN|85.548,9,#b8860b
ACSL6.HUMAN|100.563,9,#b8860b
LACS6.ARATH|94.556,9,#b8860b
O44560.CAEEL|52.515,9,#b8860b
Q9VVT8.DROME|112.570,9,#b8860b
Q9XWD1.CAEEL|83.550,9,#b8860b
AAE12.ARATH|20.449,10,#4682b4
AAE2.ARATH|67.504,10,#4682b4
M4CVQ0.BRARP|21.452,10,#4682b4
Q9SNJ6.ORYSJ|20.444,10,#4682b4
D6X7H2.STRE2|33.443,11,#d2691e
FADK.ECOLI|48.458,11,#d2691e
G3XCR5.RHOPA|32.447,11,#d2691e
MBTA.MYCTU|46.459,11,#d2691e
O28423.ARCFU|28.456,11,#d2691e
Q9HWG3.PSEAE|42.445,11,#d2691e
ACSL3.RAT|115.587,12,#9acd32
ACSL4.HUMAN|106.578,12,#9acd32
LACS8.ARATH|110.588,12,#9acd32
LCF1.SCHPO|77.541,12,#9acd32
Q18660.CAEEL|118.587,12,#9acd32
Q20121.CAEEL|122.594,12,#9acd32
Q8T3L1.DROME|114.582,12,#9acd32
LCFA.ECOLI|29.461,13,#32cd32
LCFA.HAEIN|29.463,13,#32cd32
Q88EB7.PSEPK|31.461,13,#32cd32
Q8P9K5.XANCP|31.465,13,#32cd32
ACBG1.HUMAN|109.573,14,#8fbc8f
HMLL.DROME|42.514,14,#8fbc8f
LCFH.HAEIN|19.474,14,#8fbc8f
Q9X7Z0.STRCO|22.467,14,#8fbc8f
O54154.STRCO|12.427,17,#00ced1
Q4KCY5.PSEF5|11.404,17,#00ced1
O18693.CAEEL|65.502,15,#b03060
Q9UAV8.CAEEL|72.510,15,#b03060
Q9VMR6.DROME|53.485,15,#b03060
B0JPV5.MICAN|1737.2129,17,#00ced1
B2J682.NOSP7|484.880,17,#00ced1
B2J684.NOSP7|1706.2121,17,#00ced1
B2J685.NOSP7|470.889,17,#00ced1
DHBF.BACSU|464.861,17,#00ced1
Q1D5F8.MYXXD|501.890,17,#00ced1
A8AEZ8.CITK8|574.966,16,#ff4500
E3FL94.STIAD|539.937,16,#ff4500
G3XCV2.PSEAE|563.950,16,#ff4500
MBTB.MYCTU|558.951,16,#ff4500
O69826.STRCO|551.953,16,#ff4500
Q9HWG4.PSEAE|520.915,16,#ff4500
B0JPV4.MICAN|1523.1947,17,#00ced1
B0JPV9.MICAN|2445.2839,17,#00ced1
Q9YCF0.AERPE|27.490,14,#8fbc8f
DIP2C.HUMAN|976.1450,18,#ffd700
O54155.STRCO|34.488,18,#ffd700
Q688U4.ORYSJ|36.485,18,#ffd700
A0QNF1.MYCS2|31.438,19,#0000cd
B5HJU5.STRE2|1508.1904,19,#0000cd
ENTF.ECOLI|461.863,19,#0000cd
O69825.STRCO|8.400,19,#0000cd
PPSA.BACSU|464.864,19,#0000cd
Q9RK14.STRCO|143.540,19,#0000cd
Q9Z4X6.STRCO|476.883,19,#0000cd
Q9Z4X6.STRCO|6361.6777,19,#0000cd
O06417.MYCTU|54.462,20,#deb887
O07411.MYCTU|32.437,20,#deb887
O29570.ARCFU|34.448,20,#deb887
Q9RL07.STRCO|6.416,20,#deb887
E9AC38.LEIMA|100.561,21,#00ff00
E9AC40.LEIMA|100.564,21,#00ff00
E9AC43.LEIMA|115.580,21,#00ff00
FAC13.MYCTU|11.404,10,#4682b4
MENE.STAA8|9.401,10,#4682b4
I6Y0X0.MYCTU|34.444,22,#dc143c
O26753.METTH|12.445,22,#dc143c
YNGI.BACSU|13.446,22,#dc143c
A4XPE3.PSEMY|19.440,23,#00bfff
O29977.ARCFU|23.450,23,#00bfff
O30043.ARCFU|11.435,23,#00bfff
O53406.MYCTU|16.438,23,#00bfff
Q9YF45.AERPE|21.444,23,#00bfff
LACS1.ARATH|52.522,24,#f4a460
LACS4.ARATH|55.525,24,#f4a460
O28762.ARCFU|27.448,4,#228b22
Q9RYK3.DEIRA|45.473,4,#228b22
Q87W76.PSESM|7.405,0,#2f4f4f
O51162.BORBU|7.496,0,#2f4f4f
O51539.BORBU|9.505,0,#2f4f4f
O83181.TREPA|22.525,0,#2f4f4f
P73004.SYNY3|77.555,0,#2f4f4f
