Label,Cluster,Color
QRU90293.1,0,#2f4f4f
QRU90954.1,0,#2f4f4f
QRU91410.1,0,#2f4f4f
QRU92010.1,0,#2f4f4f
QRU92273.1,0,#2f4f4f
QRU90132.1,1,#556b2f
QRU90212.1,1,#556b2f
QRU89950.1,2,#8b4513
QRU90822.1,2,#8b4513
QRU90942.1,2,#8b4513
QRU91026.1,2,#8b4513
QRU92022.1,2,#8b4513
QRU92178.1,2,#8b4513
QRU91218.1,3,#2e8b57
QRU91422.1,3,#2e8b57
QRU92297.1,3,#2e8b57
QRU90049.1,4,#228b22
QRU90073.1,4,#228b22
QRU90657.1,4,#228b22
QRU91518.1,4,#228b22
QRU91986.1,4,#228b22
QRU92166.1,4,#228b22
QRU90166.1,5,#708090
QRU92309.1,5,#708090
QRU91014.1,6,#8b0000
QRU91938.1,6,#8b0000
QRU91950.1,7,#808000
QRU92118.1,7,#808000
QRU90029.1,8,#483d8b
QRU91086.1,8,#483d8b
QRU91662.1,8,#483d8b
QRU91746.1,8,#483d8b
QRU92058.1,8,#483d8b
QRU89903.1,9,#008080
QRU89927.1,9,#008080
QRU90360.1,9,#008080
QRU90727.1,9,#008080
QRU91470.1,9,#008080
QRU91650.1,9,#008080
QRU92094.1,9,#008080
QRU90108.1,10,#b8860b
QRU90190.1,10,#b8860b
QRU90526.1,10,#b8860b
QRU91542.1,10,#b8860b
QRU91818.1,10,#b8860b
QRU90586.1,11,#4682b4
QRU91290.1,11,#4682b4
QRU91374.1,11,#4682b4
QRU91578.1,11,#4682b4
QRU90120.1,12,#d2691e
QRU90269.1,12,#d2691e
QRU90550.1,12,#d2691e
QRU90669.1,12,#d2691e
QRU91158.1,12,#d2691e
QRU90407.1,13,#9acd32
QRU90858.1,13,#9acd32
QRU91854.1,13,#9acd32
QRU90155.1,14,#32cd32
QRU90395.1,14,#32cd32
QRU91458.1,14,#32cd32
QRU91566.1,14,#32cd32
QRU91710.1,14,#32cd32
QRU91890.1,14,#32cd32
QRU92034.1,14,#32cd32
QRU92106.1,14,#32cd32
QRU89915.1,15,#8fbc8f
QRU90705.1,15,#8fbc8f
QRU91110.1,15,#8fbc8f
QRU91314.1,15,#8fbc8f
QRU90143.1,16,#800080
QRU90622.1,16,#800080
QRU90846.1,16,#800080
QRU90990.1,16,#800080
QRU91194.1,16,#800080
QRU92082.1,16,#800080
QRU92262.1,16,#800080
QRU90257.1,17,#b03060
QRU91170.1,17,#b03060
QRU90245.1,18,#9932cc
QRU90514.1,18,#9932cc
QRU90610.1,18,#9932cc
QRU92154.1,18,#9932cc
QRU91350.1,19,#ff4500
QRU91674.1,19,#ff4500
QRU91722.1,19,#ff4500
QRU92142.1,19,#ff4500
QRU92285.1,19,#ff4500
QRU90646.1,20,#00ced1
QRU90930.1,20,#00ced1
QRU91926.1,20,#00ced1
QRU92226.1,40,#556b2f
QRU90490.1,21,#ffd700
QRU91062.1,21,#ffd700
QRU91446.1,21,#ffd700
QRU91590.1,40,#556b2f
QRU91998.1,22,#deb887
QRU92046.1,22,#deb887
QRU92250.1,22,#deb887
QRU90918.1,40,#556b2f
QRU91338.1,23,#00fa9a
QRU91734.1,23,#00fa9a
QRU91878.1,23,#00fa9a
QRU90906.1,39,#2f4f4f
QRU91302.1,39,#2f4f4f
QRU91794.1,39,#2f4f4f
QRU90442.1,24,#00bfff
QRU91386.1,24,#00bfff
QRU91698.1,24,#00bfff
QRU92202.1,24,#00bfff
QRU90574.1,38,#ffb6c1
QRU91266.1,38,#ffb6c1
QRU90502.1,25,#0000ff
QRU91758.1,25,#0000ff
QRU91806.1,25,#0000ff
QRU91482.1,36,#7fffd4
QRU91782.1,36,#7fffd4
QRU90454.1,37,#ff69b4
QRU91134.1,37,#ff69b4
QRU90315.1,26,#ff6347
QRU91038.1,26,#ff6347
QRU91866.1,26,#ff6347
QRU90538.1,36,#7fffd4
QRU90834.1,36,#7fffd4
