Label,Cluster,Color,PassOne,PassOneCol
sp|P00414|COX3 HUMAN,0,#e6194B,0,#e6194B
sp|P03886|NU1M HUMAN,0,#e6194B,0,#e6194B
sp|P03891|NU2M HUMAN,0,#e6194B,0,#e6194B
sp|P03905|NU4M HUMAN,0,#e6194B,0,#e6194B
sp|P40926|MDHM HUMAN,0,#e6194B,0,#e6194B
sp|Q9BRQ8|FSP1 HUMAN,0,#e6194B,0,#e6194B
sp|Q9NTG7|SIR3 HUMAN,0,#e6194B,0,#e6194B
sp|Q9NZ01|TECR HUMAN,0,#e6194B,0,#e6194B
sp|P09417|DHPR HUMAN,1,#3cb44b,1,#3cb44b
sp|P21912|SDHB HUMAN,1,#3cb44b,1,#3cb44b
sp|Q8IXQ9|ETKMT HUMAN,1,#3cb44b,1,#3cb44b
sp|Q8TB37|NUBPL HUMAN,1,#3cb44b,1,#3cb44b
sp|Q99536|VAT1 HUMAN,1,#3cb44b,1,#3cb44b
sp|Q9BUP3|HTAI2 HUMAN,1,#3cb44b,1,#3cb44b
sp|Q9BV79|MECR HUMAN,1,#3cb44b,1,#3cb44b
sp|Q9HCJ6|VAT1L HUMAN,1,#3cb44b,1,#3cb44b
sp|P37058|DHB3 HUMAN,2.0,#ffe119,2,#ffe119
sp|O95299|NDUAA HUMAN,3,#4363d8,3,#4363d8
sp|P08559|ODPA HUMAN,3,#4363d8,3,#4363d8
sp|P14060|3BHS1 HUMAN,3,#4363d8,3,#4363d8
sp|P16083|NQO2 HUMAN,3,#4363d8,3,#4363d8
sp|P26439|3BHS2 HUMAN,3,#4363d8,3,#4363d8
sp|P29803|ODPAT HUMAN,3,#4363d8,3,#4363d8
sp|P47985|UCRI HUMAN,3,#4363d8,3,#4363d8
sp|Q8NBX0|SCPDL HUMAN,3,#4363d8,3,#4363d8
sp|Q8WUS8|D42E1 HUMAN,3,#4363d8,3,#4363d8
sp|Q9H2F3|3BHS7 HUMAN,3,#4363d8,3,#4363d8
sp|O75306|NDUS2 HUMAN,4,#f58231,4,#f58231
sp|P04406|G3P HUMAN,4,#f58231,4,#f58231
sp|P11310|ACADM HUMAN,4,#f58231,4,#f58231
sp|P16219|ACADS HUMAN,4,#f58231,4,#f58231
sp|P22695|QCR2 HUMAN,4,#f58231,4,#f58231
sp|P26440|IVD HUMAN,4,#f58231,4,#f58231
sp|P28330|ACADL HUMAN,4,#f58231,4,#f58231
sp|P36957|ODO2 HUMAN,4,#f58231,4,#f58231
sp|P45954|ACDSB HUMAN,4,#f58231,4,#f58231
sp|Q9H171|ZBP1 HUMAN,4,#f58231,4,#f58231
sp|Q9Y234|LIPT HUMAN,4,#f58231,4,#f58231
sp|O14556|G3PT HUMAN,5,#ba3fdf,5,#ba3fdf
sp|O14874|BCKD HUMAN,5,#ba3fdf,5,#ba3fdf
sp|P18405|S5A1 HUMAN,5,#ba3fdf,5,#ba3fdf
sp|P31213|S5A2 HUMAN,5,#ba3fdf,5,#ba3fdf
sp|P51572|BAP31 HUMAN,5,#ba3fdf,5,#ba3fdf
sp|P56545|CTBP2 HUMAN,5,#ba3fdf,5,#ba3fdf
sp|Q13363|CTBP1 HUMAN,5,#ba3fdf,5,#ba3fdf
sp|Q15118|PDK1 HUMAN,5,#ba3fdf,5,#ba3fdf
sp|Q15119|PDK2 HUMAN,5,#ba3fdf,5,#ba3fdf
sp|Q15120|PDK3 HUMAN,5,#ba3fdf,5,#ba3fdf
sp|Q16654|PDK4 HUMAN,5,#ba3fdf,5,#ba3fdf
sp|Q16795|NDUA9 HUMAN,5,#ba3fdf,5,#ba3fdf
sp|Q92947|GCDH HUMAN,5,#ba3fdf,5,#ba3fdf
sp|Q9Y6N5|SQOR HUMAN,5,#ba3fdf,5,#ba3fdf
sp|O43766|LIAS HUMAN,6,#42d4f4,6,#42d4f4
sp|O96008|TOM40 HUMAN,6,#42d4f4,6,#42d4f4
sp|P11177|ODPB HUMAN,6,#42d4f4,6,#42d4f4
sp|P12694|ODBA HUMAN,6,#42d4f4,6,#42d4f4
sp|P21953|ODBB HUMAN,6,#42d4f4,6,#42d4f4
sp|O95237|LRAT HUMAN,7,#bfef45,7,#bfef45
sp|P00403|COX2 HUMAN,7,#bfef45,7,#bfef45
sp|P08574|CY1 HUMAN,7,#bfef45,7,#bfef45
sp|P11474|ERR1 HUMAN,7,#bfef45,7,#bfef45
sp|P40925|MDHC HUMAN,7,#bfef45,7,#bfef45
sp|P49821|NDUV1 HUMAN,7,#bfef45,7,#bfef45
sp|Q13642|FHL1 HUMAN,7,#bfef45,7,#bfef45
sp|Q9UMS0|NFU1 HUMAN,7,#bfef45,7,#bfef45
sp|Q9Y2S2|CRYL1 HUMAN,7,#bfef45,7,#bfef45
sp|Q9Y6E7|SIR4 HUMAN,7,#bfef45,7,#bfef45
sp|O43488|ARK72 HUMAN,8,#fabed4,8,#fabed4
sp|O95154|ARK73 HUMAN,8,#fabed4,8,#fabed4
sp|P07098|LIPG HUMAN,8,#fabed4,8,#fabed4
sp|Q330K2|NDUF6 HUMAN,8,#fabed4,8,#fabed4
sp|Q5TEU4|NDUF5 HUMAN,8,#fabed4,8,#fabed4
sp|Q8NHP1|ARK74 HUMAN,8,#fabed4,8,#fabed4
sp|Q9H8P0|PORED HUMAN,8,#fabed4,8,#fabed4
sp|Q9NZC7|WWOX HUMAN,8,#fabed4,8,#fabed4
sp|Q9NZD8|SPG21 HUMAN,8,#fabed4,8,#fabed4
sp|Q53GQ0|DHB12 HUMAN,25.2,#469990,25,#4363d8
sp|A6NKP2|D42E2 HUMAN,9,#dcbeff,9,#dcbeff
sp|O43837|IDH3B HUMAN,9,#dcbeff,9,#dcbeff
sp|O75344|FKBP6 HUMAN,9,#dcbeff,9,#dcbeff
sp|P07738|PMGE HUMAN,9,#dcbeff,9,#dcbeff
sp|P48448|AL3B2 HUMAN,9,#dcbeff,9,#dcbeff
sp|P56937|DHB7 HUMAN,9,#dcbeff,9,#dcbeff
sp|Q00796|DHSO HUMAN,9,#dcbeff,9,#dcbeff
sp|Q02127|PYRD HUMAN,9,#dcbeff,9,#dcbeff
sp|Q15738|NSDHL HUMAN,9,#dcbeff,9,#dcbeff
sp|Q3SXM5|HSDL1 HUMAN,25.1,#9A6324,25,#4363d8
sp|P13995|MTDC HUMAN,10,#b3a400,10,#b3a400
sp|P36959|GMPR1 HUMAN,10,#b3a400,10,#b3a400
sp|P48507|GSH0 HUMAN,10,#b3a400,10,#b3a400
sp|Q9H903|MTD2L HUMAN,10,#b3a400,10,#b3a400
sp|P15428|PGDH HUMAN,11,#800000,11,#800000
sp|Q6UWP2|DHR11 HUMAN,11,#800000,11,#800000
sp|Q8N4T8|CBR4 HUMAN,11,#800000,11,#800000
sp|Q92506|DHB8 HUMAN,11,#800000,11,#800000
sp|Q99714|HCD2 HUMAN,11,#800000,11,#800000
sp|P00325|ADH1B HUMAN,12,#82baff,12,#82baff
sp|P00326|ADH1G HUMAN,12,#82baff,12,#82baff
sp|P07327|ADH1A HUMAN,12,#82baff,12,#82baff
sp|P08319|ADH4 HUMAN,12,#82baff,12,#82baff
sp|P11766|ADHX HUMAN,12,#82baff,12,#82baff
sp|P28332|ADH6 HUMAN,12,#82baff,12,#82baff
sp|P40394|ADH7 HUMAN,12,#82baff,12,#82baff
sp|P0CG22|DR4L1 HUMAN,22.1,#808000,22,#e6194B
sp|Q13268|DHRS2 HUMAN,22.1,#808000,22,#e6194B
sp|Q6PKH6|DR4L2 HUMAN,22.1,#808000,22,#e6194B
sp|Q7Z4W1|DCXR HUMAN,22.1,#808000,22,#e6194B
sp|Q9BPX1|DHB14 HUMAN,22.1,#808000,22,#e6194B
sp|Q9BTZ2|DHRS4 HUMAN,22.1,#808000,22,#e6194B
sp|Q9BUT1|BDH2 HUMAN,22.1,#808000,22,#e6194B
sp|P00338|LDHA HUMAN,13.0,#ffd8b1,13,#ffd8b1
sp|P07195|LDHB HUMAN,13.0,#ffd8b1,13,#ffd8b1
sp|P07864|LDHC HUMAN,13.0,#ffd8b1,13,#ffd8b1
sp|P13804|ETFA HUMAN,13.0,#ffd8b1,13,#ffd8b1
sp|P21695|GPDA HUMAN,13.0,#ffd8b1,13,#ffd8b1
sp|Q03181|PPARD HUMAN,13.0,#ffd8b1,13,#ffd8b1
sp|Q13630|FCL HUMAN,13.0,#ffd8b1,13,#ffd8b1
sp|Q6ZMR3|LDH6A HUMAN,13.0,#ffd8b1,13,#ffd8b1
sp|Q8IWW8|HOT HUMAN,13.0,#ffd8b1,13,#ffd8b1
sp|Q8N335|GPD1L HUMAN,13.0,#ffd8b1,13,#ffd8b1
sp|Q8NBM4|UBAC2 HUMAN,13.0,#ffd8b1,13,#ffd8b1
sp|Q9BYZ2|LDH6B HUMAN,13.0,#ffd8b1,13,#ffd8b1
sp|Q6NVY1|HIBCH HUMAN,21.1,#0072B2,21,#abd9e9
sp|Q8N4Q0|PTGR3 HUMAN,21.1,#0072B2,21,#abd9e9
sp|Q8N8N7|PTGR2 HUMAN,21.1,#0072B2,21,#abd9e9
sp|C9JRZ8|AK1BF HUMAN,14,#999999,14,#999999
sp|O60218|AK1BA HUMAN,14,#999999,14,#999999
sp|P14550|AK1A1 HUMAN,14,#999999,14,#999999
sp|P15121|ALDR HUMAN,14,#999999,14,#999999
sp|P15559|NQO1 HUMAN,14,#999999,14,#999999
sp|P17516|AK1C4 HUMAN,14,#999999,14,#999999
sp|P42330|AK1C3 HUMAN,14,#999999,14,#999999
sp|P51857|AK1D1 HUMAN,14,#999999,14,#999999
sp|P52895|AK1C2 HUMAN,14,#999999,14,#999999
sp|Q04828|AK1C1 HUMAN,14,#999999,14,#999999
sp|Q6YN16|HSDL2 HUMAN,14,#999999,14,#999999
sp|Q96JD6|AKCL2 HUMAN,14,#999999,14,#999999
sp|Q9H9P8|L2HDH HUMAN,14,#999999,14,#999999
