Label,Cluster,Color
B7ZQ46.XENLA|512.621,0,#2f4f4f
GLH1.CAEEL|580.701,0,#2f4f4f
M9PBB5.DROME|476.584,0,#2f4f4f
O01378.BOMMO|417.526,0,#2f4f4f
O96068.CIOIN|451.562,0,#2f4f4f
Q9PT10.ONCMY|449.558,0,#2f4f4f
DDX23.DICDI|667.776,1,#556b2f
DDX23.HUMAN|650.759,1,#556b2f
DDX41.DROME|415.523,1,#556b2f
PRP28.SCHPO|501.611,1,#556b2f
PRP28.YEAST|423.532,1,#556b2f
Q9U936.PLAFA|234.342,1,#556b2f
RH21.ARATH|562.671,1,#556b2f
A5EWI9.DICNV|481.595,2,#8b4513
RAPA.ECOLI|489.601,2,#8b4513
RAPA.HAEIN|442.554,2,#8b4513
YQHH.BACSU|359.466,2,#8b4513
E9AC13.LEIMA|480.593,3,#2e8b57
Q9SDA3.ARATH|524.639,3,#2e8b57
SMAL1.BOVIN|704.817,3,#2e8b57
SMAL1.DROME|519.632,3,#2e8b57
SMAL1.MOUSE|666.780,3,#2e8b57
COMFA.BACSU|316.424,4,#228b22
DBP3.SCHPO|398.511,5,#708090
DBP3.YEAST|340.454,5,#708090
RH5.ARATH|349.461,5,#708090
HEL10.BPT5|282.394,6,#8b0000
Q53173.RHOSH|121.241,6,#8b0000
Q9XDU0.CLOPF|286.405,6,#8b0000
SUV3.CAEEL|337.455,6,#8b0000
SUV3.DROME|333.462,6,#8b0000
SUV3.HUMAN|346.475,6,#8b0000
SUV3.SACPA|379.503,6,#8b0000
SUV3.SCHPO|315.441,6,#8b0000
SUV3M.ARATH|231.356,6,#8b0000
172L.IIV6|441.545,7,#808000
IRC20.YEAST|1356.1474,7,#808000
YIV5.SCHPO|1186.1297,7,#808000
A0A0S4NSF9.LACR5|225.334,8,#483d8b
CRHR.SYNY3|231.340,8,#483d8b
CSHA.BACSU|227.336,8,#483d8b
DEAD.HAEIN|230.339,8,#483d8b
DEAD.KLEPN|231.340,8,#483d8b
DEAD.MYCTU|236.345,8,#483d8b
O05855.MYCTU|256.365,8,#483d8b
O07897.THETH|224.333,8,#483d8b
Q9ZMI8.HELPJ|243.352,8,#483d8b
A0A0F7XT49.CHLPN|490.609,9,#008080
PRIA.BORBU|405.521,9,#008080
PRIA.TREPA|402.518,9,#008080
H669.METJA|225.333,10,#b8860b
O26305.METTH|225.334,10,#b8860b
O28030.ARCFU|231.339,10,#b8860b
O83749.TREPA|271.380,10,#b8860b
A0A384L3Y0.YERPE|358.463,11,#4682b4
Q9V278.PYRAB|298.406,11,#4682b4
