Label,Cluster,Color
sp|P06239|LCK_HUMAN,0,#2f4f4f
sp|P27544|CERS1_HUMAN,0,#2f4f4f
sp|Q6ZMG9|CERS6_HUMAN,0,#2f4f4f
sp|Q8IU89|CERS3_HUMAN,0,#2f4f4f
sp|Q8IVS2|FABD_HUMAN,0,#2f4f4f
sp|Q8N5B7|CERS5_HUMAN,0,#2f4f4f
sp|Q96G23|CERS2_HUMAN,0,#2f4f4f
sp|Q96T53|MBOA4_HUMAN,0,#2f4f4f
sp|Q9H237|PORCN_HUMAN,0,#2f4f4f
sp|Q9HA82|CERS4_HUMAN,0,#2f4f4f
sp|O95251|KAT7_HUMAN,1,#556b2f
sp|Q86UY6|NAA40_HUMAN,1,#556b2f
sp|Q92993|KAT5_HUMAN,1,#556b2f
sp|Q9H7Z6|KAT8_HUMAN,1,#556b2f
sp|A6NK58|LIPT2_HUMAN,2,#8b4513
sp|Q643R3|LPCT4_HUMAN,2,#8b4513
sp|Q68CP4|HGNAT_HUMAN,2,#8b4513
sp|Q7L5N7|PCAT2_HUMAN,2,#8b4513
sp|Q8NF37|PCAT1_HUMAN,2,#8b4513
sp|Q9UHE5|NAT8_HUMAN,2,#8b4513
sp|Q9UHF3|NAT8B_HUMAN,2,#8b4513
sp|P0C7U3|ZH11B_HUMAN,3,#2e8b57
sp|Q8IZN3|ZDH14_HUMAN,3,#2e8b57
sp|Q9H8X9|ZDH11_HUMAN,3,#2e8b57
sp|P02647|APOA1_HUMAN,4,#228b22
sp|P02649|APOE_HUMAN,4,#228b22
sp|P06727|APOA4_HUMAN,4,#228b22
sp|Q07065|CKAP4_HUMAN,4,#228b22
sp|Q6Q788|APOA5_HUMAN,4,#228b22
sp|Q3SYC2|MOGT2_HUMAN,5,#708090
sp|Q96PD6|MOGT1_HUMAN,5,#708090
sp|P15104|GLNA_HUMAN,6,#8b0000
sp|P25445|TNR6_HUMAN,6,#8b0000
sp|P56704|WNT3A_HUMAN,6,#8b0000
sp|Q53EU6|GPAT3_HUMAN,6,#8b0000
sp|Q86UL3|GPAT4_HUMAN,6,#8b0000
sp|O15228|GNPAT_HUMAN,7,#808000
sp|O15270|SPTC2_HUMAN,7,#808000
sp|P54368|OAZ1_HUMAN,7,#808000
sp|Q8N159|NAGS_HUMAN,7,#808000
sp|Q9H9T3|ELP3_HUMAN,7,#808000
sp|Q9NUV7|SPTC3_HUMAN,7,#808000
sp|P09110|THIK_HUMAN,8,#483d8b
sp|P10515|ODP2_HUMAN,8,#483d8b
sp|P11182|ODB2_HUMAN,8,#483d8b
sp|P24752|THIL_HUMAN,8,#483d8b
sp|P36957|ODO2_HUMAN,8,#483d8b
sp|P42765|THIM_HUMAN,8,#483d8b
sp|P55084|ECHB_HUMAN,8,#483d8b
sp|Q56NI9|ESCO2_HUMAN,8,#483d8b
sp|Q6P531|GGT6_HUMAN,8,#483d8b
sp|Q9BWD1|THIC_HUMAN,8,#483d8b
sp|Q9UJ14|GGT7_HUMAN,8,#483d8b
sp|Q6UX98|ZDH24_HUMAN,9,#008080
sp|Q8N966|ZDH22_HUMAN,9,#008080
sp|Q96GR4|ZDH12_HUMAN,9,#008080
sp|Q9NXF8|ZDHC7_HUMAN,9,#008080
sp|Q9NYG2|ZDHC3_HUMAN,9,#008080
sp|O15269|SPTC1_HUMAN,10,#b8860b
sp|O75600|KBL_HUMAN,10,#b8860b
sp|O95237|LRAT_HUMAN,10,#b8860b
sp|P13196|HEM1_HUMAN,10,#b8860b
sp|P22557|HEM0_HUMAN,10,#b8860b
sp|P04180|LCAT_HUMAN,11,#4682b4
sp|Q8NCC3|PAG15_HUMAN,11,#4682b4
sp|Q9UMX2|OAZ3_HUMAN,11,#4682b4
sp|P43155|CACP_HUMAN,12,#d2691e
sp|Q96KN8|PLAT5_HUMAN,12,#d2691e
sp|Q16769|QPCT_HUMAN,13,#9acd32
sp|Q92604|LGAT1_HUMAN,13,#9acd32
sp|Q96DZ5|CLIP3_HUMAN,13,#9acd32
sp|Q9NXS2|QPCTL_HUMAN,13,#9acd32
sp|Q93015|NAA80_HUMAN,33,#90ee90
sp|Q96MH6|TMM68_HUMAN,33,#90ee90
sp|P21953|ODBB_HUMAN,14,#8fbc8f
sp|Q9H4B0|OSGP2_HUMAN,14,#8fbc8f
sp|A0A0U1RQE8|GLYLB_HUMAN,15,#800080
sp|Q5SZD4|GLYL3_HUMAN,15,#800080
sp|Q6IB77|GLYAT_HUMAN,15,#800080
sp|Q71RH2|TLC3B_HUMAN,15,#800080
sp|Q8N8M0|NAT16_HUMAN,15,#800080
sp|Q8WU03|GLYL2_HUMAN,15,#800080
sp|Q969I3|GLYL1_HUMAN,15,#800080
sp|Q9Y234|LIPT_HUMAN,30,#f0e68c
sp|Q9NPG8|ZDHC4_HUMAN,31,#ffff54
sp|Q9NUE0|ZDH18_HUMAN,31,#ffff54
sp|Q9Y397|ZDHC9_HUMAN,31,#ffff54
sp|P23141|EST1_HUMAN,16,#ff4500
sp|Q00403|TF2B_HUMAN,16,#ff4500
sp|Q9NUQ2|PLCE_HUMAN,30,#f0e68c
sp|O60551|NMT2_HUMAN,17,#ff8c00
sp|O95260|ATE1_HUMAN,17,#ff8c00
sp|P23786|CPT2_HUMAN,17,#ff8c00
sp|P30101|PDIA3_HUMAN,17,#ff8c00
sp|P30419|NMT1_HUMAN,17,#ff8c00
sp|Q147X3|NAA30_HUMAN,17,#ff8c00
sp|Q8ND83|SLAI1_HUMAN,17,#ff8c00
sp|Q6IED9|DG2L7_HUMAN,29,#b0c4de
sp|Q16635|TAZ_HUMAN,18,#0000cd
sp|Q6UWP7|LCLT1_HUMAN,18,#0000cd
sp|O14929|HAT1_HUMAN,19,#deb887
sp|P12694|ODBA_HUMAN,19,#deb887
sp|Q9NST1|PLPL3_HUMAN,19,#deb887
sp|P22307|SCP2_HUMAN,20,#00ff00
sp|Q14032|BAAT_HUMAN,20,#00ff00
sp|Q2MJR0|SPRE3_HUMAN,20,#00ff00
sp|Q5SQI0|ATAT_HUMAN,20,#00ff00
sp|Q8WTX9|ZDHC1_HUMAN,20,#00ff00
sp|P11245|ARY2_HUMAN,21,#00fa9a
sp|P18440|ARY1_HUMAN,21,#00fa9a
sp|Q9UP65|PA24C_HUMAN,21,#00fa9a
sp|O14734|ACOT8_HUMAN,22,#dc143c
sp|Q5VTY9|HHAT_HUMAN,22,#dc143c
sp|Q9HCP6|HHATL_HUMAN,22,#dc143c
sp|Q7Z7B1|PIGW_HUMAN,23,#00bfff
sp|Q8IUH4|ZDH13_HUMAN,23,#00bfff
sp|Q8IUH5|ZDH17_HUMAN,23,#00bfff
sp|O75907|DGAT1_HUMAN,24,#f4a460
sp|O75908|SOAT2_HUMAN,24,#f4a460
sp|P35610|SOAT1_HUMAN,24,#f4a460
sp|P41227|NAA10_HUMAN,25,#0000ff
sp|Q86VE3|SATL1_HUMAN,25,#0000ff
sp|Q9BSU3|NAA11_HUMAN,25,#0000ff
sp|Q6P1A2|MBOA5_HUMAN,26,#a020f0
sp|Q6ZNC8|MBOA1_HUMAN,26,#a020f0
sp|Q6ZWT7|MBOA2_HUMAN,26,#a020f0
sp|Q96N66|MBOA7_HUMAN,26,#a020f0
sp|Q5W0Z9|ZDH20_HUMAN,27,#adff2f
sp|Q8IVQ6|ZDH21_HUMAN,27,#adff2f
sp|Q8WVZ1|ZDH19_HUMAN,27,#adff2f
sp|Q96MV8|ZDH15_HUMAN,27,#adff2f
sp|Q9UIJ5|ZDHC2_HUMAN,27,#adff2f
sp|Q8TB40|ABHD4_HUMAN,18,#0000cd
sp|Q8WTS1|ABHD5_HUMAN,18,#0000cd
sp|O15120|PLCB_HUMAN,28,#da70d6
sp|P51674|GPM6A_HUMAN,28,#da70d6
sp|Q99943|PLCA_HUMAN,28,#da70d6
sp|Q58HT5|AWAT1_HUMAN,29,#b0c4de
sp|Q6E213|AWAT2_HUMAN,29,#b0c4de
sp|Q6ZPD8|DG2L6_HUMAN,29,#b0c4de
sp|Q86VF5|MOGT3_HUMAN,29,#b0c4de
sp|Q96PD7|DGAT2_HUMAN,29,#b0c4de
sp|P24588|AKAP5_HUMAN,16,#ff4500
sp|Q12983|BNIP3_HUMAN,16,#ff4500
sp|Q7Z699|SPRE1_HUMAN,16,#ff4500
sp|Q96CV9|OPTN_HUMAN,16,#ff4500
sp|Q9UI08|EVL_HUMAN,16,#ff4500
sp|A6NGU5|GGT3_HUMAN,30,#f0e68c
sp|P19440|GGT1_HUMAN,30,#f0e68c
sp|P36269|GGT5_HUMAN,30,#f0e68c
sp|Q9H7X0|NAA60_HUMAN,30,#f0e68c
sp|Q86U10|LPP60_HUMAN,15,#800080
sp|Q9NWU1|OXSM_HUMAN,15,#800080
sp|Q969W1|ZDH16_HUMAN,31,#ffff54
sp|Q9NPF4|OSGEP_HUMAN,14,#8fbc8f
sp|Q9Y371|SHLB1_HUMAN,14,#8fbc8f
sp|Q9Y6F7|CDY2_HUMAN,14,#8fbc8f
sp|Q9Y6F8|CDY1_HUMAN,14,#8fbc8f
sp|O95932|TGM3L_HUMAN,32,#dda0dd
sp|P21980|TGM2_HUMAN,32,#dda0dd
sp|P49221|TGM4_HUMAN,32,#dda0dd
sp|Q08188|TGM3_HUMAN,32,#dda0dd
sp|Q96PF1|TGM7_HUMAN,32,#dda0dd
sp|P30041|PRDX6_HUMAN,33,#90ee90
sp|Q9UKG9|OCTC_HUMAN,33,#90ee90
sp|Q02083|NAAA_HUMAN,12,#d2691e
sp|Q8IYP9|ZDH23_HUMAN,12,#d2691e
sp|Q96I13|ABHD8_HUMAN,12,#d2691e
sp|Q9NRZ5|PLCD_HUMAN,5,#708090
sp|Q9NRZ7|PLCC_HUMAN,5,#708090
sp|Q8N9F0|NAT8L_HUMAN,5,#708090
sp|Q9H6R6|ZDHC6_HUMAN,5,#708090
sp|Q8NC51|PAIRB_HUMAN,4,#228b22
