Label,Cluster,Color
GORGO|Ensembl.ENSGGOG00000026891|UniProtKB.G3RYD2,0,#2f4f4f
HUMAN|HGNC.10897|UniProtKB.P12757,0,#2f4f4f
MACMU|Ensembl.ENSMMUG00000039099|UniProtKB.A0A5F8AQJ7,0,#2f4f4f
PANTR|Ensembl.ENSPTRG00000015616|UniProtKB.H2QNQ5,0,#2f4f4f
CAEBR|Gene.CBG20832|UniProtKB.A8XYQ9,1,#556b2f
CAEEL|WormBase.WBGene00000901|UniProtKB.G5EDM7,1,#556b2f
ORNAN|Ensembl.ENSOANG00000038832|UniProtKB.A0A6I8PEA3,2,#8b4513
CANLF|Ensembl.ENSCAFG00000014846|UniProtKB.A0A5F4CJQ8,3,#2e8b57
FELCA|Ensembl.ENSFCAG00000031064|UniProtKB.A0A2I2UY81,3,#2e8b57
GORGO|Ensembl.ENSGGOG00000006679|UniProtKB.G3QUX5,4,#228b22
HUMAN|HGNC.32695|UniProtKB.Q2VWA4,4,#228b22
MACMU|Ensembl.ENSMMUG00000048459|UniProtKB.A0A1D5QMZ8,4,#228b22
PANTR|Ensembl.ENSPTRG00000033850|UniProtKB.H2RCP4,4,#228b22
CHICK|Ensembl.ENSGALG00000029521|UniProtKB.A0A1D5PGB9,5,#708090
BRAFL|Gene.BRAFLDRAFT.175885|UniProtKB.C3YR52,6,#8b0000
BRAFL|Gene.BRAFLDRAFT.85878|UniProtKB.C3Y250,6,#8b0000
HELRO|EnsemblGenome.HelroG123537|UniProtKB.T1EGY0,6,#8b0000
HELRO|EnsemblGenome.HelroG80730|UniProtKB.T1G446,6,#8b0000
BRAFL|Gene.BRAFLDRAFT.231363|UniProtKB.C3ZVQ9,7,#808000
STRPU|EnsemblGenome.SPU.002160|UniProtKB.W4XFJ6,7,#808000
STRPU|EnsemblGenome.SPU.010659|UniProtKB.W4Y4L9,7,#808000
ORNAN|Ensembl.ENSOANG00000010922|UniProtKB.A0A6I8PL30,8,#483d8b
DANRE|ZFIN.ZDB-GENE-060825-57|UniProtKB.E7FBW7,9,#008080
LEPOC|Ensembl.ENSLOCG00000012403|UniProtKB.W5N3R2,9,#008080
ORYLA|Ensembl.ENSORLG00000011851|UniProtKB.H2M8M7,9,#008080
ANOGA|EnsemblGenome.AGAP004306|UniProtKB.A7UT33,10,#b8860b
DAPPU|EnsemblGenome.DAPPUDRAFT.4499|UniProtKB.E9GGF5,10,#b8860b
