Label,Cluster,Color
id|A0A0P0FKS2,0,#999999
id|A0A108T443,0,#999999
id|A0A174CW35,0,#999999
id|A0A174U831,0,#999999
id|A0A1C6DCX4,0,#999999
id|A0A0P0M2Y4,1,#E69F00
id|A0A139JWT4,1,#E69F00
id|A0A173XUL0,1,#E69F00
id|A0A174F9J2,1,#E69F00
id|A0A174JHB3,1,#E69F00
id|A0A174MYH4,1,#E69F00
id|A0A174V343,1,#E69F00
id|A0A174WER9,1,#E69F00
id|A0A1H7FFJ4,1,#E69F00
id|A0A397WKZ7,1,#E69F00
id|D4VSU1,1,#E69F00
id|D6D837,1,#E69F00
id|A0A173RY76,2,#56B4E9
id|A0A1C5S406,2,#56B4E9
id|A0A1C5TY89,2,#56B4E9
id|A0A1C5VKY6,2,#56B4E9
id|A0A1C5X749,2,#56B4E9
id|A0A1C6KHI5,2,#56B4E9
id|A0A2N0UPL9,2,#56B4E9
id|A0A2N0UVB8,2,#56B4E9
id|A0A2N0UWT2,2,#56B4E9
id|D4JU54,2,#56B4E9
id|A0A0U5F994,3,#009E73
id|A0A0U5K4C1,3,#009E73
id|A0A0U5KD37,3,#009E73
id|A5VJH0,3,#009E73
id|B3XRW1,3,#009E73
id|Q9F660,3,#009E73
id|A0A023J8T6,4,#F0E442
id|A0A0M2NIU1,4,#F0E442
id|A0A132P8Q3,4,#F0E442
id|A0A132P9C9,4,#F0E442
id|A0A1A7TBV0,4,#F0E442
id|A0A286V972,4,#F0E442
id|A0A376H0L7,4,#F0E442
id|I3U2V6,4,#F0E442
id|Q3Y1M8,4,#F0E442
id|Q75N78,4,#F0E442
id|Q83YZ2,4,#F0E442
id|T0VL23,4,#F0E442
id|D4IIZ6,5,#D55E00
id|A0A0P0ENF5,5,#D55E00
id|A0A174FWH1,5,#D55E00
id|A0A174JQR6,5,#D55E00
id|A0A174S8H3,5,#D55E00
id|D4VET1,5,#D55E00
id|D6D8L4,5,#D55E00
id|A0A139K753,5,#D55E00
id|A0A173Y2R7,5,#D55E00
id|A0A174A3V4,5,#D55E00
id|A0A174ES06,5,#D55E00
id|A0A0P0LK75,6,#f46d43
id|A0A108TCY7,6,#f46d43
id|A0A174MGF4,6,#f46d43
id|A0A174N0H0,6,#f46d43
id|A0A1H7H150,6,#f46d43
id|A0A1Q6JKX4,6,#f46d43
id|A0A380YLD2,6,#f46d43
id|A0A1D4P6X4,7,#abd9e9
id|A0A380GLM7,7,#abd9e9
id|A0A380HMH1,7,#abd9e9
id|D0R2U6,2,#56B4E9
