Label,Cluster,Color,PassOne,PassOneCol
I3VV06.THESW/85-290,0,#2f4f4f,0,#2f4f4f
LACF.RHIRD/87-298,0,#2f4f4f,0,#2f4f4f
LPLB.BACSU/104-314,0,#2f4f4f,0,#2f4f4f
MALC.STRR6/209-434,0,#2f4f4f,0,#2f4f4f
UGPA.ECOLI/90-294,0,#2f4f4f,0,#2f4f4f
GLNP.ECOLI/33-218,1,#556b2f,1,#556b2f
GLNP.RICPR/33-217,1,#556b2f,1,#556b2f
GLTJ.ECOLI/43-239,1,#556b2f,1,#556b2f
HISQ.SALTY/27-221,1,#556b2f,1,#556b2f
TCYB.BACSU/46-230,1,#556b2f,1,#556b2f
YCKA.BACSU/41-224,1,#556b2f,1,#556b2f
YHDY.ECOLI/173-362,1,#556b2f,1,#556b2f
NRTB.SYNE7/98-276,2,#8b4513,2,#8b4513
Q9WY46.THEMA/67-238,2,#8b4513,2,#8b4513
SSUC.BACSU/94-269,2,#8b4513,2,#8b4513
CNTB.STAA8/117-308,3.0,#2e8b57,3,#2e8b57
A0A1A5HQK4.RHILI/105-289,4.0,#228b22,4,#228b22
A0A1V0P5V0.LACLC/106-293,5,#708090,5,#708090
AMID.STRR6/125-308,5,#708090,5,#708090
Q49553.MYCHO/234-419,5,#708090,5,#708090
Q98QS7.MYCPU/195-382,5,#708090,5,#708090
YEJE.ECOLI/158-341,5,#708090,5,#708090
A0A023Z6E4.ECOLX/104-273,6,#8b0000,6,#8b0000
PSTA.ECOLI/101-295,6,#8b0000,6,#8b0000
YQGH.BACSU/107-309,6,#8b0000,6,#8b0000
YQGI.BACSU/80-293,6,#8b0000,6,#8b0000
CYST.ECOLI/74-276,7,#808000,7,#808000
FBPB.SERMA/341-526,7,#808000,7,#808000
POTH.ECOLI/117-315,7,#808000,7,#808000
AMYC.THETU/83-269,8.0,#483d8b,8,#483d8b
O28506.ARCFU/135-354,9,#008080,9,#008080
Q7ANQ9.RHIME/112-306,9,#008080,9,#008080
Q97VK6.SACS2/120-341,9,#008080,9,#008080
Q9LAT6.LISMN/112-304,9,#008080,9,#008080
Q9Y9N0.AERPE/121-339,9,#008080,9,#008080
A0A1A5IER8.RHILI/100-280,10,#b8860b,10,#b8860b
O86691.STRCO/402-574,10,#b8860b,10,#b8860b
Q44374.RHIRD/87-266,10,#b8860b,10,#b8860b
Q9EWP8.STRCO/101-281,10,#b8860b,10,#b8860b
Q9FAT1.VIBPH/84-268,10,#b8860b,10,#b8860b
NIKC.ECOLI/89-273,11.0,#4682b4,11,#4682b4
O34157.SALTM/115-319,12.0,#d2691e,12,#d2691e
AMIC.STRR6/298-492,13,#9acd32,13,#9acd32
OPPB.LACLA/113-318,13,#9acd32,13,#9acd32
Q98QF6.MYCPU/174-365,13,#9acd32,13,#9acd32
Q9PPS8.UREPA/183-374,13,#9acd32,13,#9acd32
OPUBD.BACSU/40-211,14,#32cd32,14,#32cd32
YEHW.ECOLI/68-240,14,#32cd32,14,#32cd32
YEHY.ECOLI/195-381,14,#32cd32,14,#32cd32
Q97UG4.SACS2/116-318,15.0,#8fbc8f,15,#8fbc8f
Q982M9.RHILO/75-250,16,#800080,16,#800080
Q9CLG9.PASMU/73-248,16,#800080,16,#800080
Q9PL65.CHLMU/67-242,16,#800080,16,#800080
Q9Z6P7.CHLPN/68-243,16,#800080,16,#800080
Y355.HAEIN/68-243,16,#800080,16,#800080
Q9UYG7.PYRAB/121-325,17,#b03060,17,#b03060
Q9X0U9.THEMA/119-323,17,#b03060,17,#b03060
LACG.RHIRD/89-270,18.0,#9932cc,18,#9932cc
UGPE.ECOLI/91-278,18.2,#ff4500,18,#9932cc
LPLC.BACSU/93-290,18.1,#00ced1,18,#9932cc
Q9HIL1.THEAC/131-337,15.3,#ff8c00,15,#8fbc8f
Q97YP1.SACS2/131-332,15.2,#ffd700,15,#8fbc8f
YEJB.ECOLI/151-361,12.4,#0000cd,12,#d2691e
Q97UH1.SACS2/128-336,15.1,#deb887,15,#8fbc8f
Q9WYD8.THEMA/94-282,11.4,#00ff00,11,#4682b4
Q9ZBG1.STRCO/128-331,12.3,#00fa9a,12,#d2691e
Q9WXN6.THEMA/92-279,11.3,#dc143c,11,#4682b4
Q9FAT0.VIBPH/116-319,12.2,#00bfff,12,#d2691e
Q9HLG4.THEAC/81-265,11.2,#f4a460,11,#4682b4
O66777.AQUAE/114-319,12.1,#0000ff,12,#d2691e
Q97VF6.SACS2/101-289,11.1,#a020f0,11,#4682b4
YOR2.CALSR/83-265,8.3,#adff2f,8,#483d8b
MSMG.STRMU/87-273,8.2,#ff6347,8,#483d8b
MALD.STRR6/87-275,8.1,#da70d6,8,#483d8b
SAPB.HAEIN/93-316,3.4,#b0c4de,3,#2e8b57
Q9RX04.DEIRA/318-494,4.3,#ff00ff,4,#228b22
Q9KKK5.VIBCH/118-310,3.3,#f0e68c,3,#2e8b57
Q9A534.CAUVC/67-247,4.2,#fa8072,4,#228b22
Q9KB56.BACHD/117-308,3.2,#ffff54,3,#2e8b57
Q98K61.RHILO/75-251,4.1,#6495ed,4,#228b22
NIKB.ECOLI/116-308,3.1,#dda0dd,3,#2e8b57
