Label,Cluster,Color
Massachusetts.USA/11.16/6/G,0,#e6194B
Massachusetts.USA/14.16/3/G,0,#e6194B
Massachusetts.USA/11.16/2/G,0,#e6194B
Massachusetts.USA/10.16/14/G,0,#e6194B
NewHampshire.USA/8.16/1/G,0,#e6194B
Massachusetts.USA/13.16/3/G,0,#e6194B
Massachusetts.USA/11.16/1/G,0,#e6194B
Massachusetts.USA/10.16/5/G,0,#e6194B
Massachusetts.USA/9.16/3/G,0,#e6194B
Massachusetts.USA/9.16/2/G,0,#e6194B
Massachusetts.USA/13.16/2/G,0,#e6194B
Massachusetts.USA/12.16/1/G,0,#e6194B
Massachusetts.USA/10.16/6/G,0,#e6194B
Arkansas.USA/40.16/G,1,#3cb44b
Wisconsin.USA/15.17/FH137/G,2,#ffe119
Missouri.USA/28.17/FH101/G,2,#ffe119
Missouri.USA/11.17/FH133/G,2,#ffe119
Massachusetts.USA/17.17/G,2,#ffe119
Massachusetts.USA/22.17/9/G,2,#ffe119
Massachusetts.USA/25.17/5/G,2,#ffe119
Massachusetts.USA/25.17/6/G,2,#ffe119
Wisconsin.USA/19.17/FH141/G,2,#ffe119
Washington.USA/19.17/FH44/G,2,#ffe119
Massachusetts.USA/23.17/G,2,#ffe119
Missouri.USA/15.17/FH138/G,2,#ffe119
Wisconsin.USA/15.17/FH89/G,2,#ffe119
Illinois.USA/11.17/G,2,#ffe119
Missouri.USA/15.17/FH134/G,2,#ffe119
Massachusetts.USA/16.16/13/G,3,#4363d8
BritishColumbia.CAN/24.16/4/G,4,#f58231
BritishColumbia.CAN/24.16/5/G,4,#f58231
BritishColumbia.CAN/31.16/4/G,4,#f58231
BritishColumbia.CAN/29.16/6/G,4,#f58231
BritishColumbia.CAN/24.16/1/G,4,#f58231
BritishColumbia.CAN/23.16/2/G,4,#f58231
BritishColumbia.CAN/24.16/7/G,4,#f58231
BritishColumbia.CAN/42.16/G,4,#f58231
BritishColumbia.CAN/30.16/2/G,4,#f58231
BritishColumbia.CAN/21.16/3/G,4,#f58231
BritishColumbia.CAN/30.16/3/G,4,#f58231
Missouri.USA/46.16/FH124/G,5,#ba3fdf
Massachusetts.USA/22.16/3/G,6,#42d4f4
Massachusetts.USA/45.16/2/G,7,#bfef45
Massachusetts.USA/39.16/1/G,7,#bfef45
Massachusetts.USA/43.16/2/G,7,#bfef45
Massachusetts.USA/44.16/1/G,7,#bfef45
Massachusetts.USA/46.16/1/G,7,#bfef45
Massachusetts.USA/46.16/6/G,7,#bfef45
Massachusetts.USA/46.16/7/G,7,#bfef45
Massachusetts.USA/42.16/1/G,7,#bfef45
Massachusetts.USA/45.16/4/G,7,#bfef45
Massachusetts.USA/50.16/1/G,7,#bfef45
Massachusetts.USA/45.16/3/G,7,#bfef45
Massachusetts.USA/43.16/1/G,7,#bfef45
Massachusetts.USA/45.16/1/G,7,#bfef45
Georgia.USA/13.17/G,8,#fabed4
Massachusetts.USA/22.17/6/G,8,#fabed4
Massachusetts.USA/26.17/G,8,#fabed4
Massachusetts.USA/22.17/5/G,8,#fabed4
Massachusetts.USA/22.17/3/G,8,#fabed4
Massachusetts.USA/22.17/G,8,#fabed4
Massachusetts.USA/24.17/3/G,8,#fabed4
Massachusetts.USA/25.17/7/G,8,#fabed4
Massachusetts.USA/22.17/8/G,8,#fabed4
Massachusetts.USA/19.17/G,8,#fabed4
Massachusetts.USA/22.17/4/G,8,#fabed4
Massachusetts.USA/19.17/4/G,8,#fabed4
Massachusetts.USA/19.17/3/G,8,#fabed4
Massachusetts.USA/25.17/G,8,#fabed4
Massachusetts.USA/24.17/G,8,#fabed4
Massachusetts.USA/21.17/G,8,#fabed4
Massachusetts.USA/24.17/2/G,8,#fabed4
Massachusetts.USA/22.17/2/G,8,#fabed4
Massachusetts.USA/25.17/4/G,8,#fabed4
Massachusetts.USA/21.17/2/G,8,#fabed4
Massachusetts.USA/24.17/4/G,8,#fabed4
Massachusetts.USA/25.17/3/G,8,#fabed4
Massachusetts.USA/13.17/2/G,8,#fabed4
Massachusetts.USA/25.17/2/G,8,#fabed4
Washington.USA/3.17/FH25/G,9,#469990
Washington.USA/12.17/FH34/G,9,#469990
Washington.USA/1.17/FH65/G,9,#469990
Washington.USA/8.17/FH17/G,9,#469990
Washington.USA/4.17/FH71/G,9,#469990
Washington.USA/2.17/FH54/G,9,#469990
Washington.USA/4.17/FH70/G,9,#469990
Washington.USA/2.17/FH21/G,9,#469990
Washington.USA/7.17/FH166/G,9,#469990
Washington.USA/5.17/FH161/G,9,#469990
Washington.USA/6.17/FH14/G,9,#469990
Washington.USA/6.17/FH105/G,9,#469990
Washington.USA/8.17/FH19/G,9,#469990
Washington.USA/12.17/FH35/G,9,#469990
Washington.USA/1.17/FH6/G,9,#469990
Washington.USA/1.17/FH8/G,9,#469990
Washington.USA/22.17/FH74/G,9,#469990
Washington.USA/16.17/FH152/G,9,#469990
Washington.USA/5.17/FH30/G,9,#469990
Washington.USA/3.17/FH59/G,9,#469990
Washington.USA/2.17/FH23/G,9,#469990
Washington.USA/2.17/FH58/G,9,#469990
Washington.USA/10.17/FH52/G,9,#469990
Washington.USA/7.17/FH61/G,9,#469990
Washington.USA/12.17/FH57/G,9,#469990
Washington.USA/5.17/FH9/G,9,#469990
Ontario.CAN/13.17/1/G,10,#dcbeff
Ontario.CAN/09.17/1/G,10,#dcbeff
Ontario.CAN/12.17/1/G,10,#dcbeff
Washington.USA/17.17/FH40/G,10,#dcbeff
Ontario.CAN/06.17/2/G,10,#dcbeff
Ontario.CAN/09.17/8/G,10,#dcbeff
Ontario.CAN/09.17/6/G,10,#dcbeff
Ontario.CAN/12.17/3/G,10,#dcbeff
Ontario.CAN/12.17/2/G,10,#dcbeff
Ontario.CAN/09.17/10/G,10,#dcbeff
Ontario.CAN/04.17/1/G,10,#dcbeff
Ontario.CAN/09.17/3/G,10,#dcbeff
Ontario.CAN/09.17/7/G,10,#dcbeff
