Label,Cluster,Color
sp|P00414|COX3_HUMAN,0,#e6194B
sp|P03886|NU1M_HUMAN,0,#e6194B
sp|P03891|NU2M_HUMAN,0,#e6194B
sp|P03905|NU4M_HUMAN,0,#e6194B
sp|P40926|MDHM_HUMAN,0,#e6194B
sp|Q9BRQ8|FSP1_HUMAN,0,#e6194B
sp|Q9NTG7|SIR3_HUMAN,0,#e6194B
sp|Q9NZ01|TECR_HUMAN,0,#e6194B
sp|P09417|DHPR_HUMAN,1,#3cb44b
sp|P21912|SDHB_HUMAN,1,#3cb44b
sp|Q8IXQ9|ETKMT_HUMAN,1,#3cb44b
sp|Q8TB37|NUBPL_HUMAN,1,#3cb44b
sp|Q99536|VAT1_HUMAN,1,#3cb44b
sp|Q9BUP3|HTAI2_HUMAN,1,#3cb44b
sp|Q9BV79|MECR_HUMAN,1,#3cb44b
sp|Q9HCJ6|VAT1L_HUMAN,1,#3cb44b
sp|P37058|DHB3_HUMAN,2,#ffe119
sp|O95299|NDUAA_HUMAN,3,#4363d8
sp|P08559|ODPA_HUMAN,3,#4363d8
sp|P14060|3BHS1_HUMAN,3,#4363d8
sp|P16083|NQO2_HUMAN,3,#4363d8
sp|P26439|3BHS2_HUMAN,3,#4363d8
sp|P29803|ODPAT_HUMAN,3,#4363d8
sp|P47985|UCRI_HUMAN,3,#4363d8
sp|Q8NBX0|SCPDL_HUMAN,3,#4363d8
sp|Q8WUS8|D42E1_HUMAN,3,#4363d8
sp|Q9H2F3|3BHS7_HUMAN,3,#4363d8
sp|O75306|NDUS2_HUMAN,4,#f58231
sp|P04406|G3P_HUMAN,4,#f58231
sp|P11310|ACADM_HUMAN,4,#f58231
sp|P16219|ACADS_HUMAN,4,#f58231
sp|P22695|QCR2_HUMAN,4,#f58231
sp|P26440|IVD_HUMAN,4,#f58231
sp|P28330|ACADL_HUMAN,4,#f58231
sp|P36957|ODO2_HUMAN,4,#f58231
sp|P45954|ACDSB_HUMAN,4,#f58231
sp|Q9H171|ZBP1_HUMAN,4,#f58231
sp|Q9Y234|LIPT_HUMAN,4,#f58231
sp|O14556|G3PT_HUMAN,5,#ba3fdf
sp|O14874|BCKD_HUMAN,5,#ba3fdf
sp|P18405|S5A1_HUMAN,5,#ba3fdf
sp|P31213|S5A2_HUMAN,5,#ba3fdf
sp|P51572|BAP31_HUMAN,5,#ba3fdf
sp|P56545|CTBP2_HUMAN,5,#ba3fdf
sp|Q13363|CTBP1_HUMAN,5,#ba3fdf
sp|Q15118|PDK1_HUMAN,5,#ba3fdf
sp|Q15119|PDK2_HUMAN,5,#ba3fdf
sp|Q15120|PDK3_HUMAN,5,#ba3fdf
sp|Q16654|PDK4_HUMAN,5,#ba3fdf
sp|Q16795|NDUA9_HUMAN,5,#ba3fdf
sp|Q92947|GCDH_HUMAN,5,#ba3fdf
sp|Q9Y6N5|SQOR_HUMAN,5,#ba3fdf
sp|O43766|LIAS_HUMAN,6,#42d4f4
sp|O96008|TOM40_HUMAN,6,#42d4f4
sp|P11177|ODPB_HUMAN,6,#42d4f4
sp|P12694|ODBA_HUMAN,6,#42d4f4
sp|P21953|ODBB_HUMAN,6,#42d4f4
sp|O95237|LRAT_HUMAN,7,#bfef45
sp|P00403|COX2_HUMAN,7,#bfef45
sp|P08574|CY1_HUMAN,7,#bfef45
sp|P11474|ERR1_HUMAN,7,#bfef45
sp|P40925|MDHC_HUMAN,7,#bfef45
sp|P49821|NDUV1_HUMAN,7,#bfef45
sp|Q13642|FHL1_HUMAN,7,#bfef45
sp|Q9UMS0|NFU1_HUMAN,7,#bfef45
sp|Q9Y2S2|CRYL1_HUMAN,7,#bfef45
sp|Q9Y6E7|SIR4_HUMAN,7,#bfef45
sp|O43488|ARK72_HUMAN,8,#fabed4
sp|O95154|ARK73_HUMAN,8,#fabed4
sp|P07098|LIPG_HUMAN,8,#fabed4
sp|Q330K2|NDUF6_HUMAN,8,#fabed4
sp|Q5TEU4|NDUF5_HUMAN,8,#fabed4
sp|Q8NHP1|ARK74_HUMAN,8,#fabed4
sp|Q9H8P0|PORED_HUMAN,8,#fabed4
sp|Q9NZC7|WWOX_HUMAN,8,#fabed4
sp|Q9NZD8|SPG21_HUMAN,8,#fabed4
sp|Q53GQ0|DHB12_HUMAN,25,#4363d8
sp|A6NKP2|D42E2_HUMAN,9,#dcbeff
sp|O43837|IDH3B_HUMAN,9,#dcbeff
sp|O75344|FKBP6_HUMAN,9,#dcbeff
sp|P07738|PMGE_HUMAN,9,#dcbeff
sp|P48448|AL3B2_HUMAN,9,#dcbeff
sp|P56937|DHB7_HUMAN,9,#dcbeff
sp|Q00796|DHSO_HUMAN,9,#dcbeff
sp|Q02127|PYRD_HUMAN,9,#dcbeff
sp|Q15738|NSDHL_HUMAN,9,#dcbeff
sp|Q3SXM5|HSDL1_HUMAN,25,#4363d8
sp|P13995|MTDC_HUMAN,10,#b3a400
sp|P36959|GMPR1_HUMAN,10,#b3a400
sp|P48507|GSH0_HUMAN,10,#b3a400
sp|Q9H903|MTD2L_HUMAN,10,#b3a400
sp|P15428|PGDH_HUMAN,11,#800000
sp|Q6UWP2|DHR11_HUMAN,11,#800000
sp|Q8N4T8|CBR4_HUMAN,11,#800000
sp|Q92506|DHB8_HUMAN,11,#800000
sp|Q99714|HCD2_HUMAN,11,#800000
sp|P00325|ADH1B_HUMAN,12,#82baff
sp|P00326|ADH1G_HUMAN,12,#82baff
sp|P07327|ADH1A_HUMAN,12,#82baff
sp|P08319|ADH4_HUMAN,12,#82baff
sp|P11766|ADHX_HUMAN,12,#82baff
sp|P28332|ADH6_HUMAN,12,#82baff
sp|P40394|ADH7_HUMAN,12,#82baff
sp|P0CG22|DR4L1_HUMAN,22,#e6194B
sp|Q13268|DHRS2_HUMAN,22,#e6194B
sp|Q6PKH6|DR4L2_HUMAN,22,#e6194B
sp|Q7Z4W1|DCXR_HUMAN,22,#e6194B
sp|Q9BPX1|DHB14_HUMAN,22,#e6194B
sp|Q9BTZ2|DHRS4_HUMAN,22,#e6194B
sp|Q9BUT1|BDH2_HUMAN,22,#e6194B
sp|P00338|LDHA_HUMAN,13,#ffd8b1
sp|P07195|LDHB_HUMAN,13,#ffd8b1
sp|P07864|LDHC_HUMAN,13,#ffd8b1
sp|P13804|ETFA_HUMAN,13,#ffd8b1
sp|P21695|GPDA_HUMAN,13,#ffd8b1
sp|Q03181|PPARD_HUMAN,13,#ffd8b1
sp|Q13630|FCL_HUMAN,13,#ffd8b1
sp|Q6ZMR3|LDH6A_HUMAN,13,#ffd8b1
sp|Q8IWW8|HOT_HUMAN,13,#ffd8b1
sp|Q8N335|GPD1L_HUMAN,13,#ffd8b1
sp|Q8NBM4|UBAC2_HUMAN,13,#ffd8b1
sp|Q9BYZ2|LDH6B_HUMAN,13,#ffd8b1
sp|Q6NVY1|HIBCH_HUMAN,21,#abd9e9
sp|Q8N4Q0|PTGR3_HUMAN,21,#abd9e9
sp|Q8N8N7|PTGR2_HUMAN,21,#abd9e9
sp|C9JRZ8|AK1BF_HUMAN,14,#999999
sp|O60218|AK1BA_HUMAN,14,#999999
sp|P14550|AK1A1_HUMAN,14,#999999
sp|P15121|ALDR_HUMAN,14,#999999
sp|P15559|NQO1_HUMAN,14,#999999
sp|P17516|AK1C4_HUMAN,14,#999999
sp|P42330|AK1C3_HUMAN,14,#999999
sp|P51857|AK1D1_HUMAN,14,#999999
sp|P52895|AK1C2_HUMAN,14,#999999
sp|Q04828|AK1C1_HUMAN,14,#999999
sp|Q6YN16|HSDL2_HUMAN,14,#999999
sp|Q96JD6|AKCL2_HUMAN,14,#999999
sp|Q9H9P8|L2HDH_HUMAN,14,#999999
sp|O95825|QORL1_HUMAN,15,#E69F00
sp|P31937|3HIDH_HUMAN,15,#E69F00
sp|P80365|DHI2_HUMAN,15,#E69F00
sp|Q14914|PTGR1_HUMAN,15,#E69F00
sp|Q53FA7|QORX_HUMAN,15,#E69F00
sp|Q96LJ7|DHRS1_HUMAN,15,#E69F00
sp|Q9UBQ7|GRHPR_HUMAN,15,#E69F00
sp|Q9UKU7|ACAD8_HUMAN,15,#E69F00
sp|Q9UQ10|DHDH_HUMAN,15,#E69F00
sp|Q9Y375|CIA30_HUMAN,15,#E69F00
sp|O75874|IDHC_HUMAN,16,#56B4E9
sp|P30838|AL3A1_HUMAN,16,#56B4E9
sp|P48735|IDHP_HUMAN,16,#56B4E9
sp|Q7L592|NDUF7_HUMAN,16,#56B4E9
sp|P37059|DHB2_HUMAN,17,#009E73
sp|Q16836|HCDH_HUMAN,17,#009E73
sp|O75489|NDUS3_HUMAN,18,#0072B2
sp|P78417|GSTO1_HUMAN,18,#0072B2
sp|Q8N4E7|FTMT_HUMAN,18,#0072B2
sp|Q8WWV3|RT4I1_HUMAN,18,#0072B2
sp|Q9H4Y5|GSTO2_HUMAN,18,#0072B2
sp|Q9NRN7|ADPPT_HUMAN,18,#0072B2
sp|Q9NYQ3|HAOX2_HUMAN,18,#0072B2
sp|Q9UJM8|HAOX1_HUMAN,18,#0072B2
sp|A0PJE2|DHR12_HUMAN,19,#D55E00
sp|Q6UX07|DHR13_HUMAN,19,#D55E00
sp|Q8N5I4|DHRSX_HUMAN,19,#D55E00
sp|Q8NBN7|RDH13_HUMAN,19,#D55E00
sp|Q8TC12|RDH11_HUMAN,19,#D55E00
sp|Q96NR8|RDH12_HUMAN,19,#D55E00
sp|Q9HBH5|RDH14_HUMAN,19,#D55E00
sp|O14756|H17B6_HUMAN,20,#CC79A7
sp|O75452|RDH16_HUMAN,20,#CC79A7
sp|P28845|DHI1_HUMAN,20,#CC79A7
sp|Q02338|BDH_HUMAN,20,#CC79A7
sp|Q7Z5J1|DHI1L_HUMAN,20,#CC79A7
sp|Q8NEX9|DR9C7_HUMAN,20,#CC79A7
sp|Q92781|RDH5_HUMAN,20,#CC79A7
sp|Q9BPW9|DHRS9_HUMAN,20,#CC79A7
sp|Q9NRG7|D39U1_HUMAN,13,#ffd8b1
sp|O43448|KCAB3_HUMAN,21,#abd9e9
sp|Q08257|QOR_HUMAN,21,#abd9e9
sp|Q13303|KCAB2_HUMAN,21,#abd9e9
sp|Q14722|KCAB1_HUMAN,21,#abd9e9
sp|Q9BQ95|ECSIT_HUMAN,21,#abd9e9
sp|O75828|CBR3_HUMAN,22,#e6194B
sp|P16152|CBR1_HUMAN,22,#e6194B
sp|A6ND91|ASPD_HUMAN,23,#3cb44b
sp|P38117|ETFB_HUMAN,23,#3cb44b
sp|P56705|WNT4_HUMAN,23,#3cb44b
sp|Q9H2D1|MFTC_HUMAN,23,#3cb44b
sp|Q9HBL8|NMRL1_HUMAN,23,#3cb44b
sp|P14061|DHB1_HUMAN,24,#ffe119
sp|Q14994|NR1I3_HUMAN,24,#ffe119
sp|Q8IWL3|HSC20_HUMAN,24,#ffe119
sp|Q8N3J5|PPM1K_HUMAN,24,#ffe119
sp|O75911|DHRS3_HUMAN,25,#4363d8
sp|Q7Z5P4|DHB13_HUMAN,25,#4363d8
sp|Q8IZV5|RDH10_HUMAN,25,#4363d8
sp|Q8N3Y7|RDHE2_HUMAN,25,#4363d8
sp|Q8NBQ5|DHB11_HUMAN,25,#4363d8
sp|P19404|NDUV2_HUMAN,26,#f58231
sp|P19793|RXRA_HUMAN,26,#f58231
sp|P50213|IDH3A_HUMAN,26,#f58231
sp|P51553|IDH3G_HUMAN,26,#f58231
sp|Q14894|CRYM_HUMAN,26,#f58231
sp|Q8IZJ6|TDH_HUMAN,26,#f58231
sp|A6NNS2|DRS7C_HUMAN,27,#ba3fdf
sp|Q06136|KDSR_HUMAN,27,#ba3fdf
sp|Q6IAN0|DRS7B_HUMAN,27,#ba3fdf
sp|Q9NYR8|RDH8_HUMAN,27,#ba3fdf
sp|Q9Y394|DHRS7_HUMAN,27,#ba3fdf
sp|Q16698|DECR_HUMAN,2,#ffe119
sp|Q9BY49|PECR_HUMAN,2,#ffe119
sp|Q9NUI1|DECR2_HUMAN,2,#ffe119
