Label,Cluster,Color,PassOne,PassOneCol
ANOCA|Ensembl.ENSACAG00000012739|UniProtKB.G1KMZ7,0,#999999,0,#999999
BOVIN|Ensembl.ENSBTAG00000004770|UniProtKB.E1B9X0,0,#999999,0,#999999
CANLF|Ensembl.ENSCAFG00000012146|UniProtKB.E2RR09,0,#999999,0,#999999
CHICK|Ensembl.ENSGALG00000034427|UniProtKB.A0A3Q2UP21,0,#999999,0,#999999
FELCA|Ensembl.ENSFCAG00000003505|UniProtKB.A0A5F5XVW5,0,#999999,0,#999999
GORGO|Ensembl.ENSGGOG00000012527|UniProtKB.G3R9Y5,0,#999999,0,#999999
HUMAN|HGNC.10591|UniProtKB.P35499,0,#999999,0,#999999
MACMU|Ensembl.ENSMMUG00000000580|UniProtKB.F6ZQ36,0,#999999,0,#999999
MONDO|Ensembl.ENSMODG00000009735|UniProtKB.F6X9I4,0,#999999,0,#999999
MOUSE|MGI.MGI.98250|UniProtKB.Q9ER60,0,#999999,0,#999999
ORNAN|Ensembl.ENSOANG00000009384|UniProtKB.A0A6I8P8J7,0,#999999,0,#999999
PANTR|Ensembl.ENSPTRG00000009532|UniProtKB.H2QDN9,0,#999999,0,#999999
PIG|Ensembl.ENSSSCG00000017282|UniProtKB.F1RSK2,0,#999999,0,#999999
RAT|RGD.3636|UniProtKB.P15390,0,#999999,0,#999999
XENTR|Xenbase.XB.GENE.982767|UniProtKB.A0A6I8RZI8,0,#999999,0,#999999
BOVIN|Ensembl.ENSBTAG00000026461|UniProtKB.A0A3Q1NAD2,1,#E69F00,1,#E69F00
CANLF|Ensembl.ENSCAFG00000019596|UniProtKB.A0A5F4D2Q9,1,#E69F00,1,#E69F00
CHICK|Ensembl.ENSGALG00000005215|UniProtKB.F1P435,1,#E69F00,1,#E69F00
DANRE|ZFIN.ZDB.GENE.090312.128|UniProtKB.A0A0R4IDH2,1,#E69F00,1,#E69F00
DANRE|ZFIN.ZDB.GENE.130103.1|UniProtKB.X1WBF7,1,#E69F00,1,#E69F00
FELCA|Ensembl.ENSFCAG00000018843|UniProtKB.M3WP54,1,#E69F00,1,#E69F00
GORGO|Ensembl.ENSGGOG00000014033|UniProtKB.G3RZS6,1,#E69F00,1,#E69F00
HORSE|Ensembl.ENSECAG00000022241|UniProtKB.F6VZM1,1,#E69F00,1,#E69F00
HUMAN|HGNC.1395|UniProtKB.O95180,1,#E69F00,1,#E69F00
