Label,Cluster,Color,PassOne,PassOneCol
sp|O95718|ERR2_HUMAN,0,#2f4f4f,0,#2f4f4f
sp|P03372|ESR1_HUMAN,0,#2f4f4f,0,#2f4f4f
sp|P04150|GCR_HUMAN,0,#2f4f4f,0,#2f4f4f
sp|P11474|ERR1_HUMAN,0,#2f4f4f,0,#2f4f4f
sp|P62508|ERR3_HUMAN,0,#2f4f4f,0,#2f4f4f
sp|Q92731|ESR2_HUMAN,0,#2f4f4f,0,#2f4f4f
sp|P04062|GLCM_HUMAN,1,#556b2f,1,#556b2f
sp|P14060|3BHS1_HUMAN,1,#556b2f,1,#556b2f
sp|P56937|DHB7_HUMAN,1,#556b2f,1,#556b2f
sp|Q02643|GHRHR_HUMAN,1,#556b2f,1,#556b2f
sp|Q9H2F3|3BHS7_HUMAN,1,#556b2f,1,#556b2f
sp|P08910|ABHD2_HUMAN,2.0,#8b4513,2,#8b4513
sp|P53041|PPP5_HUMAN,3,#2e8b57,3,#2e8b57
sp|Q13509|TBB3_HUMAN,3,#2e8b57,3,#2e8b57
sp|Q13885|TBB2A_HUMAN,3,#2e8b57,3,#2e8b57
sp|Q9BQE3|TBA1C_HUMAN,3,#2e8b57,3,#2e8b57
sp|Q9BUF5|TBB6_HUMAN,3,#2e8b57,3,#2e8b57
sp|O76062|ERG24_HUMAN,4,#228b22,4,#228b22
sp|P12643|BMP2_HUMAN,4,#228b22,4,#228b22
sp|P12644|BMP4_HUMAN,4,#228b22,4,#228b22
sp|P18075|BMP7_HUMAN,4,#228b22,4,#228b22
sp|P22003|BMP5_HUMAN,4,#228b22,4,#228b22
sp|Q13510|ASAH1_HUMAN,4,#228b22,4,#228b22
sp|Q9UBM7|DHCR7_HUMAN,4,#228b22,4,#228b22
sp|O75925|PIAS1_HUMAN,5,#708090,5,#708090
sp|O75928|PIAS2_HUMAN,5,#708090,5,#708090
sp|Q02962|PAX2_HUMAN,5,#708090,5,#708090
sp|Q9Y6X2|PIAS3_HUMAN,5,#708090,5,#708090
sp|P22736|NR4A1_HUMAN,6,#8b0000,6,#8b0000
sp|P43354|NR4A2_HUMAN,6,#8b0000,6,#8b0000
sp|Q92570|NR4A3_HUMAN,6,#8b0000,6,#8b0000
sp|P16471|PRLR_HUMAN,7,#808000,7,#808000
sp|P49918|CDN1C_HUMAN,7,#808000,7,#808000
sp|P56705|WNT4_HUMAN,7,#808000,7,#808000
sp|P61158|ARP3_HUMAN,7,#808000,7,#808000
sp|Q13790|APOF_HUMAN,7,#808000,7,#808000
sp|P20393|NR1D1_HUMAN,8,#483d8b,8,#483d8b
sp|P35398|RORA_HUMAN,8,#483d8b,8,#483d8b
sp|P51449|RORG_HUMAN,8,#483d8b,8,#483d8b
sp|Q14995|NR1D2_HUMAN,8,#483d8b,8,#483d8b
sp|Q6ZVX9|PAQR9_HUMAN,9,#008080,9,#008080
sp|Q9H255|O51E2_HUMAN,9,#008080,9,#008080
sp|Q9NXF8|ZDHC7_HUMAN,32.2,#b8860b,32,#6495ed
sp|P23771|GATA3_HUMAN,33.1,#4682b4,33,#dda0dd
sp|P28300|LYOX_HUMAN,33.1,#4682b4,33,#dda0dd
sp|Q8NBP7|PCSK9_HUMAN,33.1,#4682b4,33,#dda0dd
sp|O75881|CP7B1_HUMAN,10.0,#d2691e,10,#d2691e
sp|P04798|CP1A1_HUMAN,10.0,#d2691e,10,#d2691e
sp|P05177|CP1A2_HUMAN,10.0,#d2691e,10,#d2691e
