Label,Cluster,Color,PassOne,PassOneCol
sp|O95718|ERR2_HUMAN,0.0,#999999,0,#999999
sp|P03372|ESR1_HUMAN,0.0,#999999,0,#999999
sp|P04150|GCR_HUMAN,0.0,#999999,0,#999999
sp|P11474|ERR1_HUMAN,0.0,#999999,0,#999999
sp|P22736|NR4A1_HUMAN,0.0,#999999,0,#999999
sp|P43354|NR4A2_HUMAN,0.0,#999999,0,#999999
sp|P62508|ERR3_HUMAN,0.0,#999999,0,#999999
sp|Q92570|NR4A3_HUMAN,0.0,#999999,0,#999999
sp|Q92731|ESR2_HUMAN,0.0,#999999,0,#999999
sp|P08910|ABHD2_HUMAN,1,#E69F00,1,#E69F00
sp|O76062|ERG24_HUMAN,2,#56B4E9,2,#56B4E9
sp|P12643|BMP2_HUMAN,2,#56B4E9,2,#56B4E9
sp|P12644|BMP4_HUMAN,2,#56B4E9,2,#56B4E9
sp|P16662|UD2B7_HUMAN,2,#56B4E9,2,#56B4E9
sp|P18075|BMP7_HUMAN,2,#56B4E9,2,#56B4E9
sp|P22003|BMP5_HUMAN,2,#56B4E9,2,#56B4E9
sp|P22309|UD11_HUMAN,2,#56B4E9,2,#56B4E9
sp|Q13510|ASAH1_HUMAN,2,#56B4E9,2,#56B4E9
sp|Q14739|LBR_HUMAN,2,#56B4E9,2,#56B4E9
sp|Q86UW1|OSTA_HUMAN,2,#56B4E9,2,#56B4E9
sp|Q8NG98|OR7D4_HUMAN,2,#56B4E9,2,#56B4E9
sp|Q99527|GPER1_HUMAN,2,#56B4E9,2,#56B4E9
sp|Q9HAW8|UD110_HUMAN,2,#56B4E9,2,#56B4E9
sp|Q9HAW9|UD18_HUMAN,2,#56B4E9,2,#56B4E9
sp|Q9UBM7|DHCR7_HUMAN,2,#56B4E9,2,#56B4E9
sp|O43323|DHH_HUMAN,3.0,#009E73,3,#009E73
sp|P80365|DHI2_HUMAN,3.0,#009E73,3,#009E73
sp|Q99623|PHB2_HUMAN,3.0,#009E73,3,#009E73
sp|Q9HCD5|NCOA5_HUMAN,3.0,#009E73,3,#009E73
sp|Q9Y606|TRUA_HUMAN,3.0,#009E73,3,#009E73
sp|P04062|GLCM_HUMAN,4,#F0E442,4,#F0E442
sp|P13807|GYS1_HUMAN,4,#F0E442,4,#F0E442
sp|P14060|3BHS1_HUMAN,4,#F0E442,4,#F0E442
sp|P23771|GATA3_HUMAN,4,#F0E442,4,#F0E442
sp|P28300|LYOX_HUMAN,4,#F0E442,4,#F0E442
sp|P56937|DHB7_HUMAN,4,#F0E442,4,#F0E442
sp|Q02643|GHRHR_HUMAN,4,#F0E442,4,#F0E442
sp|Q8NBP7|PCSK9_HUMAN,4,#F0E442,4,#F0E442
sp|Q9H2F3|3BHS7_HUMAN,4,#F0E442,4,#F0E442
sp|O94763|RMP_HUMAN,5,#0072B2,5,#0072B2
