Label,Cluster,Color,PassOne,PassOneCol
I3VV06.THESW|85.290,0,#2f4f4f,0,#2f4f4f
LACF.RHIRD|87.298,0,#2f4f4f,0,#2f4f4f
LPLB.BACSU|104.314,0,#2f4f4f,0,#2f4f4f
MALC.STRR6|209.434,0,#2f4f4f,0,#2f4f4f
UGPA.ECOLI|90.294,0,#2f4f4f,0,#2f4f4f
GLNP.ECOLI|33.218,1,#556b2f,1,#556b2f
GLNP.RICPR|33.217,1,#556b2f,1,#556b2f
GLTJ.ECOLI|43.239,1,#556b2f,1,#556b2f
HISQ.SALTY|27.221,1,#556b2f,1,#556b2f
TCYB.BACSU|46.230,1,#556b2f,1,#556b2f
YCKA.BACSU|41.224,1,#556b2f,1,#556b2f
YHDY.ECOLI|173.362,1,#556b2f,1,#556b2f
NRTB.SYNE7|98.276,2,#8b4513,2,#8b4513
Q9WY46.THEMA|67.238,2,#8b4513,2,#8b4513
SSUC.BACSU|94.269,2,#8b4513,2,#8b4513
CNTB.STAA8|117.308,3.0,#2e8b57,3,#2e8b57
NIKB.ECOLI|116.308,3.0,#2e8b57,3,#2e8b57
Q9KB56.BACHD|117.308,3.0,#2e8b57,3,#2e8b57
Q9KKK5.VIBCH|118.310,3.0,#2e8b57,3,#2e8b57
A0A1A5HQK4.RHILI|105.289,4.0,#228b22,4,#228b22
Q98K61.RHILO|75.251,4.0,#228b22,4,#228b22
A0A1V0P5V0.LACLC|106.293,5,#708090,5,#708090
AMID.STRR6|125.308,5,#708090,5,#708090
Q49553.MYCHO|234.419,5,#708090,5,#708090
Q98QS7.MYCPU|195.382,5,#708090,5,#708090
YEJE.ECOLI|158.341,5,#708090,5,#708090
A0A023Z6E4.ECOLX|104.273,6,#8b0000,6,#8b0000
PSTA.ECOLI|101.295,6,#8b0000,6,#8b0000
YQGH.BACSU|107.309,6,#8b0000,6,#8b0000
YQGI.BACSU|80.293,6,#8b0000,6,#8b0000
CYST.ECOLI|74.276,7,#808000,7,#808000
FBPB.SERMA|341.526,7,#808000,7,#808000
POTH.ECOLI|117.315,7,#808000,7,#808000
LPLC.BACSU|93.290,18.1,#483d8b,18,#0000cd
AMYC.THETU|83.269,8.0,#008080,8,#008080
MSMG.STRMU|87.273,8.0,#008080,8,#008080
YOR2.CALSR|83.265,8.0,#008080,8,#008080
O28506.ARCFU|135.354,9,#b8860b,9,#b8860b
Q7ANQ9.RHIME|112.306,9,#b8860b,9,#b8860b
Q97VK6.SACS2|120.341,9,#b8860b,9,#b8860b
Q9LAT6.LISMN|112.304,9,#b8860b,9,#b8860b
Q9Y9N0.AERPE|121.339,9,#b8860b,9,#b8860b
A0A1A5IER8.RHILI|100.280,10,#4682b4,10,#4682b4
O86691.STRCO|402.574,10,#4682b4,10,#4682b4
Q44374.RHIRD|87.266,10,#4682b4,10,#4682b4
Q9EWP8.STRCO|101.281,10,#4682b4,10,#4682b4
Q9FAT1.VIBPH|84.268,10,#4682b4,10,#4682b4
Q97YP1.SACS2|131.332,15.1,#d2691e,15,#ff4500
NIKC.ECOLI|89.273,11.0,#9acd32,11,#9acd32
Q9HLG4.THEAC|81.265,11.0,#9acd32,11,#9acd32
O34157.SALTM|115.319,12.0,#32cd32,12,#32cd32
Q9FAT0.VIBPH|116.319,12.0,#32cd32,12,#32cd32
Q9ZBG1.STRCO|128.331,12.0,#32cd32,12,#32cd32
O66777.AQUAE|114.319,12.1,#8fbc8f,12,#32cd32
YEJB.ECOLI|151.361,12.1,#8fbc8f,12,#32cd32
AMIC.STRR6|298.492,13,#800080,13,#800080
OPPB.LACLA|113.318,13,#800080,13,#800080
Q98QF6.MYCPU|174.365,13,#800080,13,#800080
Q9PPS8.UREPA|183.374,13,#800080,13,#800080
Q97VF6.SACS2|101.289,11.1,#b03060,11,#9acd32
Q9WXN6.THEMA|92.279,11.1,#b03060,11,#9acd32
Q9WYD8.THEMA|94.282,11.1,#b03060,11,#9acd32
OPUBD.BACSU|40.211,14,#9932cc,14,#9932cc
YEHW.ECOLI|68.240,14,#9932cc,14,#9932cc
YEHY.ECOLI|195.381,14,#9932cc,14,#9932cc
Q97UG4.SACS2|116.318,15.0,#ff4500,15,#ff4500
Q97UH1.SACS2|128.336,15.0,#ff4500,15,#ff4500
Q9HIL1.THEAC|131.337,15.0,#ff4500,15,#ff4500
Q982M9.RHILO|75.250,16,#00ced1,16,#00ced1
Q9CLG9.PASMU|73.248,16,#00ced1,16,#00ced1
Q9PL65.CHLMU|67.242,16,#00ced1,16,#00ced1
Q9Z6P7.CHLPN|68.243,16,#00ced1,16,#00ced1
Y355.HAEIN|68.243,16,#00ced1,16,#00ced1
MALD.STRR6|87.275,8.1,#ff8c00,8,#008080
Q9UYG7.PYRAB|121.325,17,#ffd700,17,#ffd700
Q9X0U9.THEMA|119.323,17,#ffd700,17,#ffd700
LACG.RHIRD|89.270,18.0,#0000cd,18,#0000cd
UGPE.ECOLI|91.278,18.0,#0000cd,18,#0000cd
Q9A534.CAUVC|67.247,4.1,#deb887,4,#228b22
Q9RX04.DEIRA|318.494,4.1,#deb887,4,#228b22
SAPB.HAEIN|93.316,3.1,#00ff00,3,#2e8b57
