Label,Cluster,Color
sp|P06239|LCK_HUMAN,0,#999999
sp|P27544|CERS1_HUMAN,0,#999999
sp|Q6ZMG9|CERS6_HUMAN,0,#999999
sp|Q8IU89|CERS3_HUMAN,0,#999999
sp|Q8IVS2|FABD_HUMAN,0,#999999
sp|Q8N5B7|CERS5_HUMAN,0,#999999
sp|Q96G23|CERS2_HUMAN,0,#999999
sp|Q96T53|MBOA4_HUMAN,0,#999999
sp|Q9H237|PORCN_HUMAN,0,#999999
sp|Q9HA82|CERS4_HUMAN,0,#999999
sp|P02647|APOA1_HUMAN,1,#E69F00
sp|P02649|APOE_HUMAN,1,#E69F00
sp|P06727|APOA4_HUMAN,1,#E69F00
sp|P24588|AKAP5_HUMAN,1,#E69F00
sp|Q07065|CKAP4_HUMAN,1,#E69F00
sp|Q12983|BNIP3_HUMAN,1,#E69F00
sp|Q6Q788|APOA5_HUMAN,1,#E69F00
sp|Q7Z699|SPRE1_HUMAN,1,#E69F00
sp|Q8NC51|PAIRB_HUMAN,1,#E69F00
sp|Q96CV9|OPTN_HUMAN,1,#E69F00
sp|Q9UI08|EVL_HUMAN,1,#E69F00
sp|P15104|GLNA_HUMAN,2,#56B4E9
sp|P25445|TNR6_HUMAN,2,#56B4E9
sp|P56704|WNT3A_HUMAN,2,#56B4E9
sp|Q53EU6|GPAT3_HUMAN,2,#56B4E9
sp|Q86UL3|GPAT4_HUMAN,2,#56B4E9
sp|O14929|HAT1_HUMAN,3,#009E73
sp|P12694|ODBA_HUMAN,3,#009E73
sp|Q9NST1|PLPL3_HUMAN,3,#009E73
sp|O14734|ACOT8_HUMAN,4,#F0E442
sp|Q5VTY9|HHAT_HUMAN,4,#F0E442
sp|Q9HCP6|HHATL_HUMAN,4,#F0E442
sp|P04180|LCAT_HUMAN,5,#0072B2
sp|P11245|ARY2_HUMAN,5,#0072B2
sp|P18440|ARY1_HUMAN,5,#0072B2
sp|P41227|NAA10_HUMAN,5,#0072B2
sp|P43155|CACP_HUMAN,5,#0072B2
sp|Q02083|NAAA_HUMAN,5,#0072B2
sp|Q86VE3|SATL1_HUMAN,5,#0072B2
sp|Q8IYP9|ZDH23_HUMAN,5,#0072B2
sp|Q8NCC3|PAG15_HUMAN,5,#0072B2
sp|Q96I13|ABHD8_HUMAN,5,#0072B2
sp|Q96KN8|PLAT5_HUMAN,5,#0072B2
sp|Q9BSU3|NAA11_HUMAN,5,#0072B2
sp|Q9UMX2|OAZ3_HUMAN,5,#0072B2
sp|Q9UP65|PA24C_HUMAN,5,#0072B2
sp|O15269|SPTC1_HUMAN,6,#D55E00
sp|O75600|KBL_HUMAN,6,#D55E00
sp|O95237|LRAT_HUMAN,6,#D55E00
sp|P13196|HEM1_HUMAN,6,#D55E00
sp|P22557|HEM0_HUMAN,6,#D55E00
sp|P30041|PRDX6_HUMAN,6,#D55E00
sp|Q16769|QPCT_HUMAN,6,#D55E00
sp|Q92604|LGAT1_HUMAN,6,#D55E00
sp|Q93015|NAA80_HUMAN,6,#D55E00
sp|Q96DZ5|CLIP3_HUMAN,6,#D55E00
sp|Q96MH6|TMM68_HUMAN,6,#D55E00
sp|Q9NXS2|QPCTL_HUMAN,6,#D55E00
sp|Q9UKG9|OCTC_HUMAN,6,#D55E00
sp|P09110|THIK_HUMAN,7,#CC79A7
sp|P10515|ODP2_HUMAN,7,#CC79A7
sp|P11182|ODB2_HUMAN,7,#CC79A7
sp|P24752|THIL_HUMAN,7,#CC79A7
sp|P36957|ODO2_HUMAN,7,#CC79A7
sp|P42765|THIM_HUMAN,7,#CC79A7
sp|P55084|ECHB_HUMAN,7,#CC79A7
sp|Q56NI9|ESCO2_HUMAN,7,#CC79A7
sp|Q6P531|GGT6_HUMAN,7,#CC79A7
sp|Q9BWD1|THIC_HUMAN,7,#CC79A7
sp|Q9UJ14|GGT7_HUMAN,7,#CC79A7
sp|O95932|TGM3L_HUMAN,8,#f46d43
sp|P21980|TGM2_HUMAN,8,#f46d43
sp|P49221|TGM4_HUMAN,8,#f46d43
sp|Q08188|TGM3_HUMAN,8,#f46d43
sp|Q16635|TAZ_HUMAN,8,#f46d43
sp|Q6UWP7|LCLT1_HUMAN,8,#f46d43
sp|Q8TB40|ABHD4_HUMAN,8,#f46d43
sp|Q8WTS1|ABHD5_HUMAN,8,#f46d43
sp|Q96PF1|TGM7_HUMAN,8,#f46d43
