Label,Cluster,Color
ANOCA|Ensembl.ENSACAG00000006326|UniProtKB.G1KFC5,0,#999999
BACCR|EnsemblGenome.BC.0803|UniProtKB.Q81HK3,1,#E69F00
BACTN|EnsemblGenome.BT.2528|UniProtKB.Q8A4R9,1,#E69F00
CLOBH|Gene.OrderedLocusName.CBO3444|UniProtKB.A5I7G9,1,#E69F00
DICTD|EnsemblGenome.Dtur.0057|UniProtKB.B8DYL3,1,#E69F00
FUSNN|EnsemblGenome.FN0276|UniProtKB.Q8RGL5,1,#E69F00
GEOSL|EnsemblGenome.GSU1742|UniProtKB.Q74CD2,1,#E69F00
LISMO|Gene.CAC98904|UniProtKB.Q8Y8R8,1,#E69F00
RHOBA|EnsemblGenome.RB8909|UniProtKB.Q7UMC5,1,#E69F00
STAA8|EnsemblGenome.SAOUHSC.00060|UniProtKB.Q2G1P4,1,#E69F00
STRR6|EnsemblGenome.spr0439|UniProtKB.Q8DQX9,1,#E69F00
HUMAN|HGNC.11020|UniProtKB.O95436,2,#56B4E9
BRAFL|Gene.BRAFLDRAFT.124889|UniProtKB.C3YCZ4,3,#009E73
BRAFL|Gene.BRAFLDRAFT.87389|UniProtKB.C3YCZ5,3,#009E73
BRAFL|Gene.BRAFLDRAFT.89694|UniProtKB.C3Y4G2,3,#009E73
NEMVE|EnsemblGenome.NEMVEDRAFT.v1g238016|UniProtKB.A7RG57,3,#009E73
NEMVE|EnsemblGenome.NEMVEDRAFT.v1g32113|UniProtKB.A7S044,3,#009E73
NEMVE|EnsemblGenome.NEMVEDRAFT.v1g36332|UniProtKB.A7RWT6,3,#009E73
STRPU|EnsemblGenome.SPU.003240|UniProtKB.W4XIL5,3,#009E73
STRPU|EnsemblGenome.SPU.017105|UniProtKB.W4YMS9,3,#009E73
STRPU|EnsemblGenome.SPU.026948|UniProtKB.W4ZFJ9,3,#009E73
TRIAD|EnsemblGenome.TriadG21879|UniProtKB.B3RMF0,3,#009E73
TRIAD|EnsemblGenome.TriadG53889|UniProtKB.B3RMB6,3,#009E73
PHYRM|Gene.H3GMG3.PHYRM|UniProtKB.H3GMG3,4,#F0E442
PHYRM|Gene.H3GQ89.PHYRM|UniProtKB.H3GQ89,4,#F0E442
PHYRM|Gene.H3GU40.PHYRM|UniProtKB.H3GU40,4,#F0E442
PHYRM|Gene.H3GU41.PHYRM|UniProtKB.H3GU41,4,#F0E442
PHYRM|Gene.H3H503.PHYRM|UniProtKB.H3H503,4,#F0E442
PHYRM|Gene.H3H5G0.PHYRM|UniProtKB.H3H5G0,4,#F0E442
PHYRM|Gene.H3H8Y3.PHYRM|UniProtKB.H3H8Y3,4,#F0E442
RHOBA|EnsemblGenome.RB11050|UniProtKB.Q7UJU6,4,#F0E442
THAPS|EnsemblGenome.THAPSDRAFT.24435|UniProtKB.B8CA16,4,#F0E442
THAPS|EnsemblGenome.THAPSDRAFT.263581|UniProtKB.B8C8K0,4,#F0E442
THAPS|EnsemblGenome.THAPSDRAFT.8962|UniProtKB.B8C9Z8,4,#F0E442
VIBCH|EnsemblGenome.VC.0676|UniProtKB.H9L4N7,4,#F0E442
DAPPU|EnsemblGenome.DAPPUDRAFT.251853|UniProtKB.E9H1H9,5,#0072B2
DAPPU|EnsemblGenome.DAPPUDRAFT.307273|UniProtKB.E9H1H8,5,#0072B2
DAPPU|EnsemblGenome.DAPPUDRAFT.307274|UniProtKB.E9H1I0,5,#0072B2
DAPPU|EnsemblGenome.DAPPUDRAFT.318327|UniProtKB.E9GIH1,5,#0072B2
HELRO|EnsemblGenome.HelroG99285|UniProtKB.T1G9R9,5,#0072B2
IXOSC|EnsemblGenome.ISCW006373|UniProtKB.B7PLN4,5,#0072B2
BOVIN|Ensembl.ENSBTAG00000046379|UniProtKB.A0A3Q1N3R7,6,#D55E00
CANLF|Ensembl.ENSCAFG00000019464|UniProtKB.E2QWZ4,6,#D55E00
FELCA|Ensembl.ENSFCAG00000022972|UniProtKB.M3XDY3,6,#D55E00
GORGO|Ensembl.ENSGGOG00000001886|UniProtKB.G3QHM4,6,#D55E00
HUMAN|HGNC.20305|UniProtKB.Q8N130,6,#D55E00
MACMU|Ensembl.ENSMMUG00000060673|UniProtKB.A0A5F8AJ48,6,#D55E00
MONDO|Ensembl.ENSMODG00000017206|UniProtKB.F6XEY4,6,#D55E00
MOUSE|MGI.MGI.2159410|UniProtKB.Q80SU6,6,#D55E00
PANTR|Ensembl.ENSPTRG00000023766|UniProtKB.A0A2J8N9J5,6,#D55E00
PIG|Ensembl.ENSSSCG00000040105|UniProtKB.A0A287B355,6,#D55E00
RAT|RGD.708551|UniProtKB.Q8K4R8,6,#D55E00
BRAFL|Gene.BRAFLDRAFT.119000|UniProtKB.C3Z7M7,7,#CC79A7
CIOIN|Ensembl.ENSCING00000000884|UniProtKB.F6UPI1,8,#f46d43
CIOIN|Ensembl.ENSCING00000005437|UniProtKB.F6UUY2,8,#f46d43
CIOIN|Ensembl.ENSCING00000008467|UniProtKB.F6TQI0,8,#f46d43
CIOIN|Ensembl.ENSCING00000008472|UniProtKB.F6TQU2,8,#f46d43
CIOIN|Ensembl.ENSCING00000021396|UniProtKB.F6TB46,8,#f46d43
CHLAA|EnsemblGenome.Caur.2529|UniProtKB.A9WI44,9,#abd9e9
BACSU|EnsemblGenome.BSU25420|UniProtKB.P54463,10,#999999
ANOCA|Ensembl.ENSACAG00000014383|UniProtKB.H9GL42,11,#E69F00
CHICK|Ensembl.ENSGALG00000014372|UniProtKB.A0A3S5ZPQ9,11,#E69F00
DANRE|Ensembl.ENSDARG00000114611|UniProtKB.A0A2R8RXD6,12,#56B4E9
CAEBR|Gene.CBG14195|UniProtKB.A8XJH5,13,#009E73
CAEEL|WormBase.WBGene00022767|UniProtKB.Q23530,13,#009E73
PRIPA|EnsemblGenome.WBGene00097057|UniProtKB.H3ECQ4,13,#009E73
ORYLA|Ensembl.ENSORLG00000005033|UniProtKB.H2LJZ4,12,#56B4E9
LEPOC|Ensembl.ENSLOCG00000010937|UniProtKB.W5MYG0,12,#56B4E9
FELCA|Ensembl.ENSFCAG00000001536|UniProtKB.M3VWU4,12,#56B4E9
GORGO|Ensembl.ENSGGOG00000016668|UniProtKB.G3SH16,11,#E69F00
MACMU|Ensembl.ENSMMUG00000021135|UniProtKB.F7HDA3,11,#E69F00
PANTR|Ensembl.ENSPTRG00000015965|UniProtKB.A0A2J8NW03,11,#E69F00
DANRE|ZFIN.ZDB-GENE-101006-4|UniProtKB.A0A2R8QQZ5,12,#56B4E9
ORYLA|Ensembl.ENSORLG00000004331|UniProtKB.H2LHG4,9,#abd9e9
FELCA|Ensembl.ENSFCAG00000029965|UniProtKB.A0A2I2UMZ9,11,#E69F00
MOUSE|MGI.MGI.1342284|UniProtKB.Q9DBP0,11,#E69F00
RAT|RGD.620889|UniProtKB.Q9JJ09,11,#E69F00
DANRE|ZFIN.ZDB-GENE-101006-3|UniProtKB.F8W579,12,#56B4E9
LEPOC|Ensembl.ENSLOCG00000009766|UniProtKB.W5MU75,9,#abd9e9
ORYLA|Ensembl.ENSORLG00000016264|UniProtKB.H2MNQ4,9,#abd9e9
BOVIN|Gene.SLC34A2|UniProtKB.Q27960,11,#E69F00
CANLF|Ensembl.ENSCAFG00000016417|UniProtKB.E2R9H5,11,#E69F00
HORSE|Ensembl.ENSECAG00000013315|UniProtKB.F6ZU69,11,#E69F00
PIG|Ensembl.ENSSSCG00000008758|UniProtKB.F1S5A6,11,#E69F00
DANRE|ZFIN.ZDB-GENE-030709-1|UniProtKB.F1QH51,9,#abd9e9
BRADU|Gene.BAC49709|UniProtKB.Q89LU9,10,#999999
ECOLI|EnsemblGenome.BAE78022|UniProtKB.P0AF43,10,#999999
PSEAE|EnsemblGenome.PA4822|UniProtKB.Q9HUY8,10,#999999
PSEAE|EnsemblGenome.PA5473|UniProtKB.Q9HT97,10,#999999
SALTY|EnsemblGenome.STM4189|UniProtKB.P40730,10,#999999
DANRE|ZFIN.ZDB-GENE-000524-1|UniProtKB.F1QPL3,9,#abd9e9
MONDO|Ensembl.ENSMODG00000000304|UniProtKB.F6WA61,7,#CC79A7
MONDO|Ensembl.ENSMODG00000025532|UniProtKB.F6V1J3,7,#CC79A7
MONDO|Ensembl.ENSMODG00000025549|UniProtKB.F6UJ46,7,#CC79A7
MONDO|Ensembl.ENSMODG00000041870|UniProtKB.A0A5F8HBE6,7,#CC79A7
MONDO|Ensembl.ENSMODG00000042552|UniProtKB.A0A5F8HC95,7,#CC79A7
MONDO|Ensembl.ENSMODG00000051279|UniProtKB.A0A5F8GGM6,7,#CC79A7
IXOSC|EnsemblGenome.ISCW011929|UniProtKB.B7QG10,7,#CC79A7
IXOSC|Gene.ORFName.IscW.ISCW002102|UniProtKB.B7P7N5,7,#CC79A7
PIG|Ensembl.ENSSSCG00000037535|UniProtKB.A0A287ABA6,0,#999999
