Label,Cluster,Color,PassOne,PassOneCol
tr|A0A0D5W896|A0A0D5W896.9MONO.GP.OS.Zaire.ebolavirus.OX.186538.GN.GP.PE.3.SV.1,0.0,#2f4f4f,0,#2f4f4f
tr|A0A0E3TLL1|A0A0E3TLL1.9MONO.Virion.spike.glycoprotein.OS.Zaire.ebolavirus.OX.186538.GN.GP.PE.3.SV.1,0.0,#2f4f4f,0,#2f4f4f
tr|A0A0E3TME8|A0A0E3TME8.9MONO.Virion.spike.glycoprotein.OS.Zaire.ebolavirus.OX.186538.GN.GP.PE.3.SV.1,0.0,#2f4f4f,0,#2f4f4f
tr|A0A0E3TMQ9|A0A0E3TMQ9.9MONO.Virion.spike.glycoprotein.OS.Zaire.ebolavirus.OX.186538.GN.GP.PE.3.SV.1,0.0,#2f4f4f,0,#2f4f4f
tr|A0A0E3TMR9|A0A0E3TMR9.9MONO.Virion.spike.glycoprotein.OS.Zaire.ebolavirus.OX.186538.GN.GP.PE.3.SV.1,0.0,#2f4f4f,0,#2f4f4f
tr|A0A0E3XKU4|A0A0E3XKU4.9MONO.Virion.spike.glycoprotein.OS.Zaire.ebolavirus.OX.186538.GN.GP.PE.3.SV.1,0.0,#2f4f4f,0,#2f4f4f
tr|A0A0F7IM40|A0A0F7IM40.9MONO.Virion.spike.glycoprotein.OS.Zaire.ebolavirus.OX.186538.GN.GP.PE.3.SV.1,0.0,#2f4f4f,0,#2f4f4f
tr|A0A0S0H1V9|A0A0S0H1V9.9MONO.Virion.spike.glycoprotein.OS.Zaire.ebolavirus.OX.186538.GN.GP.PE.3.SV.1,0.0,#2f4f4f,0,#2f4f4f
tr|A0A0S0HB56|A0A0S0HB56.9MONO.Virion.spike.glycoprotein.OS.Zaire.ebolavirus.OX.186538.GN.GP.PE.3.SV.1,0.0,#2f4f4f,0,#2f4f4f
tr|A0A0U4E3E9|A0A0U4E3E9.9MONO.Virion.spike.glycoprotein.OS.Zaire.ebolavirus.OX.186538.GN.GP.PE.3.SV.1,0.0,#2f4f4f,0,#2f4f4f
tr|A0A172QBV3|A0A172QBV3.9MONO.Virion.spike.glycoprotein.OS.Zaire.ebolavirus.OX.186538.GN.GP.PE.3.SV.1,0.0,#2f4f4f,0,#2f4f4f
tr|A0A2H4CP10|A0A2H4CP10.9MONO.Virion.spike.glycoprotein.OS.Zaire.ebolavirus.OX.186538.GN.GP.PE.3.SV.1,0.0,#2f4f4f,0,#2f4f4f
tr|A0A2I4PEY8|A0A2I4PEY8.9MONO.Virion.spike.glycoprotein.OS.Zaire.ebolavirus.OX.186538.GN.GP.PE.3.SV.1,0.0,#2f4f4f,0,#2f4f4f
tr|A0A2I4Q553|A0A2I4Q553.9MONO.Virion.spike.glycoprotein.OS.Zaire.ebolavirus.OX.186538.GN.GP.PE.3.SV.1,0.0,#2f4f4f,0,#2f4f4f
tr|A0A0E3TN73|A0A0E3TN73.9MONO.Virion.spike.glycoprotein.OS.Zaire.ebolavirus.OX.186538.GN.GP.PE.3.SV.1,1,#556b2f,1,#556b2f
tr|A0A0E3TNW9|A0A0E3TNW9.9MONO.Virion.spike.glycoprotein.OS.Zaire.ebolavirus.OX.186538.GN.GP.PE.3.SV.1,1,#556b2f,1,#556b2f
tr|A0A0E3XJE4|A0A0E3XJE4.9MONO.Virion.spike.glycoprotein.OS.Zaire.ebolavirus.OX.186538.GN.GP.PE.3.SV.1,1,#556b2f,1,#556b2f
tr|A0A0S0H459|A0A0S0H459.9MONO.Virion.spike.glycoprotein.OS.Zaire.ebolavirus.OX.186538.GN.GP.PE.3.SV.1,1,#556b2f,1,#556b2f
tr|A0A142MH94|A0A142MH94.9MONO.Virion.spike.glycoprotein.OS.Zaire.ebolavirus.OX.186538.GN.GP.PE.3.SV.1,1,#556b2f,1,#556b2f
tr|A0A7S6G9R3|A0A7S6G9R3.9MONO.Virion.spike.glycoprotein.OS.Zaire.ebolavirus.OX.186538.GN.GP.PE.4.SV.1,2,#8b4513,2,#8b4513
tr|A0A7S6G9U9|A0A7S6G9U9.9MONO.Virion.spike.glycoprotein.OS.Zaire.ebolavirus.OX.186538.GN.GP.PE.4.SV.1,2,#8b4513,2,#8b4513
tr|A0A7S6GCP7|A0A7S6GCP7.9MONO.Virion.spike.glycoprotein.OS.Zaire.ebolavirus.OX.186538.GN.GP.PE.4.SV.1,2,#8b4513,2,#8b4513
tr|A0A7S6GCR2|A0A7S6GCR2.9MONO.Virion.spike.glycoprotein.OS.Zaire.ebolavirus.OX.186538.GN.GP.PE.4.SV.1,2,#8b4513,2,#8b4513
tr|A0A7S6GGZ3|A0A7S6GGZ3.9MONO.Virion.spike.glycoprotein.OS.Zaire.ebolavirus.OX.186538.GN.GP.PE.4.SV.1,2,#8b4513,2,#8b4513
