Label,Cluster,Color
sp|P00414|COX3_HUMAN,0,#999999
sp|P03886|NU1M_HUMAN,0,#999999
sp|P03891|NU2M_HUMAN,0,#999999
sp|P03905|NU4M_HUMAN,0,#999999
sp|P40926|MDHM_HUMAN,0,#999999
sp|Q9BRQ8|FSP1_HUMAN,0,#999999
sp|Q9NTG7|SIR3_HUMAN,0,#999999
sp|Q9NZ01|TECR_HUMAN,0,#999999
sp|P09417|DHPR_HUMAN,1,#E69F00
sp|P21912|SDHB_HUMAN,1,#E69F00
sp|Q8IXQ9|ETKMT_HUMAN,1,#E69F00
sp|Q8TB37|NUBPL_HUMAN,1,#E69F00
sp|Q99536|VAT1_HUMAN,1,#E69F00
sp|Q9BUP3|HTAI2_HUMAN,1,#E69F00
sp|Q9BV79|MECR_HUMAN,1,#E69F00
sp|Q9HCJ6|VAT1L_HUMAN,1,#E69F00
sp|A0PJE2|DHR12_HUMAN,2,#56B4E9
sp|A6NNS2|DRS7C_HUMAN,2,#56B4E9
sp|Q06136|KDSR_HUMAN,2,#56B4E9
sp|Q6IAN0|DRS7B_HUMAN,2,#56B4E9
sp|Q6UX07|DHR13_HUMAN,2,#56B4E9
sp|Q8N5I4|DHRSX_HUMAN,2,#56B4E9
sp|Q8NBN7|RDH13_HUMAN,2,#56B4E9
sp|Q8TC12|RDH11_HUMAN,2,#56B4E9
sp|Q96NR8|RDH12_HUMAN,2,#56B4E9
sp|Q9HBH5|RDH14_HUMAN,2,#56B4E9
sp|Q9NYR8|RDH8_HUMAN,2,#56B4E9
sp|Q9Y394|DHRS7_HUMAN,2,#56B4E9
sp|O95299|NDUAA_HUMAN,3,#009E73
sp|P08559|ODPA_HUMAN,3,#009E73
sp|P14060|3BHS1_HUMAN,3,#009E73
sp|P16083|NQO2_HUMAN,3,#009E73
sp|P26439|3BHS2_HUMAN,3,#009E73
sp|P29803|ODPAT_HUMAN,3,#009E73
sp|P47985|UCRI_HUMAN,3,#009E73
sp|Q8NBX0|SCPDL_HUMAN,3,#009E73
sp|Q8WUS8|D42E1_HUMAN,3,#009E73
sp|Q9H2F3|3BHS7_HUMAN,3,#009E73
sp|O95237|LRAT_HUMAN,4,#F0E442
sp|P00403|COX2_HUMAN,4,#F0E442
sp|P08574|CY1_HUMAN,4,#F0E442
sp|P11474|ERR1_HUMAN,4,#F0E442
sp|P40925|MDHC_HUMAN,4,#F0E442
sp|P49821|NDUV1_HUMAN,4,#F0E442
sp|Q13642|FHL1_HUMAN,4,#F0E442
sp|Q9UMS0|NFU1_HUMAN,4,#F0E442
sp|Q9Y2S2|CRYL1_HUMAN,4,#F0E442
sp|Q9Y6E7|SIR4_HUMAN,4,#F0E442
sp|P14061|DHB1_HUMAN,5,#0072B2
sp|Q14994|NR1I3_HUMAN,5,#0072B2
sp|Q8IWL3|HSC20_HUMAN,5,#0072B2
sp|Q8N3J5|PPM1K_HUMAN,5,#0072B2
sp|C9JRZ8|AK1BF_HUMAN,6,#D55E00
sp|O60218|AK1BA_HUMAN,6,#D55E00
sp|P14550|AK1A1_HUMAN,6,#D55E00
sp|P15121|ALDR_HUMAN,6,#D55E00
sp|P15559|NQO1_HUMAN,6,#D55E00
sp|P17516|AK1C4_HUMAN,6,#D55E00
sp|P42330|AK1C3_HUMAN,6,#D55E00
sp|P51857|AK1D1_HUMAN,6,#D55E00
sp|P52895|AK1C2_HUMAN,6,#D55E00
sp|Q04828|AK1C1_HUMAN,6,#D55E00
sp|Q6YN16|HSDL2_HUMAN,6,#D55E00
sp|Q96JD6|AKCL2_HUMAN,6,#D55E00
sp|Q9H9P8|L2HDH_HUMAN,6,#D55E00
sp|O75306|NDUS2_HUMAN,7,#CC79A7
sp|P04406|G3P_HUMAN,7,#CC79A7
sp|P11310|ACADM_HUMAN,7,#CC79A7
sp|P16219|ACADS_HUMAN,7,#CC79A7
sp|P22695|QCR2_HUMAN,7,#CC79A7
sp|P26440|IVD_HUMAN,7,#CC79A7
sp|P28330|ACADL_HUMAN,7,#CC79A7
