Label,Cluster,Color
ATM1.YEAST/452-601,0,#2f4f4f
CCMA.ECOLI/19-157,1,#556b2f
CCMA.RHOCB/19-146,1,#556b2f
ETTA.ECOLI/22-191,1,#556b2f
TLRC.STRFR/24-197,1,#556b2f
TLRC.STRFR/370-498,1,#556b2f
A0A341E2J2.9ENTR/24-167,2,#8b4513
ARAG.ECOLI/23-172,3,#2e8b57
BRAF.PSEAE/21-182,3,#2e8b57
BRAG.PSEAE/17-162,3,#2e8b57
Y3926.AZOC5/60-206,3,#2e8b57
YTFR.ECOLI/25-174,3,#2e8b57
A0A0L8IRI8.PSESX/363-504,4,#228b22
AMIE.STRR6/28-188,4,#228b22
NIKD.ECOLI/19-169,4,#228b22
NIKE.ECOLI/28-180,4,#228b22
NIST.LACLL/369-523,4,#228b22
SAPD.SALTY/23-187,4,#228b22
SAPF.ECOLI/30-179,4,#228b22
CFTR.BOVIN/1228-1375,5,#708090
CFTR.BOVIN/440-575,5,#708090
NFT1.YEASX/1302-1469,5,#708090
STE6.YEAST/1070-1218,5,#708090
A0A0T6V6L4.9PSED/19-157,6,#8b0000
ABCA.AERSA/41-174,6,#8b0000
ABCA1.MOUSE/916-1061,6,#8b0000
NODI.AZOC5/30-174,6,#8b0000
PHNK.ECOLI/21-174,6,#8b0000
YYBJ.BACSU/17-157,6,#8b0000
ABCX.ANTSP/22-179,7,#808000
ARB1.YEAST/97-255,8,#483d8b
CBIO.SALTY/17-165,8,#483d8b
FECE.ECOLI/18-167,8,#483d8b
ARB1.YEAST/411-544,9,#008080
ELF1.SCHPO/709-939,9,#008080
ETTA.ECOLI/339-473,9,#008080
ADP1.YEAST/406-558,10,#b8860b
P29.MYCHR/25-181,10,#b8860b
PDR5.YEAST/176-337,10,#b8860b
ARTP.ECOLI/18-170,11,#4682b4
PHNC.ECOLI/20-181,11,#4682b4
PHNL.ECOLI/24-178,11,#4682b4
YMEB.LACLA/19-170,7,#808000
VMLR.BACSU/307-435,7,#808000
MSRA.STAEP/314-438,7,#808000
MSRA.STAEP/21-131,7,#808000
MODF.ECOLI/276-430,7,#808000
MCBF.ECOLX/23-163,7,#808000
THIQ.ECOLI/15-158,0,#2f4f4f
TAP1.HUMAN/581-731,0,#2f4f4f
PSTB.ECOLI/26-182,2,#8b4513
Q7K6A5.PLAF7/396-591,0,#2f4f4f
FTSE.ECOLI/18-166,2,#8b4513
MODC.ECOLI/14-157,0,#2f4f4f
CYDD.ECOLI/366-514,0,#2f4f4f
