Label,Cluster,Color
KIN82.YEAST|324.602,0,#2f4f4f
CDPK.SOYBN|34.292,1,#556b2f
I1MG96.SOYBN|4.287,2,#8b4513
KIN28.YEAST|7.290,2,#8b4513
CDKL1.HUMAN|5.288,3,#2e8b57
GSK3A.RAT|119.403,3,#2e8b57
MAK.RAT|4.284,3,#2e8b57
BYR2.SCHPO|394.658,4,#228b22
CDC15.YEAST|25.272,4,#228b22
STE20.YEAST|620.871,4,#228b22
BYR1.SCHPO|66.320,5,#708090
MKK1.YEAST|221.488,5,#708090
STE7.YEAST|191.466,5,#708090
F7CJC0.CALJA|349.568,6,#8b0000
KPRO.MAIZE|534.810,6,#8b0000
M3K9.HUMAN|144.403,6,#8b0000
RAD53.YEAST|198.466,7,#808000
FUSED.DROME|4.254,8,#483d8b
TTK.HUMAN|525.791,8,#483d8b
BUR1.YEAST|60.366,9,#008080
CTK1.YEAST|183.469,9,#008080
KGP1.DROME|457.717,10,#b8860b
PKD1.DICDI|334.589,10,#b8860b
PIM1.HUMAN|38.290,11,#4682b4
PSK1.YEAST|1096.1354,11,#4682b4
PHKG2.RAT|24.291,12,#d2691e
CDR1.SCHPO|12.258,13,#9acd32
CHK1.SCHPO|10.272,13,#9acd32
AKT1.HUMAN|150.408,14,#32cd32
ARBK1.BOVIN|191.453,14,#32cd32
MK04.HUMAN|20.312,15,#8fbc8f
KS6A1.MOUSE|407.664,16,#800080
WEE1.HUMAN|299.569,5,#708090
CSK21.CHICK|39.324,17,#9932cc
MYLK.CHICK|1453.1708,18,#ff4500
CDC5.YEAST|82.337,19,#00ced1
Q8I534.PLAF7|111.364,20,#ff8c00
KCC4.MOUSE|42.296,1,#556b2f
