Label,Cluster,Color,PassOne,PassOneCol
D5AQG1.RHOCB|5.117,0,#2f4f4f,0,#2f4f4f
DCTD.RHILE|7.117,0,#2f4f4f,0,#2f4f4f
NODW.BRADU|22.132,0,#2f4f4f,0,#2f4f4f
NTRX.AZOC5|5.117,0,#2f4f4f,0,#2f4f4f
PGTA.SALTY|8.118,0,#2f4f4f,0,#2f4f4f
PILR.PSEAE|6.116,0,#2f4f4f,0,#2f4f4f
A0A0D1HPY5.STAAU|3.121,1,#556b2f,1,#556b2f
ALGR.PSEAE|3.114,1,#556b2f,1,#556b2f
BTSR.ECOLI|4.113,1,#556b2f,1,#556b2f
MRKE.KLEPN|60.170,1,#556b2f,1,#556b2f
CMPA.BACSU|4.118,2.0,#8b4513,2,#8b4513
AFSQ1.STRCO|4.113,3,#2e8b57,3,#2e8b57
KDPE.ECOLI|4.113,3,#2e8b57,3,#2e8b57
TORR.ECOLI|5.114,3,#2e8b57,3,#2e8b57
VIRG.AGRFC|16.126,3,#2e8b57,3,#2e8b57
ALGB.PSEAE|11.121,4.0,#228b22,4,#228b22
D5APH1.RHOCB|8.118,4.0,#228b22,4,#228b22
GLRR.ECOLI|8.118,4.0,#228b22,4,#228b22
NTRC.RHOCB|5.115,4.0,#228b22,4,#228b22
CHEY.SALTY|8.121,5,#708090,5,#708090
PDE2.DICDI|162.277,5,#708090,5,#708090
RSSB.ECOLI|10.121,5,#708090,5,#708090
ZRAR.SALTY|8.118,5,#708090,5,#708090
A0A077ZIK0.TRITR|670.782,6,#8b0000,6,#8b0000
SLN1.YEAST|1090.1207,6,#8b0000,6,#8b0000
PATA.NOSS1|263.375,10.2,#808000,10,#9acd32
BVGS.BORBR|975.1092,11.1,#483d8b,11,#32cd32
EVGS.ECOLI|961.1071,11.1,#483d8b,11,#32cd32
A0A0B6AGF7.BACMB|8.120,7,#008080,7,#008080
AGMR.PSEAE|4.117,7,#008080,7,#008080
Y2151.LEPIN|14.126,7,#008080,7,#008080
CHEV.BACSU|177.298,10.1,#b8860b,10,#9acd32
H5SXK0.LACLL|5.114,10.1,#b8860b,10,#9acd32
EVGA.ECOLI|3.114,8,#4682b4,8,#4682b4
FIMZ.ECOLI|6.118,8,#4682b4,8,#4682b4
TRPO.PSEAE|4.115,8,#4682b4,8,#4682b4
CHEB.ECOLI|6.120,9,#d2691e,9,#d2691e
GLNL.BACSU|3.115,9,#d2691e,9,#d2691e
SP0A.BACSU|6.120,9,#d2691e,9,#d2691e
A0A0K2B0E1.STRA7|3.113,10.0,#9acd32,10,#9acd32
BASR.SALTY|3.113,10.0,#9acd32,10,#9acd32
A0A077ZF75.TRITR|528.640,11.0,#32cd32,11,#32cd32
LUXQ.VIBVY|736.847,11.0,#32cd32,11,#32cd32
SKN7.YEAST|379.489,11.0,#32cd32,11,#32cd32
A1B6C9.PARDP|17.130,12,#8fbc8f,12,#8fbc8f
A8ADZ6.CITK8|6.121,12,#8fbc8f,12,#8fbc8f
RRF1.DESVH|5.113,4.1,#800080,4,#228b22
SP0F.BACSU|6.116,4.1,#800080,4,#228b22
DEGU.BACSU|6.118,2.1,#b03060,2,#8b4513
NARP.ECOLI|9.121,2.1,#b03060,2,#8b4513
UHPA.SALTY|4.113,2.1,#b03060,2,#8b4513
UVRY.ECOLI|4.116,2.1,#b03060,2,#8b4513
