Label,Cluster,Color
id|A0A0P0FKS2,0,#2f4f4f
id|A0A108T443,0,#2f4f4f
id|A0A174CW35,0,#2f4f4f
id|A0A174U831,0,#2f4f4f
id|A0A1C6DCX4,0,#2f4f4f
id|A0A0U5F994,1,#556b2f
id|A0A0U5K4C1,1,#556b2f
id|A0A0U5KD37,1,#556b2f
id|A5VJH0,1,#556b2f
id|B3XRW1,1,#556b2f
id|Q9F660,1,#556b2f
id|A0A139K753,2,#8b4513
id|A0A173Y2R7,2,#8b4513
id|A0A174A3V4,2,#8b4513
id|A0A174ES06,2,#8b4513
id|A0A139JWT4,3,#2e8b57
id|A0A173XUL0,3,#2e8b57
id|A0A174JHB3,3,#2e8b57
id|A0A174MYH4,3,#2e8b57
id|A0A023J8T6,4,#228b22
id|A0A132P8Q3,4,#228b22
id|A0A1A7TBV0,4,#228b22
id|Q3Y1M8,4,#228b22
id|Q75N78,4,#228b22
id|Q83YZ2,4,#228b22
id|A0A0P0ENF5,5,#708090
id|A0A174FWH1,5,#708090
id|A0A174JQR6,5,#708090
id|A0A174S8H3,5,#708090
id|D4VET1,5,#708090
id|D6D8L4,5,#708090
id|D0R2U6,12,#32cd32
id|A0A132P9C9,6,#808000
id|A0A286V972,6,#808000
id|I3U2V6,6,#808000
id|A0A376H0L7,12,#32cd32
id|T0VL23,12,#32cd32
id|A0A2N0UPL9,7,#008080
id|A0A2N0UVB8,7,#008080
id|A0A2N0UWT2,7,#008080
id|D4JU54,7,#008080
id|A0A1D4P6X4,8,#b8860b
id|A0A380GLM7,8,#b8860b
id|A0A380HMH1,8,#b8860b
id|A0A0P0LK75,9,#4682b4
id|A0A108TCY7,9,#4682b4
id|A0A174MGF4,9,#4682b4
id|A0A174N0H0,9,#4682b4
id|A0A1H7H150,9,#4682b4
id|A0A1Q6JKX4,9,#4682b4
id|A0A380YLD2,9,#4682b4
id|A0A174F9J2,10,#d2691e
id|D4VSU1,10,#d2691e
id|D6D837,10,#d2691e
id|A0A173RY76,11,#9acd32
id|A0A1C5S406,11,#9acd32
id|A0A1C5VKY6,11,#9acd32
id|A0A1C5TY89,12,#32cd32
id|A0A1C5X749,12,#32cd32
id|A0A1C6KHI5,12,#32cd32
id|D4IIZ6,5,#708090
id|A0A0P0M2Y4,13,#800080
id|A0A174V343,13,#800080
id|A0A1H7FFJ4,13,#800080
id|A0A397WKZ7,13,#800080
id|A0A0M2NIU1,4,#228b22
id|A0A174WER9,3,#2e8b57
