Label,Cluster,Color,PassOne,PassOneCol
BOVIN|Ensembl.ENSBTAG00000004770|UniProtKB.E1B9X0,0.0,#2f4f4f,0,#2f4f4f
CANLF|Ensembl.ENSCAFG00000012146|UniProtKB.E2RR09,0.0,#2f4f4f,0,#2f4f4f
FELCA|Ensembl.ENSFCAG00000003505|UniProtKB.A0A5F5XVW5,0.0,#2f4f4f,0,#2f4f4f
PIG|Ensembl.ENSSSCG00000017282|UniProtKB.F1RSK2,0.0,#2f4f4f,0,#2f4f4f
CANLF|Ensembl.ENSCAFG00000011438|UniProtKB.E2R0P1,1.0,#556b2f,1,#556b2f
FELCA|Ensembl.ENSFCAG00000000647|UniProtKB.A0A337RVZ9,1.0,#556b2f,1,#556b2f
HORSE|Ensembl.ENSECAG00000022007|UniProtKB.A0A5F5PZ52,1.0,#556b2f,1,#556b2f
PIG|Ensembl.ENSSSCG00000015913|UniProtKB.A0A287ARY2,1.0,#556b2f,1,#556b2f
GORGO|Ensembl.ENSGGOG00000006446|UniProtKB.G3QUB0,2.0,#8b4513,2,#8b4513
HUMAN|HGNC.10582|UniProtKB.Q9Y5Y9,2.0,#8b4513,2,#8b4513
MACMU|Ensembl.ENSMMUG00000015827|UniProtKB.F7CEK9,2.0,#8b4513,2,#8b4513
PANTR|Ensembl.ENSPTRG00000014763|UniProtKB.H2R1N2,2.0,#8b4513,2,#8b4513
FELCA|Ensembl.ENSFCAG00000003161|UniProtKB.A0A2I2UMY5,3,#2e8b57,3,#2e8b57
HORSE|Ensembl.ENSECAG00000000813|UniProtKB.A0A5F5PU07,3,#2e8b57,3,#2e8b57
PIG|Ensembl.ENSSSCG00000011259|UniProtKB.A0A5G2RE65,3,#2e8b57,3,#2e8b57
BOVIN|Gene.CACNA1A|UniProtKB.F1N1E0,4.0,#228b22,4,#228b22
BOVIN|Gene.CACNA1B|UniProtKB.G3X7Z2,4.0,#228b22,4,#228b22
ORYLA|Ensembl.ENSORLG00000025805|UniProtKB.A0A3B3I8D9,4.0,#228b22,4,#228b22
PIG|Ensembl.ENSSSCG00000033493|UniProtKB.A0A287APC1,4.0,#228b22,4,#228b22
ANOCA|Ensembl.ENSACAG00000009159|UniProtKB.H9GF31,5.0,#708090,5,#708090
ANOCA|Ensembl.ENSACAG00000002063|UniProtKB.H9G6C5,6.0,#8b0000,6,#8b0000
CHICK|Ensembl.ENSGALG00000011009|UniProtKB.E1BQT2,6.0,#8b0000,6,#8b0000
ANOCA|Ensembl.ENSACAG00000015443|UniProtKB.H9GMB4,7.0,#808000,7,#808000
DANRE|Ensembl.ENSDARG00000115741|UniProtKB.A0A2R8QTB3,7.0,#808000,7,#808000
MONDO|Ensembl.ENSMODG00000050370|UniProtKB.A0A5F8GF95,7.0,#808000,7,#808000
ORYLA|Ensembl.ENSORLG00000026938|UniProtKB.A0A3B3IL42,7.0,#808000,7,#808000
CIOIN|Ensembl.ENSCING00000002389|UniProtKB.F6QCF9,8.0,#483d8b,8,#483d8b
ANOCA|Ensembl.ENSACAG00000012739|UniProtKB.G1KMZ7,9.0,#008080,9,#008080
CHICK|Ensembl.ENSGALG00000034427|UniProtKB.A0A3Q2UP21,9.0,#008080,9,#008080
ANOCA|Ensembl.ENSACAG00000002844|UniProtKB.H9G7G4,10,#b8860b,10,#b8860b
CANLF|Ensembl.ENSCAFG00000005058|UniProtKB.F1PXD7,10,#b8860b,10,#b8860b
CHICK|Ensembl.ENSGALG00000010943|UniProtKB.E1C4R5,10,#b8860b,10,#b8860b
FELCA|Ensembl.ENSFCAG00000030973|UniProtKB.A0A2I2UDI4,10,#b8860b,10,#b8860b
GORGO|Ensembl.ENSGGOG00000005441|UniProtKB.A0A2I2ZQZ3,10,#b8860b,10,#b8860b
GORGO|Ensembl.ENSGGOG00000039128|UniProtKB.A0A2I2ZMQ3,10,#b8860b,10,#b8860b
HORSE|Ensembl.ENSECAG00000015359|UniProtKB.F6ZFS4,10,#b8860b,10,#b8860b
HUMAN|HGNC.10585|UniProtKB.P35498,10,#b8860b,10,#b8860b
MACMU|Ensembl.ENSMMUG00000008407|UniProtKB.A0A1D5QX02,10,#b8860b,10,#b8860b
MONDO|Ensembl.ENSMODG00000006537|UniProtKB.F7BVL3,10,#b8860b,10,#b8860b
MOUSE|MGI.MGI.98246|UniProtKB.A2APX8,10,#b8860b,10,#b8860b
ORNAN|Ensembl.ENSOANG00000006225|UniProtKB.F6VWE4,10,#b8860b,10,#b8860b
PANTR|Ensembl.ENSPTRG00000012595|UniProtKB.A0A2J8PQC8,10,#b8860b,10,#b8860b
PIG|Ensembl.ENSSSCG00000024204|UniProtKB.A0A287BNX1,10,#b8860b,10,#b8860b
RAT|RGD.69364|UniProtKB.P04774,10,#b8860b,10,#b8860b
ANOCA|Ensembl.ENSACAG00000001038|UniProtKB.H9G5U5,11.0,#4682b4,11,#4682b4
CHICK|Ensembl.ENSGALG00000011040|UniProtKB.F1NMI3,11.0,#4682b4,11,#4682b4
GORGO|Ensembl.ENSGGOG00000010106|UniProtKB.G3R3Q0,12.0,#d2691e,12,#d2691e
HUMAN|HGNC.1396|UniProtKB.Q9P0X4,12.0,#d2691e,12,#d2691e
MACMU|Ensembl.ENSMMUG00000004878|UniProtKB.F6XN48,12.0,#d2691e,12,#d2691e
PANTR|Ensembl.ENSPTRG00000014400|UniProtKB.H2RCS5,12.0,#d2691e,12,#d2691e
HELRO|EnsemblGenome.HelroG137299|UniProtKB.T1EIJ2,13.0,#9acd32,13,#9acd32
HELRO|EnsemblGenome.HelroG141205|UniProtKB.T1EJ29,13.0,#9acd32,13,#9acd32
HELRO|EnsemblGenome.HelroG71177|UniProtKB.T1G0H5,13.0,#9acd32,13,#9acd32
HELRO|EnsemblGenome.HelroG87061|UniProtKB.T1G6L3,13.0,#9acd32,13,#9acd32
HELRO|EnsemblGenome.HelroG87064|UniProtKB.T1G6L4,13.0,#9acd32,13,#9acd32
ANOCA|Ensembl.ENSACAG00000007474|UniProtKB.G1KGR5,14.0,#32cd32,14,#32cd32
ANOCA|Ensembl.ENSACAG00000012463|UniProtKB.H9GIY7,15.0,#8fbc8f,15,#8fbc8f
HELRO|EnsemblGenome.HelroG127831|UniProtKB.T1EHI1,15.0,#8fbc8f,15,#8fbc8f
STRPU|EnsemblGenome.SPU.005163|UniProtKB.W4XP30,15.0,#8fbc8f,15,#8fbc8f
