Label,Cluster,Color,PassOne,PassOneCol
sp|P04845|OMPA.SERMA,0.0,#e6194B,0,#e6194B
sp|P24755|OMPA.SEROD,0.0,#e6194B,0,#e6194B
sp|P38399|OMPA.YERPS,0.0,#e6194B,0,#e6194B
sp|Q8ZG77|OMPA.YERPE,0.0,#e6194B,0,#e6194B
sp|P13509|CZCC.CUPMC,1.0,#3cb44b,1,#3cb44b
sp|P51002|OMPK.VIBPH,2,#ffe119,2,#ffe119
sp|P59570|OMPK.VIBPA,2,#ffe119,2,#ffe119
sp|O84417|PMPA.CHLTR,3.0,#4363d8,3,#4363d8
sp|Q9PJY3|PMPA.CHLMU,3.0,#4363d8,3,#4363d8
sp|Q9Z813|PMP19.CHLPN,3.0,#4363d8,3,#4363d8
sp|A1KH31|ARFA.MYCBP,4,#f58231,4,#f58231
sp|P65594|ARFA.MYCBO,4,#f58231,4,#f58231
sp|P9WIU4|ARFA.MYCTO,4,#f58231,4,#f58231
sp|P9WIU5|ARFA.MYCTU,4,#f58231,4,#f58231
sp|Q05146|OMPA.BORAV,4,#f58231,4,#f58231
sp|O84877|PMPE.CHLTR,5,#ba3fdf,5,#ba3fdf
sp|P38008|PMPF.CHLTR,5,#ba3fdf,5,#ba3fdf
sp|Q9PL46|PMPF.CHLMU,5,#ba3fdf,5,#ba3fdf
sp|Q9PL47|PMPE.CHLMU,5,#ba3fdf,5,#ba3fdf
sp|Q9Z880|PMP18.CHLPN,5,#ba3fdf,5,#ba3fdf
sp|Q9Z882|PMP16.CHLPN,5,#ba3fdf,5,#ba3fdf
sp|Q9Z883|PMP15.CHLPN,5,#ba3fdf,5,#ba3fdf
sp|P38368|OMP52.HAEIF,6.0,#42d4f4,6,#42d4f4
sp|P43840|OMP5.HAEIN,6.0,#42d4f4,6,#42d4f4
sp|P45996|OMP53.HAEIF,6.0,#42d4f4,6,#42d4f4
sp|O84818|PMPD.CHLTR,7.0,#bfef45,7,#bfef45
sp|P0A261|TSX.SALTY,8,#fabed4,8,#fabed4
sp|P0A262|TSX.SALTI,8,#fabed4,8,#fabed4
sp|P0A927|TSX.ECOLI,8,#fabed4,8,#fabed4
sp|P0A928|TSX.ECO57,8,#fabed4,8,#fabed4
sp|P0A929|TSX.SHIFL,8,#fabed4,8,#fabed4
sp|P40785|TSX.KLEAK,8,#fabed4,8,#fabed4
sp|P40786|TSX.KLEPN,8,#fabed4,8,#fabed4
sp|O31101|SRPC.PSEPU,9,#469990,9,#469990
