Label,Cluster,Color
BACSU|EnsemblGenome.BSU10540|UniProtKB.O07565,0,#2f4f4f
BACCR|EnsemblGenome.BC.0886|UniProtKB.Q81HC9,1,#556b2f
BACSU|EnsemblGenome.BSU09830|UniProtKB.O07539,1,#556b2f
GLOVI|Gene.BAC88774|UniProtKB.Q7NMD3,1,#556b2f
SYNY3|Gene.BAA18460|UniProtKB.P74365,1,#556b2f
CLOBH|Gene.OrderedLocusName.CBO2599|UniProtKB.A5I530,2,#8b4513
ECOLI|EnsemblGenome.BAA35430|UniProtKB.P21829,2,#8b4513
SALTY|EnsemblGenome.STM0784|UniProtKB.Q8ZQR5,2,#8b4513
SALTY|EnsemblGenome.STM4010|UniProtKB.Q8ZKU5,2,#8b4513
VIBCH|EnsemblGenome.VC.A0243|UniProtKB.Q9KMS7,2,#8b4513
YERPE|Gene.OrderedLocusName.YPO1148|UniProtKB.A0A384L0S0,2,#8b4513
BACSU|EnsemblGenome.BSU39550|UniProtKB.P54947,3,#2e8b57
LISMO|Gene.CAC98373|UniProtKB.Q8YAG8,3,#2e8b57
LISMO|Gene.CAD00799|UniProtKB.Q8YA87,3,#2e8b57
DEIRA|EnsemblGenome.DR.0240|UniProtKB.Q9RXR7,4,#228b22
MYCTU|EnsemblGenome.LH57.20785|UniProtKB.O07810,4,#228b22
STRCO|Gene.CAA22222|UniProtKB.Q9ZBY2,4,#228b22
STRCO|Gene.CAA22232|UniProtKB.Q9ZBX2,4,#228b22
STRCO|Gene.CAB44512|UniProtKB.Q9XAS3,4,#228b22
PYRAE|EnsemblGenome.PAE3495|UniProtKB.Q8ZT04,5,#708090
SACS2|EnsemblGenome.SSO0094|UniProtKB.P95967,5,#708090
BRADU|Gene.BAC52028|UniProtKB.Q89FD8,6,#8b0000
FUSNN|EnsemblGenome.FN0869|UniProtKB.Q8RF49,6,#8b0000
HAEIN|EnsemblGenome.HI.0003|UniProtKB.P44447,6,#8b0000
LISMO|Gene.CAC98245|UniProtKB.Q8YAT3,6,#8b0000
LISMO|Gene.CAD00803|UniProtKB.Q8YA83,6,#8b0000
DEIRA|EnsemblGenome.DR.2147|UniProtKB.Q9RSH7,7,#808000
MYCGE|EnsemblGenome.MG.263|UniProtKB.P47505,7,#808000
BACSU|EnsemblGenome.BSU04040|UniProtKB.P42962,8,#483d8b
BACCR|EnsemblGenome.BC.1165|UniProtKB.Q81GM7,9,#008080
BACSU|EnsemblGenome.BSU11140|UniProtKB.P70947,9,#008080
LEPIN|EnsemblGenome.LB.007|UniProtKB.Q8EY50,9,#008080
